index,topic,prompt
11,List of national parks of the United States,"Context: Largely because of the popularity of artists such as Jefferson and his contemporaries Blind Blake and Ma Rainey, Paramount became the leading recording company for the blues in the 1920s. Jefferson's earnings reputedly enabled him to buy a car and employ chauffeurs (this inf Question: Did he have a spouse or family during this time? Answer: None. Question: When did he begin with Paramount records? Answer: Paramount became the leading recording company for the blues in the 1920s. Question: What was their significance for Jefferson? Answer: Jefferson's earnings reputedly enabled him to buy a car and employ chauffeurs Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: I love national parks dont you?  Wizard: I do! The first national park was Yellowstone, signed into law by President Ulysses Grant in 1972.  Apprentice: Yes, I have never been there but I would love to go, have you been?"
12,Discovery Channel,"Context: Iris' first album, Back on the Streets, was released in July 1980 on the small Cleveland, Ohio-based Midwest Records. With the track ""Ah! Leah!"" receiving airplay in Boston, Cleveland and Pittsburgh, MCA Records took notice and quickly signed Iris to a five-album deal and re-released the album nationally in October. The first single ""Ah! Leah!"" peaked at #29 on the Billboard Hot 100 (and #34  Question: Did any one new join the band during these years? Answer: None. Question: How did Iris start into his peak years? Answer: With the track ""Ah! Leah!"" receiving airplay in Boston, Cleveland and Pittsburgh, MCA Records took notice Question: What that song off an album? Answer: The first single ""Ah! Leah!"" peaked at #29 on the Billboard Hot 100 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav. Conversation:  Wizard: The discover channel used to be a great channel on television but it went down the drain  Apprentice: Oh yeah I've noticed that it really took a dip in quality recently.  Wizard: The discovery channel was simply referred to as didcovery back in 1985 tho  Apprentice: It was? I haven't been around for long enough to have seen that."
13,American football,"Context: Although Gibbs helped craft a passing-oriented attack during his time in San Diego, his Redskins teams were known to incorporate a smash-mouth, rushing-oriented attack like the counter trey. By building a strong offensive line (known as ""The Hogs"") Gibbs was able to control the line of scrimmage, allowing  Question: When was he with San Diego? Answer: None. Question: How has Joe Gibbs style of play been described? Answer: By building a strong offensive line (known as ""The Hogs"") Question: Are there any more details about ""The Hogs"" Answer: Gibbs was able to control the line of scrimmage, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL). Conversation:  Apprentice: I rather enjoy American football particularly college football. Do you watch/ have a favorite team?  Wizard: I do, the Dallas Cowboys. Bad of late but they will do great one day.  Apprentice: They had a great run in the 1990's. Plus, now that new stadium is rather impressive hopefully they can live up to it."
14,Guns N' Roses,"Context: Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to emergency room nurse Judith ""Judy"" Moore (nee Kugel) and insurance salesman James ""Jim"" Moore. Her fathe Question: Where did she go to school? Answer: None. Question: Where was she born? Answer: in Doylestown, Pennsylvania, Question: Who were her parents? Answer: nurse Judith ""Judy"" Moore (nee Kugel) and insurance salesman James ""Jim"" Moore. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time. Conversation:  Apprentice: Have you heard of the band Guns N' Roses? They are my favorite band ever  Wizard: Sure the band was formed inn 1985 in  Los Angeles, California.  What is tour favorite album?  Apprentice: Id say my favorite is Appetite for destruction "
15,Nickelback,"Context: In 1990, he released the album Vicente Fernandez y las clasicas de Jose Alfredo Jimenez, a tribute Question: Has he been given any medals or titles by the government? Answer: None. Question: What awards has he received? Answer: The album earned him Billboard and Univision's Latin Music Award for Mexican Regional Male Artist of the Year, which he won 5 times from 1989 to 1993. Question: Which album was that? Answer: Vicente Fernandez y las clasicas de Jose Alfredo Jimenez, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair. Conversation:  Apprentice: I went to a nickelback concert this past summer  Wizard: Oh that's very cool I've never been to a Nickelback concert but I really do like Nickelback are you aware of who the members of the band are  Apprentice: The lead singer was very funny during the set, I forget his name though."
16,Elvis Presley,"Context: Judas Priest went into the studio in June-July 1974 with Black Sabbath producer Rodger Bain. The band  Question: Did the album sell well? Answer: None. Question: What does ""Rocka Rolla"" refer to? Answer: The band released their debut single ""Rocka Rolla"" that Question: Who produced their debut single? Answer: Rodger Bain. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen. Conversation:  Wizard: Hello, I love to listen to Elvis , do you? he is the King of Rock N Roll  Apprentice: Yes, I love classic rock, especially from the 50s.  Wizard: yes me to classic rock is the best! Rock N Roll Experience Magazine showcases classic bands sometimes  Apprentice: Can you tell me more about that magazine?"
17,Bowling,"Context: Daniel Barenboim was born in 1942 in Buenos Aires, Argentina, to Argent Question: Why? Answer: None. Question: When was Daniel born? Answer: 1942 Question: Where was Daniel born? Answer: Buenos Aires, Argentina, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy. Conversation:  Apprentice: Bowling is real popular in my area, I live around a lot of old people.  Wizard: Oh that's funny, yeah it's a a fun leisure activity, do old people usually go bowling?  Apprentice: Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience"
18,American football,"Context: After graduating with a degree in composition in 1952, Gryce relocated to New York City, where he would enjoy much success in the mid fifties. In 1953 Max Roach recorded one of Gryce's charts with his septet, and soon after Gryce recorded with Howard McGhee and wrote for Horac Question: Where either of these songs successful? Answer: None. Question: Did Gryce move the New York? Answer: After graduating with a degree in composition in 1952, Gryce relocated to New York City, Question: Was he actively in a band? Answer: In 1953 Max Roach recorded one of Gryce's charts with his septet, and soon after Gryce recorded with Howard McGhee and wrote Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009. Conversation:  Apprentice: I don't really know the rules of American Football  Wizard: Oh really? It is kind of simple, you just need to watch it. First the ball starts with the offense, their goal is to get it into the endzone.  Apprentice: It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements"
19,Skiing,"Context: In 2002, Rajinikanth undertook a day-long fast to protest the Government of Karnataka's decision to not release Kaveri River water into Tamil Nadu, and announced that he would contribute Rs10 million (US$150,000) toward a plan to interlink Indian rivers. He met wi Question: Did it work? Answer: None. Question: What political issues did he get involved with? Answer: In 2002, Rajinikanth undertook a day-long fast to protest the Government of Karnataka's decision to not release Kaveri River water into Tamil Nadu, Question: Did he do anything else in support of this issue? Answer: contribute Rs10 million (US$150,000) toward a plan to interlink Indian rivers. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: Skiing is a pretty fun sport, but interestingly enough, it's also got a history of nearly 5 millennia. Five!  Apprentice: Wow! I wonder where it originated?  Wizard: Modern skiing came from Scandinavia, but it was thought to originally come from China, as seen in ancient paintings. Who would've thought.  Apprentice: That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?"
20,Harry Potter,"Context: In 1953, Crewe met and partnered professionally with Frank Slay Jr., a young pianist from Texas. Their collaboration created several hit songs (as well as a small record label, XYZ), for which Crewe performed as the demo singer. Crewe and Question: who else sang on the songs? Answer: None. Question: What was his career like in the 1950s? Answer: In 1953, Crewe met and partnered professionally with Frank Slay Jr., a young pianist from Texas. Their Question: was their anything significant about Bob Crewe in 1950s? Answer: Their collaboration created several hit songs (as well as a small record label, XYZ), for which Crewe performed as the demo singer. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts. Conversation:  Apprentice: I really like the Harry Potter franchise  Wizard: Harry Potter chronicles the life of Harry Potter and his friends.  Apprentice: I really think that Harry Potter should not have been the main character though"
21,Skiing,"Context: In 1964, along wit Question: What happen after that refusal Answer: None. Question: What was the policy groups like? Answer: Rockefeller founded the non-profit International Executive Service Corps which encourages developing nations to promote private enterprise. Question: What year Answer: 1964, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first depiction of a skier with two ski poles dates to 1741. Conversation:  Wizard: My favorite past time is skiing. means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.  Apprentice: I have only went skiing once and loved it!  It was really hard though.  I imagine it takes a lot of practice, right?  Wizard: Sure.it takes a lot of endurance . one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.  Apprentice: That's interesting.  I have never seen that before.  When was skiing invented?"
22,"On-again, off-again relationship","Context: In 1762, Peale married Rachel Brewer (1744-179 Question: Did he have any famous works? Answer: None. Question: When was Peale married? Answer: 1762, Question: Who was he married to? Answer: Rachel Brewer Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: Im so sad, i broke up again with my grilfriend, well ex girlfriend, she doesnt understand me, its so tiring being on again off again kind of relationship! have you ever been in a situation like this?  Wizard: Yes I have in the past. It was for emotional reasons, but I know people in the situation because of physical geography  Apprentice: Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again."
23,The Walking Dead (TV series),"Context: Skinny Puppy is noted for theatrical and controversial live performances which blend performance art with music, especially in an ambitious period that spanned their Head Trauma (1987-1988), VIVIsectVI (1988), Too Dark Park (1990), and Last Rights (1992) tours. O Question: any other groups or bands they have connections with Answer: None. Question: what was the 1st life performance Answer: spanned their Head Trauma (1987-1988), Question: what year did they tour Answer: 1992 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse. Conversation:  Wizard: Have you seen the TV series "" The Walking Dead"" an American post-apocalyptic thriller.  Apprentice: Yes, but it's garbage.  Wizard: I like the actor Andrew Lincoln. He plays the lead character as a sheriff's deputy.  Apprentice: He does a decent job. He has been meme'd to death because of that role."
24,Dylan's Candy Bar,"Context: As well as appearing on numerous TV programmes for promotion of their albums/singles, JLS have had two special TV shows of their own broadcast. The first was an hour-long documentary for ITV2, titled JLS Revealed, which first aired on 7 November 2009. The docum Question: Did they win on Million Pound? Answer: None. Question: What was their first television appearance? Answer: As well as appearing on numerous TV programmes for promotion of their albums/singles, JLS have had two special TV shows of their own broadcast. Question: Did the specials have good viewership? Answer: JLS have had two special TV shows of their own broadcast. The first was an hour-long documentary for ITV2, titled JLS Revealed, which first aired on 7 November 2009. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes. Conversation:  Apprentice: I like Dylans bars do you?  Wizard: Yes Dylans Candy Bar is my favorite boutique candy store  Apprentice: They have everything! i just love it"
25,American football,"Context: ""Death on Two Legs"" can be referred to as Freddie Mercury's hate letter to Queen's first manager, Norman Sheffield, who for some years was reputed to have mistreated the band and abused his role as their manager from 1972 to 1975. Sheffield Question: anybody else? Answer: None. Question: What is Death on Two Legs? Answer: Death on Two Legs"" can be referred to as Freddie Mercury's hate letter to Queen's first manager, Norman Sheffield, Question: Why did he hate him? Answer: was reputed to have mistreated the band and abused his role as their manager from 1972 to 1975. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team. Conversation:  Apprentice: I love American football dont you?  Wizard: I do too! It's a great team sport played on a rectangular field between two goalposts.  Apprentice: I think my favorite team is the cowboys"
26,Ireland,"Context: The idea for bringing a black dancer to Fox to star with Temple in The Little Colonel was actually first proposed by Fox head Winfield Sheehan after a discussion with D. W. Griffith. Sheehan set his sights on Robinson but, unsure of his ability as an actor, arranged for a contract that was void if Robinson failed the dramatic test. Robinson  Question: Was it a hit movie? Answer: None. Question: What is the connection to Shirley Temple? Answer: The idea for bringing a black dancer to Fox to star with Temple in The Little Colonel was actually first proposed by Fox head Winfield Sheehan Question: How was that received? Answer: Sheehan set his sights on Robinson but, unsure of his ability as an actor, arranged for a contract that was void if Robinson failed the dramatic test. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Thick woodlands covered the island until the Middle Ages. Conversation:  Wizard: Ever been to Ireland in the North Atlantic? Heard it is lovely.  Apprentice: i have not been there but id love to  Wizard: Its not too big but it is the third largest island in Europe so not too small, seems like a lively and nice place.  Apprentice: have you been to europe?"
27,Guns N' Roses,"Context: The band's follow-up album, Karma and Effect, was released in May 2005. Originally titled Catering to Cowards, the name was changed at the record label's demand. ""Karma and Effect"" debuted at number 8 on the US Billboard 200 album charts, and was certified gold in the US and Canada. The album spawned three singles, ""Remedy"", ""Truth"", and ""The Gift"". ""Remedy""  Question: Did the group go on tour? Answer: None. Question: Was Karma and Effect an album? Answer: The band's follow-up album, Karma and Effect, Question: What were some singles from the album? Answer: The Gift"". Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time. Conversation:  Apprentice: I just recently started listening to Guns N' Roses.  Wizard: Oh they are classic!! They are an American band from LA that formed in 1985.  Apprentice: All the great bands come from LA. Is the band still together today?"
28,Game design,"Context: In 1539, with Saint Peter Faber and Saint Francis Xavier, Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul III. Ignatius was chosen as the first Superior General of the order and invested with the title of Father General by the Jesuits.  Ignatius sent his companions as missionaries around Europe to create schools, colleges, and seminaries. Juan de V Question: What were the tenets of the order? Answer: None. Question: What causes Ignatius to found the Jesuits? Answer: In 1539, with Saint Peter Faber and Saint Francis Xavier, Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul III. Question: What was their purpose in forming in the order? Answer: Ignatius sent his companions as missionaries around Europe to create schools, colleges, and seminaries. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations). Conversation:  Wizard: i design video games.  applying game design itself is a metadesign   Apprentice: That sound interesting.  What is a metadesign?  I have never heard of it.  Wizard: its when elements in game design are applied to other virtual ones.   Apprentice: Thats cool what kind of games do you design?"
29,Popcorn,"Context: After spending time in Europe, Van Sant went to Los Angeles in 1976. He secured a job as a production assistant to writer/director Ken Shapiro, with whom he developed a few ideas, none of which came to fruition. In 1981,  Question: what was that movie called? Answer: None. Question: what happened in 1982? Answer: After spending time in Europe, Van Sant went to Los Angeles in 1976. He secured a job as a production assistant to writer/director Ken Shapiro, Question: what did he do with ken? Answer: assistant to writer/director Ken Shapiro, with whom he developed a few ideas, none of which came to fruition. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Archaeologists discovered that people have known about popcorn for thousands of years. Conversation:  Apprentice: Sometimes the taste of popcorn puts me off. Do you like popcorns?  Wizard: I like popcorn. It is based on corn and kernels.  Apprentice: Who invented popcorn?"
30,Cod,"Context: The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year and a half. Davis, Konitz, Mulligan and Barber were the only musicians who played on all three sessions, though the instrumental lineup was constant (excepting the omission of piano on a few songs and the addition of Hagood on ""Darn That Dream""). The first session occurred on January 21, 1949, recording four tracks: Mulligan' Question: Were they hits? Answer: None. Question: How was it recorded? Answer: recorded twelve tracks for Capitol during three sessions over the course of nearly a year and a half. Davis, Konitz, Mulligan and Barber were the only musicians who played on Question: Is there anything else significant about how it was recorded? Answer: The first session occurred on January 21, 1949, recording four tracks: Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA). Conversation:  Wizard: Do you know much about Cod?  I read that it belongs to the family Gadidae  Apprentice: I like Cod but only eat Wild Caught Cod. I prefer to eat fish that is not farm raised due to the pesticides in the food.  Wizard: Yes the two most common are atlanticcod and pacific cod  Apprentice: Most cod sold in stores is farm raised, and also the cod you eat in restaurants."
31,Discovery Channel,"Context: Cronje's form in 1991/92 was impressive especially in the one-day format where he averaged 61.40. He earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney. During th Question: Was he considered one of the greats? Answer: None. Question: What characterized the debuts? Answer: Cronje's form in 1991/92 was impressive especially in the one-day format where he averaged 61.40. Question: What about his form was impressive? Answer: He earned an international call up for the 1992 World Cup, making his One Day International debut against Australia at Sydney. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The show's title derives from the inherent high risk of injury or death associated with the work. Conversation:  Wizard: I edit videos for the Discovery Channel!  Apprentice: That is great.  I really enjoy the Discvery Channel.    Wizard: I am so glad!  A lot of great shows are on the Discovery Channel. It's the third most widely distributed cable channel in the U.S.  Apprentice: I did not know that.  I do know that I used to watch MythsBusters on a weekly basis.  It was very interesting and entertaining"
32,Guns N' Roses,"Context: Devika Rani Chaudhuri was born into a Bengali family in Waltair near Visakhapatnam in present-day Andhra Pradesh, into an extremely affluent and educated Bengali family. Her fathe Question: did she work for anybody else before that? Answer: None. Question: where was Devika born? Answer: in Waltair near Visakhapatnam Question: What was her family background? Answer: an extremely affluent and educated Bengali family. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: However, some have argued that it does match what is known as situational irony. Conversation:  Wizard: Do you like rock music? I love to jam out to classics from the 80s, like Guns N' Roses!  Apprentice: Born in the late 70s so didn't really start to appreciate music until the 1990s onwards. Loved Dave Matthews Band  Wizard: I was never a big fan of the Dave Matthews Band, but I actually really dig some of his solo performances.  Apprentice: Fave 1990s rock song of all is Bitter Sweet SYmphony by the Verve. Loved older classics like Bohemian Raphody by queen "
