index,topic,prompt
10,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The emotional ""pain"" of a broken heart is believed to be part of the survival instinct. Conversation:  Apprentice: Have you ever had a broken heart?\  Wizard: Yes, I have suffered from a broken heart which is a metaphor for major emotional and physical pain that someone feels from the longing of a loved one. How about you?  Apprentice: I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had."
11,List of national parks of the United States,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: I love national parks dont you?  Wizard: I do! The first national park was Yellowstone, signed into law by President Ulysses Grant in 1972.  Apprentice: Yes, I have never been there but I would love to go, have you been?"
12,Discovery Channel,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav. Conversation:  Wizard: The discover channel used to be a great channel on television but it went down the drain  Apprentice: Oh yeah I've noticed that it really took a dip in quality recently.  Wizard: The discovery channel was simply referred to as didcovery back in 1985 tho  Apprentice: It was? I haven't been around for long enough to have seen that."
13,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL). Conversation:  Apprentice: I rather enjoy American football particularly college football. Do you watch/ have a favorite team?  Wizard: I do, the Dallas Cowboys. Bad of late but they will do great one day.  Apprentice: They had a great run in the 1990's. Plus, now that new stadium is rather impressive hopefully they can live up to it."
14,Guns N' Roses,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time. Conversation:  Apprentice: Have you heard of the band Guns N' Roses? They are my favorite band ever  Wizard: Sure the band was formed inn 1985 in  Los Angeles, California.  What is tour favorite album?  Apprentice: Id say my favorite is Appetite for destruction "
15,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair. Conversation:  Apprentice: I went to a nickelback concert this past summer  Wizard: Oh that's very cool I've never been to a Nickelback concert but I really do like Nickelback are you aware of who the members of the band are  Apprentice: The lead singer was very funny during the set, I forget his name though."
16,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen. Conversation:  Wizard: Hello, I love to listen to Elvis , do you? he is the King of Rock N Roll  Apprentice: Yes, I love classic rock, especially from the 50s.  Wizard: yes me to classic rock is the best! Rock N Roll Experience Magazine showcases classic bands sometimes  Apprentice: Can you tell me more about that magazine?"
17,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy. Conversation:  Apprentice: Bowling is real popular in my area, I live around a lot of old people.  Wizard: Oh that's funny, yeah it's a a fun leisure activity, do old people usually go bowling?  Apprentice: Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience"
18,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009. Conversation:  Apprentice: I don't really know the rules of American Football  Wizard: Oh really? It is kind of simple, you just need to watch it. First the ball starts with the offense, their goal is to get it into the endzone.  Apprentice: It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements"
19,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: Skiing is a pretty fun sport, but interestingly enough, it's also got a history of nearly 5 millennia. Five!  Apprentice: Wow! I wonder where it originated?  Wizard: Modern skiing came from Scandinavia, but it was thought to originally come from China, as seen in ancient paintings. Who would've thought.  Apprentice: That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?"
20,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts. Conversation:  Apprentice: I really like the Harry Potter franchise  Wizard: Harry Potter chronicles the life of Harry Potter and his friends.  Apprentice: I really think that Harry Potter should not have been the main character though"
21,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first depiction of a skier with two ski poles dates to 1741. Conversation:  Wizard: My favorite past time is skiing. means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.  Apprentice: I have only went skiing once and loved it!  It was really hard though.  I imagine it takes a lot of practice, right?  Wizard: Sure.it takes a lot of endurance . one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.  Apprentice: That's interesting.  I have never seen that before.  When was skiing invented?"
22,"On-again, off-again relationship","Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: Im so sad, i broke up again with my grilfriend, well ex girlfriend, she doesnt understand me, its so tiring being on again off again kind of relationship! have you ever been in a situation like this?  Wizard: Yes I have in the past. It was for emotional reasons, but I know people in the situation because of physical geography  Apprentice: Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again."
23,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse. Conversation:  Wizard: Have you seen the TV series "" The Walking Dead"" an American post-apocalyptic thriller.  Apprentice: Yes, but it's garbage.  Wizard: I like the actor Andrew Lincoln. He plays the lead character as a sheriff's deputy.  Apprentice: He does a decent job. He has been meme'd to death because of that role."
24,Dylan's Candy Bar,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes. Conversation:  Apprentice: I like Dylans bars do you?  Wizard: Yes Dylans Candy Bar is my favorite boutique candy store  Apprentice: They have everything! i just love it"
25,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team. Conversation:  Apprentice: I love American football dont you?  Wizard: I do too! It's a great team sport played on a rectangular field between two goalposts.  Apprentice: I think my favorite team is the cowboys"
26,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Thick woodlands covered the island until the Middle Ages. Conversation:  Wizard: Ever been to Ireland in the North Atlantic? Heard it is lovely.  Apprentice: i have not been there but id love to  Wizard: Its not too big but it is the third largest island in Europe so not too small, seems like a lively and nice place.  Apprentice: have you been to europe?"
27,Guns N' Roses,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time. Conversation:  Apprentice: I just recently started listening to Guns N' Roses.  Wizard: Oh they are classic!! They are an American band from LA that formed in 1985.  Apprentice: All the great bands come from LA. Is the band still together today?"
28,Game design,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations). Conversation:  Wizard: i design video games.  applying game design itself is a metadesign   Apprentice: That sound interesting.  What is a metadesign?  I have never heard of it.  Wizard: its when elements in game design are applied to other virtual ones.   Apprentice: Thats cool what kind of games do you design?"
29,Popcorn,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Archaeologists discovered that people have known about popcorn for thousands of years. Conversation:  Apprentice: Sometimes the taste of popcorn puts me off. Do you like popcorns?  Wizard: I like popcorn. It is based on corn and kernels.  Apprentice: Who invented popcorn?"
30,Cod,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA). Conversation:  Wizard: Do you know much about Cod?  I read that it belongs to the family Gadidae  Apprentice: I like Cod but only eat Wild Caught Cod. I prefer to eat fish that is not farm raised due to the pesticides in the food.  Wizard: Yes the two most common are atlanticcod and pacific cod  Apprentice: Most cod sold in stores is farm raised, and also the cod you eat in restaurants."
31,Discovery Channel,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The show's title derives from the inherent high risk of injury or death associated with the work. Conversation:  Wizard: I edit videos for the Discovery Channel!  Apprentice: That is great.  I really enjoy the Discvery Channel.    Wizard: I am so glad!  A lot of great shows are on the Discovery Channel. It's the third most widely distributed cable channel in the U.S.  Apprentice: I did not know that.  I do know that I used to watch MythsBusters on a weekly basis.  It was very interesting and entertaining"
32,Guns N' Roses,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: However, some have argued that it does match what is known as situational irony. Conversation:  Wizard: Do you like rock music? I love to jam out to classics from the 80s, like Guns N' Roses!  Apprentice: Born in the late 70s so didn't really start to appreciate music until the 1990s onwards. Loved Dave Matthews Band  Wizard: I was never a big fan of the Dave Matthews Band, but I actually really dig some of his solo performances.  Apprentice: Fave 1990s rock song of all is Bitter Sweet SYmphony by the Verve. Loved older classics like Bohemian Raphody by queen "
33,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Apprentice: I used to bowl all of the time when I was younger  Wizard: I still do, sometimes as a sport or leisure activity.  Apprentice: are you on a team, my dad was always on a bowling team when I was growing up"
34,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry. Conversation:  Apprentice: I just ordered all the Harry Potter books and look forward to reading them  Wizard: I have never read any books by the British author J.K. Rowling, it does sound like an interesting series though  Apprentice: Harry Potter is a series of fantasy novels written by British author J. K. Rowling"
35,Archery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite. Conversation:  Wizard: Archery is so cool to watch! It is the use of a bow to propel arrows.  Apprentice: Wow, i have watched it a few times but i don't know much about it could you tell me more  Wizard: Well way back in history, archery was less a sport and more a means of hunting and combat.  Apprentice: How far back does archery date? im curious when did we start using them bow"
36,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India. Conversation:  Wizard: I could never get the hang of skiing. I don't think my balance is good enough.  Apprentice: Interesting. Snow skiing or water skiing?  Wizard: I have tried both. I was better at snow skiing than water skiing. I think for water skiing I wasnt strong enough to hold myself up.  Apprentice: Did you try skiing lessons? They have amazing ski resorts that offer lessons in Colorado."
37,Game design,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g. Conversation:  Apprentice: how long have you been designing games?  Wizard: I personally haven't designed any games but have taken classes about games, I like it because there are rules and roles that everyone has to adhere to and it gives you any kind of element you want to work with.   Apprentice: where were your classes taken?"
38,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Apprentice: Elvis Presley is one of my favorite artists of all time  Wizard: I loved Elvis!  It was so sad when he died! He really WAS the ""King of Rock and Roll""!  Apprentice: He really was i was really sad as well, could you tell me when was he born?"
39,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple. Conversation:  Apprentice: My favorite color is green, to me it is peaceful.  How about you?  Wizard: I like green, I think it is cool that it is a mix of blue and yellow, and comes between them in the visible spectrum as well  Apprentice: That is true, it is kind of a mesh of two colors.  It does not hurt it is referred to as the common color of money as well."
40,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors. Conversation:  Apprentice: My favorite color is green. I really love the different variations of it. How about you?  Wizard: I like green, it reminds me of trees since it is the color between blue and yellow!  Apprentice: It makes me think of spring and summer, when the grass is nice and green and the trees are full."
41,Medical billing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In the United States, Medicare is a single-payer, national social insurance program administered by the U.S. federal government since 1966, currently using about 30–50 private insurance companies across the United States under contract for administration. Conversation:  Apprentice: I was bilked so much medically last time  Wizard: oh god, do you have health insurance.   Apprentice: No I don't"
42,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal. Conversation:  Apprentice: im a big nickelback fan. whats your opinion on the band?  Wizard: I actually love Nickelback! They sold over 50 million albums in early 2000s I think!  Apprentice: it wouldnt surprise me. when they started getting radio play, the band blew up big."
43,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Harry Potter is a series of fantasy novels written by British author J. K. Rowling. Conversation:  Apprentice: Everyone has seen Harry Potter except me. Have you ever read the books or watched the movies?  Wizard: Yes I am a big fan of it actually. I love reading about chronicles of the life of a young wizard  Apprentice: Was he born a wizard?"
44,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A well-known variant of ""tweening"" is the power stroker. Conversation:  Wizard: Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target .  Apprentice: It looks easy on television, but I guess aiming is difficult?  Wizard: Generally, there are three basic forms of 10 pin bowling.  Apprentice: What are the 3 forms?"
45,Motivation,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior. Conversation:  Apprentice: I have trouble getting motivated. What about you?  Wizard: Yea same motivation is very hard if you dont desire it or need it  Apprentice: Well... if it's something important is no fun. because you know you have to do it, but you just don't!"
46,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues. Conversation:  Wizard: Having been a cheerleader, I will *absolutely* argue that it should be classified as an intense athletic physical activity!  Apprentice: You know I've never thought about it before, but yes, you are right - it's intense!   Wizard: I mean, obviously it *depends* -- but competitive routines include tumbling, dance, jumps, cheers, and ""stunting"". A lot!  Apprentice: Wow, very impressive.  How long did it take you to learn all those moves?"
47,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Instagram lets registered users upload photos or videos to the service. Conversation:  Apprentice: Have you ever used Instagram? I've looked at it but have never done anything with it.  Wizard: Yes its great its a internet based photo sharing app lots of fun  Apprentice: Hmm, must check it out. Any idea who developed it?"
48,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles. Conversation:  Wizard: I am going to see the Canadian rock band Nickelback soon!  Apprentice: I like to go to canada trip. can you tell more about that place  Wizard: Well the bank Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kroeger  Apprentice: Good buddy.what special in album"
49,Japanese language,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Following the end in 1853 of Japan's self-imposed isolation, the flow of loanwords from European languages increased significantly. Conversation:  Wizard: I want to learn to speak japanese, little is known of the languages history tho  Apprentice: That's very mysterious. Is there anything else spooky about the Japanese language, haha.  Wizard: A few words show up in chinese documents from 3rd century then nothing until 8th century, strange huh?  Apprentice: It's that Japanese secrecy stuff, I bet they burned all their documents or something. So is the Japanese language similar to Chinese?"
50,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902. Conversation:  Apprentice: Colors are a lot of fun. My favorite to use in art is green.  Wizard: I also like green.  It is right between yellow and blue on the color wheel  Apprentice: Yep! Colors are really interesting with how ways you can mix them to make new colors. "
51,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry. Conversation:  Wizard: Harry Potter is a really solid set of novels.  Apprentice: My son loves the series, but I don't know much about it. How many books are in the series?  Wizard: Harry Potter consists of seven different fantasy novels.  Apprentice: I better get reading! What is the general plot of the story?"
52,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In North America, the species is widely distributed east of the Rocky Mountains, but elsewhere, it is mostly replaced by the black-tailed or mule deer (""Odocoileus hemionus""). Conversation:  Wizard: I think deer hunting is interesting. I myself hunt for food.  Apprentice: What types of food can you get from deer meat?  Wizard: There are many types of deer around the world that are hunted for food. They give us venison.  Apprentice: What types of deer are found in the United States?"
53,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Apprentice: When I see green, I can't help but think of nature.  Wizard: Me too, I study colors for a living and green is a personal favorite, In fact green has a very dominant wavelength of roughly 495570 nm which is high on the color spectrum.  Apprentice: Very interesting! One of my favorite ""shades"" is lime green. I have a lot of computer parts that glow this color!"
54,Cardigan (sweater),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It may be machine- or hand-knitted. Conversation:  Apprentice: Cardigans make me look dapper.  Wizard: I agree. They're associated with the Roaring Twenties which had many classy dressing styles.  Apprentice: Do you know if there are any made out of a material other than cotton?"
55,Paramedic,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: WFPS has two equally important divisions: The Winnipeg Fire Department (WFD) and Winnipeg Emergency Medical Services (WEMS), using a centralized dispatch system. Conversation:  Apprentice: my friend wanted to be a paramedic  Wizard: I wouldn't want to be EMS on 911 calls.  The scenes would haunt you for life.  Apprentice: yea thats why my friend quit"
56,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: My favorite color is green. whats yours?  Apprentice: I really like purple. But, blue is also a nice color.   Wizard: Green is actually the color in between blue and yellow on the visible light spectrum  Apprentice: Yes, that's true. Green is also the color of money so I do like that!"
57,Online shopping,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items. Conversation:  Wizard: I shop online way too much. I tend to visit too many retailers and searching for products I might want or need and it shows me everything I want to know.  Apprentice: Where's your favourite shopping store?  Wizard: Usually Amazon and Target. I love how I can shop from anywhere, my phone, laptop, my tablet. Possibilites are endless.  Apprentice: Have you heard of Alibaba,?"
58,Insane Clown Posse,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The duo has earned two platinum and five gold albums. Conversation:  Apprentice: Do you know anything about the band called Insane Clown Posse?  Wizard: Insane Clown Posse (ICP) is an American hip hop duo composed of Violent J ,and Shaggy 2 Dope .   Apprentice: Interesting, how long have they been around?"
59,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: My mom was born in Ireland.   Wizard: Wow that's cool! Is she from Northern Ireland, or the Republic of Ireland?   Apprentice: Northern Ireland. "
60,Game design,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The independent game industry has seen a substantial rise in recent years with the growth of new online distribution systems, such as Steam and Uplay, as well as the mobile game market, such as for Android and iOS devices. Conversation:  Apprentice: I help design video games for a living. More on the concept side, less on the actual building! Do you play?  Wizard: Off and on, it seems as if gaming has become a part of popular culture.  What types of games do you design?  Apprentice: Educational, primarily for grade school age children. And yes, they are officially *enmeshed* in our culture for better or worse. I try to work for the better!"
61,John Grisham,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Grisham's first bestseller, ""The Firm"", sold more than seven million copies. Conversation:  Wizard: I really like John Grisham books and movies. He is so multi-talented, since he is a writer, politician, attorney and activist!  Apprentice: John Grisham was a politician?  I had no idea.  What position did he hold?  Wizard: I'm not sure, but I do know that he graduated from MS State University and went to the MS School of Law in 1981  Apprentice: It seems like he excelled at everything he does.  What are some of his more well known books?"
62,Paramedic,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body. Conversation:  Apprentice: Hi, I am studying to be a Paramedic. Can you help me?  Wizard: Thats cool, you are preparing to be a  healthcare professional, predominantly in the pre-hospital and out-of-hospital environment  Apprentice: Yes but I am afraid it might be stressful. Do you think so?"
63,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Apprentice: I really like bowling but I have not done it in awhile. Has anything changed about it?  Wizard: Bowling is one of major throwing sports. It has not changed  Apprentice: That's cool! So I can just get started again. :) Do you know much about bowling?"
64,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS). Conversation:  Wizard: I was just trying to imagine what the first skier must have looked like. The first picture of a skier with two poles was back in 1741.  Apprentice: Try to imagine what his thoughts must have been as he is plummeting down the hill  Wizard: I am certain the skis then were much different than today.   Apprentice: Yes, probably much less safe.  "
65,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Three consecutive strikes is a known as a ""turkey"". Conversation:  Wizard: lets talk bowling a game where you throw a bowling ball towards a target.  Apprentice: ok I love bowling I would like to know more  Wizard: for one it is one of the major forms of throwing sports and I think a lot of people enjoy it  Apprentice: yes me too I use to bowl all the time with my family what about the strike?"
66,John Grisham,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel."" Conversation:  Wizard: if you love triller movies, I sure you must have come across John Grisham   Apprentice: I have I love his books and movies.  What is your favorite John Grisham?  Wizard: I love first first book ""A Time to Kill,"" was published in June 1989,  Apprentice: That was a good one.  I haven't read the book but I did see the movie.  When was A Time To Kill made into a movie?"
67,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge:  Conversation:  Apprentice: hey there, my fave color is green.  Wizard: I love green too! The color between blue and yellow is so unique.  Apprentice: wow! you know a lot about green. how did you learn what colors make it up?"
