prompt,output
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles. Conversation:  Apprentice: I went to a nickelback concert this past summer  Wizard: Oh that's very cool I've never been to a Nickelback concert but I really do like Nickelback are you aware of who the members of the band are  Apprentice: The lead singer was very funny during the set, I forget his name though.",<pad> Apprentice went to a Nickelback concert this past summer. Wizard likes Nickelback. Apprentice
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Hello, I love to listen to Elvis , do you? he is the King of Rock N Roll  Apprentice: Yes, I love classic rock, especially from the 50s.  Wizard: yes me to classic rock is the best! Rock N Roll Experience Magazine showcases classic bands sometimes  Apprentice: Can you tell me more about that magazine?","<pad> Wizard: Yes, I love classic rock, especially from the 50s. Rock N Roll Experience"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: Bowling is real popular in my area, I live around a lot of old people.  Wizard: Oh that's funny, yeah it's a a fun leisure activity, do old people usually go bowling?  Apprentice: Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience",<pad> Apprentice: I've been bowling a lot lately. I live around a lot
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: I don't really know the rules of American Football  Wizard: Oh really? It is kind of simple, you just need to watch it. First the ball starts with the offense, their goal is to get it into the endzone.  Apprentice: It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements",<pad> Apprentice: I like soccer because you get to see a game not a thousand advertisements.
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The word ""ski"" is one of a handful of words Norway has exported to the international community. Conversation:  Wizard: Skiing is a pretty fun sport, but interestingly enough, it's also got a history of nearly 5 millennia. Five!  Apprentice: Wow! I wonder where it originated?  Wizard: Modern skiing came from Scandinavia, but it was thought to originally come from China, as seen in ancient paintings. Who would've thought.  Apprentice: That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?","<pad> Wizard: Yes, but it's not the only factor. Skiing is a sport"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: I really like the Harry Potter franchise  Wizard: Harry Potter chronicles the life of Harry Potter and his friends.  Apprentice: I really think that Harry Potter should not have been the main character though",<pad> Harry Potter is a fictional character in the Harry Potter series of books.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The word ""ski"" is one of a handful of words Norway has exported to the international community. Conversation:  Wizard: My favorite past time is skiing. means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.  Apprentice: I have only went skiing once and loved it!  It was really hard though.  I imagine it takes a lot of practice, right?  Wizard: Sure.it takes a lot of endurance . one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.  Apprentice: That's interesting.  I have never seen that before.  When was skiing invented?","<pad> The word ""ski"" is one of a handful of words Norway has exported to the international"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Such reasons can involve things which are directly internal to the relationship, or external factors, which may or may not be within their direct control. Conversation:  Apprentice: Im so sad, i broke up again with my grilfriend, well ex girlfriend, she doesnt understand me, its so tiring being on again off again kind of relationship! have you ever been in a situation like this?  Wizard: Yes I have in the past. It was for emotional reasons, but I know people in the situation because of physical geography  Apprentice: Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again.",<pad> Apprentice: I broke up with my girlfriend again. It's so tiring. Wizard:
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia. Conversation:  Wizard: Have you seen the TV series "" The Walking Dead"" an American post-apocalyptic thriller.  Apprentice: Yes, but it's garbage.  Wizard: I like the actor Andrew Lincoln. He plays the lead character as a sheriff's deputy.  Apprentice: He does a decent job. He has been meme'd to death because of that role.",<pad> Apprentice: I haven't seen it. It's garbage.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Lauren said that her goal was to ""merge fashion, art and pop candy culture"". Conversation:  Apprentice: I like Dylans bars do you?  Wizard: Yes Dylans Candy Bar is my favorite boutique candy store  Apprentice: They have everything! i just love it","<pad> Lauren said that her goal was to ""merge fashion, art and pop candy culture"".</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: I love American football dont you?  Wizard: I do too! It's a great team sport played on a rectangular field between two goalposts.  Apprentice: I think my favorite team is the cowboys",<pad> Apprentice: I love American football. It's a great team sport played on a
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island. Conversation:  Wizard: Ever been to Ireland in the North Atlantic? Heard it is lovely.  Apprentice: i have not been there but id love to  Wizard: Its not too big but it is the third largest island in Europe so not too small, seems like a lively and nice place.  Apprentice: have you been to europe?","<pad> Wizard: Yes, I have been to Europe.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100. Conversation:  Apprentice: I just recently started listening to Guns N' Roses.  Wizard: Oh they are classic!! They are an American band from LA that formed in 1985.  Apprentice: All the great bands come from LA. Is the band still together today?","<pad> Apprentice: Yes, they are still together today.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Games have historically inspired seminal research in the fields of probability, artificial intelligence, economics, and optimization theory. Conversation:  Wizard: i design video games.  applying game design itself is a metadesign   Apprentice: That sound interesting.  What is a metadesign?  I have never heard of it.  Wizard: its when elements in game design are applied to other virtual ones.   Apprentice: Thats cool what kind of games do you design?",<pad> Wizard: I design video games. Applying game design itself is a metadesign. Apprentice
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The kernel ruptures and forcefully expands, allowing the contents to expand, cool, and finally set in a popcorn puff 20 to 50 times the size of the original kernel. Conversation:  Apprentice: Sometimes the taste of popcorn puts me off. Do you like popcorns?  Wizard: I like popcorn. It is based on corn and kernels.  Apprentice: Who invented popcorn?",<pad> Wizard: It was invented by a man named Cornelius Popcorn.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: (However, ""G. morhua callarias"", a low-salinity, nonmigratory race restricted to parts of the Baltic, was originally described as ""Gadus callarias"" by Linnaeus.) Conversation:  Wizard: Do you know much about Cod?  I read that it belongs to the family Gadidae  Apprentice: I like Cod but only eat Wild Caught Cod. I prefer to eat fish that is not farm raised due to the pesticides in the food.  Wizard: Yes the two most common are atlanticcod and pacific cod  Apprentice: Most cod sold in stores is farm raised, and also the cod you eat in restaurants.",<pad> Apprentice: What kind of cod do you like? Wizard: Atlantic cod and Pacific cod. Apprentice
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The album has sold approximately 30 million copies worldwide, including 18 million units in the United States, making it the best-selling debut album of all time in the US, as well as the eleventh best-selling album in the United States. Conversation:  Wizard: Do you like rock music? I love to jam out to classics from the 80s, like Guns N' Roses!  Apprentice: Born in the late 70s so didn't really start to appreciate music until the 1990s onwards. Loved Dave Matthews Band  Wizard: I was never a big fan of the Dave Matthews Band, but I actually really dig some of his solo performances.  Apprentice: Fave 1990s rock song of all is Bitter Sweet SYmphony by the Verve. Loved older classics like Bohemian Raphody by queen ",<pad> Apprentice: I love rock music. I love Guns N' Roses. Wizard: I
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: I used to bowl all of the time when I was younger  Wizard: I still do, sometimes as a sport or leisure activity.  Apprentice: are you on a team, my dad was always on a bowling team when I was growing up","<pad> Wizard: Yes, I used to bowl all the time when I was younger. I still do"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: I just ordered all the Harry Potter books and look forward to reading them  Wizard: I have never read any books by the British author J.K. Rowling, it does sound like an interesting series though  Apprentice: Harry Potter is a series of fantasy novels written by British author J. K. Rowling",<pad> Harry Potter is a series of fantasy novels written by British author J. K. Rowling
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite. Conversation:  Wizard: Archery is so cool to watch! It is the use of a bow to propel arrows.  Apprentice: Wow, i have watched it a few times but i don't know much about it could you tell me more  Wizard: Well way back in history, archery was less a sport and more a means of hunting and combat.  Apprentice: How far back does archery date? im curious when did we start using them bow",<pad> Archery is a sport that uses a bow to propel arrows. It dates
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The word ""ski"" is one of a handful of words Norway has exported to the international community. Conversation:  Wizard: I could never get the hang of skiing. I don't think my balance is good enough.  Apprentice: Interesting. Snow skiing or water skiing?  Wizard: I have tried both. I was better at snow skiing than water skiing. I think for water skiing I wasnt strong enough to hold myself up.  Apprentice: Did you try skiing lessons? They have amazing ski resorts that offer lessons in Colorado.",<pad> Wizard: I have tried both. I was better at snow skiing than water skiing. I think
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations). Conversation:  Apprentice: how long have you been designing games?  Wizard: I personally haven't designed any games but have taken classes about games, I like it because there are rules and roles that everyone has to adhere to and it gives you any kind of element you want to work with.   Apprentice: where were your classes taken?",<pad> Wizard: I took classes about games at the university.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Conversation:  Apprentice: Elvis Presley is one of my favorite artists of all time  Wizard: I loved Elvis!  It was so sad when he died! He really WAS the ""King of Rock and Roll""!  Apprentice: He really was i was really sad as well, could you tell me when was he born?","<pad> Elvis Presley was born in Memphis, Tennessee, in 1935.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: My favorite color is green, to me it is peaceful.  How about you?  Wizard: I like green, I think it is cool that it is a mix of blue and yellow, and comes between them in the visible spectrum as well  Apprentice: That is true, it is kind of a mesh of two colors.  It does not hurt it is referred to as the common color of money as well.","<pad> Wizard: I like green, too. It is peaceful.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: My favorite color is green. I really love the different variations of it. How about you?  Wizard: I like green, it reminds me of trees since it is the color between blue and yellow!  Apprentice: It makes me think of spring and summer, when the grass is nice and green and the trees are full.","<pad> Wizard: I like green, too. It reminds me of trees.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Medical billers are encouraged, but not required by law, to become certified by taking an exam such as the CMRS Exam, RHIA Exam and others. Conversation:  Apprentice: I was bilked so much medically last time  Wizard: oh god, do you have health insurance.   Apprentice: No I don't",<pad> Apprentice: I was bilked so much medically last time. I don't have
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles. Conversation:  Apprentice: im a big nickelback fan. whats your opinion on the band?  Wizard: I actually love Nickelback! They sold over 50 million albums in early 2000s I think!  Apprentice: it wouldnt surprise me. when they started getting radio play, the band blew up big.",<pad> Apprentice: I love Nickelback. They sold over 50 million albums in early 2000s I think
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: Everyone has seen Harry Potter except me. Have you ever read the books or watched the movies?  Wizard: Yes I am a big fan of it actually. I love reading about chronicles of the life of a young wizard  Apprentice: Was he born a wizard?",<pad> Harry Potter was born a wizard.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target .  Apprentice: It looks easy on television, but I guess aiming is difficult?  Wizard: Generally, there are three basic forms of 10 pin bowling.  Apprentice: What are the 3 forms?",<pad> Wizard: There are three basic forms of 10 pin bowling.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are."" Conversation:  Apprentice: I have trouble getting motivated. What about you?  Wizard: Yea same motivation is very hard if you dont desire it or need it  Apprentice: Well... if it's something important is no fun. because you know you have to do it, but you just don't!",<pad> Apprentice: I have trouble getting motivated. What about you? Wizard: Yea same motivation is
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading. Conversation:  Wizard: Having been a cheerleader, I will *absolutely* argue that it should be classified as an intense athletic physical activity!  Apprentice: You know I've never thought about it before, but yes, you are right - it's intense!   Wizard: I mean, obviously it *depends* -- but competitive routines include tumbling, dance, jumps, cheers, and ""stunting"". A lot!  Apprentice: Wow, very impressive.  How long did it take you to learn all those moves?","<pad> Apprentice: I've never thought about it before, but yes, you are right -"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: Have you ever used Instagram? I've looked at it but have never done anything with it.  Wizard: Yes its great its a internet based photo sharing app lots of fun  Apprentice: Hmm, must check it out. Any idea who developed it?",<pad> Instagram is owned by Facebook.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""Billboard"" ranks them the most successful rock group of the decade; their song ""How You Remind Me"" was listed as the best-selling rock song of the decade and the fourth best-selling of the decade. Conversation:  Wizard: I am going to see the Canadian rock band Nickelback soon!  Apprentice: I like to go to canada trip. can you tell more about that place  Wizard: Well the bank Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kroeger  Apprentice: Good buddy.what special in album","<pad> Nickelback is from Hanna, Alberta Canada and their lead singer and guitarist is Chad Kro"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The standard dialect moved from the Kansai region to the Edo (modern Tokyo) region in the Early Modern Japanese period (early 17th century–mid-19th century). Conversation:  Wizard: I want to learn to speak japanese, little is known of the languages history tho  Apprentice: That's very mysterious. Is there anything else spooky about the Japanese language, haha.  Wizard: A few words show up in chinese documents from 3rd century then nothing until 8th century, strange huh?  Apprentice: It's that Japanese secrecy stuff, I bet they burned all their documents or something. So is the Japanese language similar to Chinese?","<pad> Wizard: Yes, it is similar to Chinese. But it's not the same.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: Colors are a lot of fun. My favorite to use in art is green.  Wizard: I also like green.  It is right between yellow and blue on the color wheel  Apprentice: Yep! Colors are really interesting with how ways you can mix them to make new colors. ",<pad> Apprentice: I like green. It is right between yellow and blue on the color wheel.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: Harry Potter is a really solid set of novels.  Apprentice: My son loves the series, but I don't know much about it. How many books are in the series?  Wizard: Harry Potter consists of seven different fantasy novels.  Apprentice: I better get reading! What is the general plot of the story?",<pad> Harry Potter consists of seven different fantasy novels.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: I think deer hunting is interesting. I myself hunt for food.  Apprentice: What types of food can you get from deer meat?  Wizard: There are many types of deer around the world that are hunted for food. They give us venison.  Apprentice: What types of deer are found in the United States?",<pad> Wizard: There are many types of deer around the world that are hunted for food
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: When I see green, I can't help but think of nature.  Wizard: Me too, I study colors for a living and green is a personal favorite, In fact green has a very dominant wavelength of roughly 495570 nm which is high on the color spectrum.  Apprentice: Very interesting! One of my favorite ""shades"" is lime green. I have a lot of computer parts that glow this color!",<pad> Apprentice: I love green. I think it's a great color.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn. Conversation:  Apprentice: Cardigans make me look dapper.  Wizard: I agree. They're associated with the Roaring Twenties which had many classy dressing styles.  Apprentice: Do you know if there are any made out of a material other than cotton?","<pad> Wizard: No, they're all made of cotton.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The paramedic role is closely related to other healthcare positions, especially the emergency medical technician role, with paramedics often being a higher grade role, with more responsibility and autonomy. Conversation:  Apprentice: my friend wanted to be a paramedic  Wizard: I wouldn't want to be EMS on 911 calls.  The scenes would haunt you for life.  Apprentice: yea thats why my friend quit","<pad> Apprentice: I know, but I'm not sure I want to be a paramedi"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: My favorite color is green. whats yours?  Apprentice: I really like purple. But, blue is also a nice color.   Wizard: Green is actually the color in between blue and yellow on the visible light spectrum  Apprentice: Yes, that's true. Green is also the color of money so I do like that!",<pad> Wizard: What is your favorite color?</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: When an online store is set up to enable businesses to buy from another businesses, the process is called business-to-business (B2B) online shopping. Conversation:  Wizard: I shop online way too much. I tend to visit too many retailers and searching for products I might want or need and it shows me everything I want to know.  Apprentice: Where's your favourite shopping store?  Wizard: Usually Amazon and Target. I love how I can shop from anywhere, my phone, laptop, my tablet. Possibilites are endless.  Apprentice: Have you heard of Alibaba,?","<pad> Wizard: Yes, I have. It's a great way to buy products from other"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: According to Nielsen SoundScan, the entire catalog of the group has sold 6.5 million units in the United States and Canada . Conversation:  Apprentice: Do you know anything about the band called Insane Clown Posse?  Wizard: Insane Clown Posse (ICP) is an American hip hop duo composed of Violent J ,and Shaggy 2 Dope .   Apprentice: Interesting, how long have they been around?",<pad> Insane Clown Posse (ICP) is an American hip hop duo
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is the second largest island in the British Isles, after Great Britain. Conversation:  Apprentice: My mom was born in Ireland.   Wizard: Wow that's cool! Is she from Northern Ireland, or the Republic of Ireland?   Apprentice: Northern Ireland. ",<pad> Apprentice: Northern Ireland.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations). Conversation:  Apprentice: I help design video games for a living. More on the concept side, less on the actual building! Do you play?  Wizard: Off and on, it seems as if gaming has become a part of popular culture.  What types of games do you design?  Apprentice: Educational, primarily for grade school age children. And yes, they are officially *enmeshed* in our culture for better or worse. I try to work for the better!","<pad> Apprentice: I design educational games for grade school age children. And yes, they are officially *"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His first novel, ""A Time to Kill,"" was published in June 1989, four years after he began writing it. Conversation:  Wizard: I really like John Grisham books and movies. He is so multi-talented, since he is a writer, politician, attorney and activist!  Apprentice: John Grisham was a politician?  I had no idea.  What position did he hold?  Wizard: I'm not sure, but I do know that he graduated from MS State University and went to the MS School of Law in 1981  Apprentice: It seems like he excelled at everything he does.  What are some of his more well known books?","<pad> John Grisham's first novel, ""A Time to Kill,"" was published in"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The paramedic role is closely related to other healthcare positions, especially the emergency medical technician role, with paramedics often being a higher grade role, with more responsibility and autonomy. Conversation:  Apprentice: Hi, I am studying to be a Paramedic. Can you help me?  Wizard: Thats cool, you are preparing to be a  healthcare professional, predominantly in the pre-hospital and out-of-hospital environment  Apprentice: Yes but I am afraid it might be stressful. Do you think so?","<pad> Apprentice: Yes, but I am afraid it might be stressful. Do you think so?</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: I really like bowling but I have not done it in awhile. Has anything changed about it?  Wizard: Bowling is one of major throwing sports. It has not changed  Apprentice: That's cool! So I can just get started again. :) Do you know much about bowling?",<pad> Apprentice: I really like bowling but I have not done it in awhile. Has anything changed
