,id,response,cand,question,knowledge,knowledge_ans,score
72,70,apprentice: i love to hunt. there's nothing like having some fresh meat. wizard:,NO_Q,NO_Q,"It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.",NO_Q,-1.0
73,71,wizard: football is a team sport. it's a game between two teams.,NO_Q,NO_Q,The team with the most points at the end of a game wins.,NO_Q,-1.0
74,72,"Skittles is an Old European lawn game, kinda like ten-pen bowling",an Old European lawn game,what is a skittle?,"In Catalonia, ""bitlles"", a local version of this game was formerly popular.",local version of this game,0.22222222222222224
75,73,apprentice: i'm going to bowl next summer for pe.,NO_Q,NO_Q,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",NO_Q,-1.0
76,74,wizard: i try to think of something that will make me feel good.,NO_Q,NO_Q,"The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium.",NO_Q,-1.0
77,75,Apprentice: I use Instagram but mostly to follow people that I like. I rarely share anything though,Instagram,social media,It is owned by Facebook.,[CLS],0.0
78,76,the most visited national park is yellowstone.,NO_Q,NO_Q,"The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations.""",NO_Q,-1.0
79,77,"John Grisham's first bestseller, ""The Firm"", sold more than seven million",The Firm,John Grisham's,"Grisham's first bestseller, ""The Firm"", sold more than seven million copies.","""the firm"", sold more than seven million copies.",0.25
80,78,apprentice: i'm not very good at bowling.,NO_Q,NO_Q,"The term ""hambone"" has also been used to describe four consecutive strikes.",NO_Q,-1.0
81,79,apprentice: i have an instagram account also.,NO_Q,NO_Q,"Users can connect their Instagram account to other social media profiles, enabling them to share photos to those profiles as well.",NO_Q,-1.0
82,80,apprentice: bowling is one of my favorite hobbies. wizard: i've been bowling,NO_Q,NO_Q,The objective is to score the highest pinfall by knocking down as many pins as possible.,NO_Q,-1.0
83,81,wizard: they were popularized in the 1920s and 1930s.,NO_Q,NO_Q,"The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",NO_Q,-1.0
84,82,wizard: they are from los angeles. apprentice: that's pretty cool. what made them,NO_Q,NO_Q,"The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.",NO_Q,-1.0
85,83,wizard: it is owned by facebook.,NO_Q,NO_Q,It is owned by Facebook.,NO_Q,-1.0
86,84,wizard: dublin.,NO_Q,NO_Q,"Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government.",NO_Q,-1.0
87,85,"wizard: yes, i have been into accounting or accountancy for 5 years. i am intern",NO_Q,NO_Q,"From Dec 2017, ACCA recorded that it has 200,000 members and 486,000 students in 180 countries.",NO_Q,-1.0
88,86,apprentice: i have caught tons of cod.,NO_Q,NO_Q,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",NO_Q,-1.0
89,87,apprentice: i'm not sure. i think she's just doing it for her high,NO_Q,NO_Q,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",NO_Q,-1.0
90,88,wizard: i like relish on my hot dogs.,NO_Q,NO_Q,"A relish is a cooked and pickled product made of chopped vegetables, fruits or herbs, and is a food item typically used as a condiment, in particular to enhance a staple.",NO_Q,-1.0
91,89,apprentice: i love the color green. it reminds me of nature and trees. wizard:,NO_Q,NO_Q,"In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",NO_Q,-1.0
92,90,"wizard: no, it's fun.",NO_Q,NO_Q,"The word ""ski"" is one of a handful of words Norway has exported to the international community.",NO_Q,-1.0
93,91,"the channel is available in 409 million households worldwide, through its u.s. flagship channel",NO_Q,NO_Q,", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.",NO_Q,-1.0
94,92,harry potter is a great fantasy series.,NO_Q,NO_Q,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.",NO_Q,-1.0
95,93,"wizard: yes, i have invested in private equity before.",NO_Q,NO_Q,Debt financing reduces corporate taxation burdens and is one of the principal ways in which private equity firms make business more profitable for investors.,NO_Q,-1.0
96,94,"american football evolved in the united states, originating from the sports of association football and rugby football",NO_Q,NO_Q,"American football evolved in the United States, originating from the sports of association football and rugby football.",NO_Q,-1.0
97,95,apprentice: i have never tried bow hunting before. is it hard?,NO_Q,NO_Q,"This rigidity makes the compound bow more energy-efficient than other bows, as less energy is dissipated in limb movement.",NO_Q,-1.0
98,96,elvis presley is a singer and actor.,NO_Q,NO_Q,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".",NO_Q,-1.0
99,97,apprentice: i love drinking protein powder. wizard: i only take herbal supplements to increase my strength,NO_Q,NO_Q,"As of 1999, it was estimated that ""4 billion people live primarily on a plant-based diet"", and that ""shortage of cropland, freshwater, and energy resources requires that most of the 4 billion people live primarily on a plant-based diet"".",NO_Q,-1.0
100,98,wizard: i hunt for sport. i hunt for the meat.,NO_Q,NO_Q,"there is around 5.8 million legally owned firearms in Australia ranging from bolt action, pump action, lever action and semi-automatic firearms.",NO_Q,-1.0
101,99,Thierry Henry is a former French soccer player who is currently a 2nd assistant manager,Thierry Henry,former footballer,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
102,99,Thierry Henry is a former French soccer player who is currently a 2nd assistant manager,a former French soccer player,who is Thierry Henry?,At international level he represented France and is his country's record goalscorer.,[CLS] who is thierry henry?[SEP] at international level he represented france and is his country's record goalscorer,0.0
103,100,apprentice: i've never heard of archery. is it a sport or ,NO_Q,NO_Q,"In modern times, it is mainly a competitive sport and recreational activity.",NO_Q,-1.0
104,101,"apprentice: i'm planning a trip to ireland. i've never been there,",NO_Q,NO_Q,"Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.",NO_Q,-1.0
105,102,Apprentice and Wizard love bowling.,Apprentice and Wizard love bowling,apprentice and wizard love bowling,It is one of the major forms of throwing sports.,[CLS],0.0
106,103,Wizard: I think of golf. Like a putting green!,a putting green,golf green,Chromium is a chemical element with symbol Cr and atomic number 24.,[CLS],0.0
107,104,wizard: i'm a teenager.,NO_Q,NO_Q,"Every country aims to provide basic education, but the systems and terminology remain unique to them.",NO_Q,-1.0
108,105,"wizard: yes, it is. emeralds are my favorite mineral.",NO_Q,NO_Q,Green is the color between blue and yellow on the visible spectrum.,NO_Q,-1.0
109,106,apprentice: i bowl every weekend. i love it. i have only ever been able to,NO_Q,NO_Q,"The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.",NO_Q,-1.0
110,107,"wizard: i'm one of the few who rarely listened to elvis the singer, but",NO_Q,NO_Q,"The ""Memphis Mafia"" was the nickname given by rock 'n' roll icon Elvis Presley to a group of friends, associates, employees and cousins whose main functions were to accompany, protect, and serve Elvis from the beginning of his career in 1954 until his death in 1977.",NO_Q,-1.0
111,108,apprentice: i'd like to learn how to bowl. i've heard it's,NO_Q,NO_Q,It is one of the major forms of throwing sports.,NO_Q,-1.0
112,109,"wizard: i'm an engineer, but i know some about accounting myself.",NO_Q,NO_Q,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",NO_Q,-1.0
113,110,"the word comes from the latin ""arcus"".",NO_Q,NO_Q,"The word comes from the Latin ""arcus"".",NO_Q,-1.0
114,111,apprentice: i think motivation is important. i recently started leaving messages for my girlfriend and she loves,NO_Q,NO_Q,"Praise refers to positive evaluations made by a person of another's products, performances, or attributes, where the evaluator presumes the validity of the standards on which the evaluation is based.",NO_Q,-1.0
115,112,"Coco Chanel is credited with popularizing cardigans for women because ""she hated",Coco Chanel,fashion designer,"Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.""",coco chanel,1.0
116,113,"apprentice: i've never tried it, but i'd like to try it.",NO_Q,NO_Q,The coffee is drunk through the cream.,NO_Q,-1.0
117,114,kurt cobain formed the band nirvana with krist novose,NO_Q,NO_Q,"Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge.",NO_Q,-1.0
118,115,wizard: i will die.,NO_Q,NO_Q,"A location where bees are kept is called an apiary or ""bee yard.""",NO_Q,-1.0
119,116,apprentice: i find it difficult to find motivation for tasks that i dislike. wizard: cleaning house,NO_Q,NO_Q,"Crowdsourcing is a sourcing model in which individuals or organizations obtain goods and services, including ideas and finances, from a large, relatively open and often rapidly-evolving group of internet users; it divides work between participants to achieve a cumulative result.",NO_Q,-1.0
120,117,apprentice: i have a favorite kendrick lamar album.,NO_Q,NO_Q,"By that time, he had amassed a large online following and collaborated with several prominent artists in the hip hop industry, including The Game, Busta Rhymes, and Snoop Dogg.",NO_Q,-1.0
121,118,apprentice: i'm interested in accounting. i'm good at math.,NO_Q,NO_Q,"In financial accounting, a balance sheet or statement of financial position is a summary of the financial balances of an individual or organization, whether it be a sole proprietorship, a business partnership, a corporation, private limited company or other organization such as Government or not-for-profit entity.",NO_Q,-1.0
122,119,apprentice: i ride a bike for transportation.,NO_Q,NO_Q,"Apart from two-wheeled bicycles, ""cycling"" also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles (HPVs).",NO_Q,-1.0
123,120,wizard: i just train my dogs through classical conditioning.,NO_Q,NO_Q,"Some of the better known dog training procedures include the Koehler method, clicker training, motivational training, electronic training, model-rival training, dominance-based training, and relationship-based training.",NO_Q,-1.0
124,121,Wizard: I'm a big fan of the TV show The Walking Dead. Have you,The Walking Dead,a big fan of the TV show,The Walking Dead is an ongoing black-and-white comic book series created by writer Robert Kirkman and artist Tony Moore.,[CLS],0.0
125,122,american football is popular in the united states and canada.,NO_Q,NO_Q,The team with the most points at the end of a game wins.,NO_Q,-1.0
126,123,Apprentice: My little brother has a broken heart and I dont know how to help him.,My little brother,He has a broken heart.,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
127,124,"apprentice: i played football in college. wizard: yes, i do too.",NO_Q,NO_Q,"The Ohio State Buckeyes football team is a college football team that competes as part of the NCAA Division I Football Bowl Subdivision, representing Ohio State University in the East Division of the Big Ten Conference.",NO_Q,-1.0
128,125,"John Ray Grisham Jr. is an American bestselling writer, attorney, politician and",John Ray Grisham Jr.,John Grisham,"A Galaxy British Book Awards winner, Grisham is one of only three authors to sell 2 million copies on a first printing.","a galaxy british book awards winner, grisham is one of only three authors to sell 2 million copies on a first printing",0.08333333333333334
129,126,"apprentice: i've been using it for a while, but i'm not sure",NO_Q,NO_Q,It is owned by Facebook.,NO_Q,-1.0
130,127,harry potter and the sorcerer's stone,NO_Q,NO_Q,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",NO_Q,-1.0
131,128,Chihuahuas are of a variety of colors. They are ,Chihuahuas,dog breed,"The most common theory is that Chihuahuas are descended from the ""Techichi"", a companion dog favored by the Toltec civilization in Mexico.",,0.0
132,129,wizard: skis were made of wood.,NO_Q,NO_Q,"Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",NO_Q,-1.0
133,130,"paramedics are able to treat patients in the pre-hospital setting, and can",NO_Q,NO_Q,"Paramedics are able to treat patients in the pre-hospital setting, and can transport them to a hospital-based emergency department if deemed necessary.",NO_Q,-1.0
134,131,Instagram is an Internet-based photo-sharing application.,an Internet-based photo-sharing application,What is Instagram?,"They can add hashtags to their posts, linking the photos up to other content on Instagram featuring the same subject or overall topic.",[CLS],0.0
135,132,wizard: i think accounting is interesting as well. my grandpa was a chartered,NO_Q,NO_Q,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",NO_Q,-1.0
136,133,"wizard: it's about $35,000 a year.",NO_Q,NO_Q,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",NO_Q,-1.0
137,134,wizard: i have them salted.,NO_Q,NO_Q,"Corn was first domesticated 9,000 years ago in what is now Mexico.",NO_Q,-1.0
138,135,apprentice: i love harry potter and j.k. rowling.,NO_Q,NO_Q,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",NO_Q,-1.0
139,136,"wizard: yes, i've seen them at ball games in high school. it originated in",NO_Q,NO_Q,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",NO_Q,-1.0
