episode_idx,topic,round,message,response,knowledge,gold
17,Bowling,3,"Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience",The English Beat,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.","That reminds me, have you ever heard of the band Let's Go Bowling? It's a ska band from California."
18,American football,3,It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements,"Rasputin travelled to the city of Kazan on the Volga river, where",NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,"Oh I can understand that, advertising is so frustrating unless they are super bowl commercials. I like to watch Redzone on Sunday's ever heard of it?"
19,Skiing,4,"That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?",The future is Medieval,no_passages_used,"Hmm I'm not sure, maybe! You should petition the Ski and Snowboard Association and Cross Country Ski Canada to research this line of questioning!"
20,Harry Potter,3,I really think that Harry Potter should not have been the main character though,"The series has also had its share of criticism, including concern about the increasingly dark tone as the","The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",The story concerns Harry's battle with Lord Voldemort.
21,Skiing,4,That's interesting.  I have never seen that before.  When was skiing invented?,The first depiction of a skier with two ski poles dates to 1741,The first depiction of a skier with two ski poles dates to 1741.,Earliest history were found in Russia and date to 6000 BCE.
22,"On-again, off-again relationship",3,"Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again.","Bernard Lewis graduated from the School of Oriental Studies (now School of Oriental and African Studies, SO",no_passages_used,Did you ever go back to your partner for comfort?
23,The Walking Dead (TV series),4,He does a decent job. He has been meme'd to death because of that role.,Team A was created at the instigation of then Secretary of Defense Donald Rumsfeld,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",I liked it when he awakens from a coma to find the world that he new is now overrun by zombies.
24,Dylan's Candy Bar,3,They have everything! i just love it,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",Yes Ralph Laurens daughter Dylan  Lauren owns them
25,American football,3,I think my favorite team is the cowboys,"BT released his third album, Movement in Still Life, in 1999.",He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,"Don't hold this against me, but I like the Patriots. They seem to always be the team with the most points at the end of the game."
26,Ireland,4,have you been to europe?,"Jello Biafra was brought to trial in Los Angeles for distributing ""harm",Thick woodlands covered the island until the Middle Ages.,"I have! Ive been to British isles of Great Britain, England to be exact, it is where I was born but ive lived my life in America since I was a baby. Visited last winter too."
27,Guns N' Roses,3,All the great bands come from LA. Is the band still together today?,No.,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.","Axl Rose, Slash, Izzy, Duff and Steven Adler still perform today!"
28,Game design,4,Thats cool what kind of games do you design?,Wizard: I design video games. applying game design itself is a metadesign. Apprentice:,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",Game design I use is used to create for entertainment or education. I've seen some for exercising too.
29,Popcorn,3,Who invented popcorn?,Kane,Archaeologists discovered that people have known about popcorn for thousands of years.,"I am not sure, but corn was developed in Mexico long ago."
30,Cod,4,"Most cod sold in stores is farm raised, and also the cod you eat in restaurants.","Eurythmics released their next album, Revenge, in 1986.","Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",I read that it is a popular food with a mild flavor and a dense flaky flesh
31,Discovery Channel,4,I did not know that.  I do know that I used to watch MythsBusters on a weekly basis.  It was very interesting and entertaining,The most popular (or a few of the most spoken) language(s) from these,The show's title derives from the inherent high risk of injury or death associated with the work.,"Oh i LOVE MythBusters! That, and Deadliest Catch. "
32,Guns N' Roses,4,Fave 1990s rock song of all is Bitter Sweet SYmphony by the Verve. Loved older classics like Bohemian Raphody by queen ,No,"However, some have argued that it does match what is known as situational irony.","I was so excited when The Verve reformed, but it's too bad they couldn't keep it together for very long."
33,Bowling,3,"are you on a team, my dad was always on a bowling team when I was growing up","The maximum score is 300, which is achieved by getting 12 strikes in a row.","The maximum score is 300, which is achieved by getting 12 strikes in a row.",Usually i just play with a friend and the pins are knocked down every time I play!
34,Harry Potter,3,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Her","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",It must be very popular to have sold more than 500 million copies around the world. It has been translated to 73 languages!
35,Archery,4,How far back does archery date? im curious when did we start using them bow,The album Caring and Killing was released in 1995.,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.","Well I'm not sure how old it is, but I know that in Latin it is known as ""arcus""."
36,Skiing,4,Did you try skiing lessons? They have amazing ski resorts that offer lessons in Colorado.,No,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",I did at Vail Skit Resort.  That was many years ago. I haven't had a chance to go back.  Maybe once I move up North I can try again.
37,Game design,3,where were your classes taken?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are","The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",I took classes in high school before getting my diploma.
38,Elvis Presley,3,"He really was i was really sad as well, could you tell me when was he born?",The Aquabats,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","He was born on January 8, 1935 in Tupelo Mississippi!  I was born on January 8 as well!  We shared the same birthday!"
39,Green,3,"That is true, it is kind of a mesh of two colors.  It does not hurt it is referred to as the common color of money as well.","The apple tree (""Malus pumila"") is a deciduous tree in the","The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.","Not only that, it has a long tradition as the color of ireland culture as well!"
40,Green,3,"It makes me think of spring and summer, when the grass is nice and green and the trees are full.","The color green is one of the additive primary colors, along with red and blue, which are","In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",Quite poetic aren't you? I think thats because it is formed by light which has a dominant wavelength 
41,Medical billing,3,No I don't,"The Colbert Report upon its 2005 premiere was positive, although critics were generally skeptical that the","In the United States, Medicare is a single-payer, national social insurance program administered by the U.S. federal government since 1966, currently using about 30–50 private insurance companies across the United States under contract for administration.",medicaal illing is essential in USA. And also health insurance is vey important for all. We need to claim with insurance company and recie the payment 
42,Nickelback,3,"it wouldnt surprise me. when they started getting radio play, the band blew up big.",No eviden,"The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.","They became quite popular! They've had a few drummer changes in the early 2000s, but I still love them and their sound, now."
43,Harry Potter,3,Was he born a wizard?,"No, he was born a normal boy.",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.," As far as the main story arc concerns, he was and he went to wizard school to improve himself."
44,Bowling,4,What are the 3 forms?,The duo later released the resulting album Human After All in March 2005.,"A well-known variant of ""tweening"" is the power stroker.","The most basic form is known as stroking, which is the most classic form ."
45,Motivation,3,"Well... if it's something important is no fun. because you know you have to do it, but you just don't!",Nightcrawler returns to the X-Men with Shadowcat and Coloss,"A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",Even when people have action or desires it still hard to get motivated
46,Cheerleading,4,"Wow, very impressive.  How long did it take you to learn all those moves?","Benn was initially somewhat sympathetic to Blair, welcoming a change of government.",All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,"I loved gymnastics from the time I was 3. Dance, too. I mean, being here int the U.S. means it's big -- and big business. There are like 1.5 million participants in all-star cheerleading!"
47,Instagram,3,"Hmm, must check it out. Any idea who developed it?",Khamenei,Instagram lets registered users upload photos or videos to the service.,Kevin sytsrom and Mike Krieger in 2010
48,Nickelback,4,Good buddy.what special in album,The Comilla Model (1959) was Khan's initiative in response to the failure of,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.","They released a great album called ""The State"" in 2000 album and it achieved commercial success"
49,Japanese language,4,"It's that Japanese secrecy stuff, I bet they burned all their documents or something. So is the Japanese language similar to Chinese?","Wizard: Yes, it is.","Following the end in 1853 of Japan's self-imposed isolation, the flow of loanwords from European languages increased significantly.",Yes and old records indicate Chinese had a lot of influence on early japanese language
50,Green,3,Yep! Colors are really interesting with how ways you can mix them to make new colors. ,Jane was involved in several campaigns in the long-running military conflicts with American Indians. Her,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",I learned most about colors as a kid while using Crayola crayons.  Can you believe Crayola has been around since 1903?
51,Harry Potter,4,I better get reading! What is the general plot of the story?,Ptolemy's Almagest is the only surviving comprehensive ancient treatise,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","Harry Potter follows, you guessed it, Harry Potter and his friends like Hermione and Ron."
52,Hunting,4,What types of deer are found in the United States?,"The species is widely distributed east of the Rocky Mountains, but elsewhere, it is mostly replaced by","In North America, the species is widely distributed east of the Rocky Mountains, but elsewhere, it is mostly replaced by the black-tailed or mule deer (""Odocoileus hemionus"").",The white-tailed deer is native to the United States as are some other varities.
53,Green,3,"Very interesting! One of my favorite ""shades"" is lime green. I have a lot of computer parts that glow this color!","It became the Vandellas' first Top 40 recording, reaching number twenty-nine on",Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,"That sounds really cool. I know that Razer makes lots of green products, I bet those are your favorites eh?"
54,Cardigan (sweater),3,Do you know if there are any made out of a material other than cotton?,They may be machine- or hand-knitted.,It may be machine- or hand-knitted.,"Not sure, but they are knitted so I'm guessing lots of different materials can be used."
55,Paramedic,3,yea thats why my friend quit,Houdini performed at least three variations on a buried alive stunt during his career,"WFPS has two equally important divisions: The Winnipeg Fire Department (WFD) and Winnipeg Emergency Medical Services (WEMS), using a centralized dispatch system.",I imagine it is not as bad not that there is enchanced 911 so paramedics only have to go to the calls they are absolutely neccessary for 
56,Green,4,"Yes, that's true. Green is also the color of money so I do like that!",The Stars immediately signed Nieuwendyk to a new deal worth US$,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,"haha how very true! The largest contributor to green in nature is chlorophyll, a chemical which plants use to convert sunlight into chemical energy."
57,Online shopping,4,"Have you heard of Alibaba,?",The similarly acclaimed My Own Private Idaho (1991),"Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items.","Not really, what is that? Is it an online store where I look at pictures of the products, see prices and specifications?"
58,Insane Clown Posse,3,"Interesting, how long have they been around?",The duo has earned two platinum and five gold albums.,The duo has earned two platinum and five gold albums.,"Founded in Detroit in 1989, I"
59,Ireland,3,Northern Ireland. ,No,no_passages_used,Oh okay. So Northern Ireland is actually still part of the United Kingdom right? 
60,Game design,3,"Educational, primarily for grade school age children. And yes, they are officially *enmeshed* in our culture for better or worse. I try to work for the better!","The kidnapping occurred on July 10, 1973, in Rome.","The independent game industry has seen a substantial rise in recent years with the growth of new online distribution systems, such as Steam and Uplay, as well as the mobile game market, such as for Android and iOS devices.","What platforms do you design games for -- PCs, video game consoles, etc.?"
61,John Grisham,4,It seems like he excelled at everything he does.  What are some of his more well known books?,Eric Stefani and John Spence met at a Dairy Queen and had talked about,"Grisham's first bestseller, ""The Firm"", sold more than seven million copies.","He has a bunch! The Chamber, The Client, A Painted House, The Pelican Brief, The Runaway Jury, A Time to Kill!"
62,Paramedic,3,Yes but I am afraid it might be stressful. Do you think so?,"Amos signed to Epic Records in late 2001. In October 2002, Amos released Scarlet",In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,"he scope of practice of a paramedic differs for  countries,"
63,Bowling,3,That's cool! So I can just get started again. :) Do you know much about bowling?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.","The maximum score is 300, which is achieved by getting 12 strikes in a row.",I am knowledgeable. In bowling your target is to knock all pins in the lane.
64,Skiing,4,"Yes, probably much less safe.  ",Richard Suen,"Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",the oldest examples of skis came from Russia and have been dated close to 6000 BCE.
65,Bowling,4,yes me too I use to bowl all the time with my family what about the strike?,"He later became personal secretary to the studio's founder and president, Carl Laemmle","Three consecutive strikes is a known as a ""turkey"".",well a strike is when you knock down all pins on the first round
66,John Grisham,4,That was a good one.  I haven't read the book but I did see the movie.  When was A Time To Kill made into a movie?,It was released in 1993,"The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel.""", his  first books have sold over 275 million copies worldwide
67,Green,3,wow! you know a lot about green. how did you learn what colors make it up?,Mark Cuban purchased a majority stake in the NBA's Dallas Mavericks for,nan,The philosopher Nelson Goodman described it.
68,The Walking Dead (TV series),4,Wow it must be quite popular if there's so much material for it. Do you have a favorite actor/actress on the series?,"The Walking Dead has several seasons. There are 2 TV series, 6 novels, video games and","He awakens from a coma after a life-threatening gun shot wound to find the world overrun by zombies, to which they refer as ""walkers"".","My favorite character is Rick Grimes, played by actor Andrew Lincoln. He is awesome."
69,Game design,3,Yes I agree. I wonder if education is required or just experience ?,"Bernie Leadon was born in Minneapolis, one of ten siblings, to Dr. Bernard Lead","Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.","I bet both could work out, if you are really good you probably don't need education"
70,Hunting,3,"Yes, that it the best way to do it. Apparently in some areas the government will actually pay money to hunt for specific preditors!",No,"It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.",That is true but we always have to watch out for excessive hunting. it has caused some species to become endangered.
71,American football,4,"Interesting, football fields are so huge! The players must be very athletic.",Phrazes for the Young,The team with the most points at the end of a game wins.,They score points by getting the ball into the other teams goalpost
72,Skittles (sport),4,"Oh, that is actually really neat. Is it still played a lot in Europe?",The band recorded two blocks of recordings: February 14-17 and March 15,"In Catalonia, ""bitlles"", a local version of this game was formerly popular.",Yes it is! It is a popular indoor place game. 
73,Bowling,3,"I am very excited that I get to take a summer bowling course for PE next summer in college. I get coaching, and 2 hours of bowling a day. Should get good at it!","Thalia returned to Mexico and released her first studio album as a solo artist, self-","The maximum score is 300, which is achieved by getting 12 strikes in a row.","I need to take a class. I would like to be able to knock down all the pins at once and get a strike, or at least knock them down in two tries and get a spare. "
74,Motivation,3,"Hmm, okay I see what you mean. What do you do to stay motivated when you have to do a rather mundane task? ",No,"The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium.","Motivation as a desire to perform an action that you rather not, so you need to find the reason why, and hopefully change your mind :D"
75,Instagram,3,I use Instagram but mostly to follow people that I like. I rarely share anything though,No.,It is owned by Facebook.,I'm the same way. I do like the filters that I can add to my photos in Instagram though! It's fun to play around with them.
76,List of national parks of the United States,3,I didnt realize they were so many. Do you know which park is the most visited?,The Emir,"The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations.""","Well they had A bill creating the first national park, Yellowstone, was signed into law by President Ulysses S. Grant in 1872. So that is probably the most loved"
77,John Grisham,3,I haven't read anything by him but I remember the movies for both a time to kill and the firm.,The Firm,"Grisham's first bestseller, ""The Firm"", sold more than seven million copies.",I'm not surprised that he writes crime novels since he practiced criminal law for about a decade
78,Bowling,4,Is it really?? Wow that is a funny name for 3 strikes in a row! \,No,"The term ""hambone"" has also been used to describe four consecutive strikes.","yeah, and less known, a bagger is what you call four consecutive strikes"
79,Instagram,3,I do have an account also,No.,"Users can connect their Instagram account to other social media profiles, enabling them to share photos to those profiles as well.",Do you upload many photos and videos?
80,Bowling,3,The scoring consists of strikes and spares.The maximun points is 300,The maximum points is 300.,The objective is to score the highest pinfall by knocking down as many pins as possible.,Is the scoring the same as in Ten-pin bowling?
81,Cardigan (sweater),4,Ah that sounds like something I'd like to try on sometime. When were they popularized? ,"In Case We Die, Tinashe's debut solo mixtape, was released","The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair
82,Guns N' Roses,4,That's pretty cool. What made them so famous?,"They established their own record label, Oats, and licensed the recordings through Atco,","The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.",They are famous cause of the lead singer Axl Rose.
83,Instagram,4,What else does instagram do besides edit photos?,It is owned by Facebook.,It is owned by Facebook.,"It's a social media app that allows people to not JUST edit, but also share them with all kinds of people.  "
84,Ireland,4,"Wow that's so cool, what is the capital of Ireland?",No,"Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government.","Techically it has two, Dublin and Belfast. This is because Ireland is divided into two different countries. The Republic of Ireland, and Northern Ireland."
85,Accounting,4,"No, I believe that is a Canadian or UK based society. I am in the US, so I would join an organization such as AICPA","He finished 21st in Portugal, before taking his first victory in the class at the French","From Dec 2017, ACCA recorded that it has 200,000 members and 486,000 students in 180 countries.",Yes you are right. THat is meant for the united states. It is Founded in 1887
86,Cod,3,I have caught tons of cod.,No,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",Do you like eating it? It can be very flaky and dense.
87,Cheerleading,3,"She does it for her high school football team, but she also entered a summer cheer competition because her coach recommended her.",The ABBA Generation,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",That's awesome. ESPN has broadcast international cheerleading competitions. It's a serious sport. 
88,Hot dog,4,Basically small hot dogs on a stick with breading. What do you like on your hot dogs?,Theodore Roosevelt Jr.,"A relish is a cooked and pickled product made of chopped vegetables, fruits or herbs, and is a food item typically used as a condiment, in particular to enhance a staple.",I love mustard and relish!
89,Green,3,I had no idea,It was launched in 1996.,"In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",yes and chlorophyll contributes the most to the green color in nature. its a chemical that plants use for photosynthesize
90,Skiing,4,Is it scary?,"Corey Todd Taylor was born on December 8, 1973 in Des Moines, Iowa.","The word ""ski"" is one of a handful of words Norway has exported to the international community.",No I think it is fun. You just have to get used to using it as a mode of transport. Modern skiing has evolved from its beginnings in Scandinavia. 
91,Discovery Channel,3,"Ah it means you might have an idea about why the channel started, please tell me",The stori,", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.","Yes, Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery)"
92,Harry Potter,4,Wow - that sounds interesting - what else can you tell me about the story?,Harry Potter is a great fantasy series.,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.",Harry potter is a 7 book fantasy series written by JK Rowling
93,Stock market,4,Ok that sounds great. Have you ever invested in private equity before? You seem to know alot about it.,Stallman was known for his strong performance in Math 55. He became a programmer,Debt financing reduces corporate taxation burdens and is one of the principal ways in which private equity firms make business more profitable for investors.,"Yes, I know a lot about how they  create value by overcoming agency costs and better aligning the incentives of corporate managers with those of their shareholders."
94,American football,3,How do teams score points?,No,"American football evolved in the United States, originating from the sports of association football and rugby football.",points are scored by advancing the ball into the opposing teams end zone for a touchdown or kicking it through the opponents goalposts for a field goal. good question!
95,Archery,3,I have never tried bow hunting before.  Is it hard?,It was not very successful.,"This rigidity makes the compound bow more energy-efficient than other bows, as less energy is dissipated in limb movement.",Its not hard at all most people I know do it mainly as a competitive sport and some do it for recreation. 
96,Elvis Presley,4,"Oh yeah, I forgot about that. He was kind of a heartthrob so that career decision would make sense. It's sad that he died so young.",McLean was manager of Dundee United from 1971 to 1973. He is not still,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Yes but he achieved a lot, he was Regarded as one of the most significant cultural icons of the 20th century"
97,Bodybuilding supplement,3,I have never taken herbal supplements. What kind do you take?,"Al Kooper was the group's initial bandleader, having insisted on that position","As of 1999, it was estimated that ""4 billion people live primarily on a plant-based diet"", and that ""shortage of cropland, freshwater, and energy resources requires that most of the 4 billion people live primarily on a plant-based diet"".",Anything that is plant based that I can substitute into my diet.
98,Hunting,4,I agree with that. Do you hunt for sport or actually use the bounty you receive?,No. They were run by men.,"there is around 5.8 million legally owned firearms in Australia ranging from bolt action, pump action, lever action and semi-automatic firearms.","I hunt for feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade."
99,Thierry Henry,4,Wow! I bet he is really good at what he is doing. How old is he?,Thierry Henry is a French soccer player who is currently a 2nd assistant manager of,At international level he represented France and is his country's record goalscorer.,He was born on 17 August 1977 which makes him 40 years old. Do you like watching soccer?
100,Archery,3,Hmm. Do you go to classes? It sound like such fun - I've seen it in movies but not really thought much about it.,No,"In modern times, it is mainly a competitive sport and recreational activity.","I do not. It used to be mainly for hunting and fighting, but not anymore."
101,Ireland,3,"No, actually I didn't know that either! Are there any cities I should plan on visiting?",No.,"Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.",Ireland is the third largest island in Europe.  There are tons of cities to visit. What do you like to see?
102,Bowling,3,me too! I struggle to get strikes every time but I get lots of spares!,"Yes, it is one of the major forms of throwing sports.",It is one of the major forms of throwing sports.,"I think it's really fun to get strikes. In 10 pin bowling, getting the highest score is key"
