,episode_idx,topic,round,message,response,knowledge,gold,Q2
31,31,Discovery Channel,4,I did not know that.  I do know that I used to watch MythsBusters on a weekly basis.  It was very interesting and entertaining,Cronje's form in 1991/92 was impressive especially in the one-day format,The show's title derives from the inherent high risk of injury or death associated with the work.,"Oh i LOVE MythBusters! That, and Deadliest Catch. ",0.0
32,32,Guns N' Roses,4,Fave 1990s rock song of all is Bitter Sweet SYmphony by the Verve. Loved older classics like Bohemian Raphody by queen ,Devika Rani Chaudhuri was born into a Bengali family in Waltair,"However, some have argued that it does match what is known as situational irony.","I was so excited when The Verve reformed, but it's too bad they couldn't keep it together for very long.",0.0
36,36,Skiing,4,Did you try skiing lessons? They have amazing ski resorts that offer lessons in Colorado.,Cabral led the PAIGC's guerrilla movement (in Portuguese Guinea) against,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",I did at Vail Skit Resort.  That was many years ago. I haven't had a chance to go back.  Maybe once I move up North I can try again.,0.0
37,37,Game design,3,where were your classes taken?,Villeneuve died after an accident during the final qualifying session for the Belgian Grand Prix at Z,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",I took classes in high school before getting my diploma.,0.0
39,39,Green,3,"That is true, it is kind of a mesh of two colors.  It does not hurt it is referred to as the common color of money as well.",Dietz's Indian heritage was first contested in 1916 after former neighbors who settled on,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.","Not only that, it has a long tradition as the color of ireland culture as well!",0.0
42,42,Nickelback,3,"it wouldnt surprise me. when they started getting radio play, the band blew up big.","Galbraith was born on October 15, 1908, to Canadians of Scottish descent,","The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.","They became quite popular! They've had a few drummer changes in the early 2000s, but I still love them and their sound, now.",0.0
45,45,Motivation,3,"Well... if it's something important is no fun. because you know you have to do it, but you just don't!","Mayer created the ""Back to You"" Fund, a nonprofit organization that focuses on","A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",Even when people have action or desires it still hard to get motivated,0.0
46,46,Cheerleading,4,"Wow, very impressive.  How long did it take you to learn all those moves?","Kelis began recording her debut album, Kaleidoscope, in mid-1998 and was",All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,"I loved gymnastics from the time I was 3. Dance, too. I mean, being here int the U.S. means it's big -- and big business. There are like 1.5 million participants in all-star cheerleading!",0.0
47,47,Instagram,3,"Hmm, must check it out. Any idea who developed it?",The Music Band,Instagram lets registered users upload photos or videos to the service.,Kevin sytsrom and Mike Krieger in 2010,0.0
50,50,Green,3,Yep! Colors are really interesting with how ways you can mix them to make new colors. ,"Theodore Roosevelt Jr. was born on October 27, 1858, at East 20th Street","After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",I learned most about colors as a kid while using Crayola crayons.  Can you believe Crayola has been around since 1903?,0.0
55,55,Paramedic,3,yea thats why my friend quit,"Kevin Garnett returned to Minnesota on February 19, 2015, in exchange for Thaddeus Young","WFPS has two equally important divisions: The Winnipeg Fire Department (WFD) and Winnipeg Emergency Medical Services (WEMS), using a centralized dispatch system.",I imagine it is not as bad not that there is enchanced 911 so paramedics only have to go to the calls they are absolutely neccessary for ,0.0
56,56,Green,4,"Yes, that's true. Green is also the color of money so I do like that!",Crowe wrote the screenplay for 1984's The Wild Life.,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,"haha how very true! The largest contributor to green in nature is chlorophyll, a chemical which plants use to convert sunlight into chemical energy.",0.0
57,57,Online shopping,4,"Have you heard of Alibaba,?","Karisma Kapoor was born on 25 June 1974 in Mumbai, to actors Randhir","Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items.","Not really, what is that? Is it an online store where I look at pictures of the products, see prices and specifications?",0.0
59,59,Ireland,3,Northern Ireland. ,"The 50,000 tickets for the resulting BBC Radio 2's ""Festival in a",no_passages_used,Oh okay. So Northern Ireland is actually still part of the United Kingdom right? ,0.0
64,64,Skiing,4,"Yes, probably much less safe.  ",After the first picture of a skier with two poles was back in 1741.,"Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",the oldest examples of skis came from Russia and have been dated close to 6000 BCE.,0.0
66,66,John Grisham,4,That was a good one.  I haven't read the book but I did see the movie.  When was A Time To Kill made into a movie?,The first album from 1977 was entitled Live Again/Renacer and was released with two different,"The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel.""", his  first books have sold over 275 million copies worldwide,0.05
72,72,Skittles (sport),4,"Oh, that is actually really neat. Is it still played a lot in Europe?","Skittles is an Old European lawn game, kinda like ten-pen bowling","In Catalonia, ""bitlles"", a local version of this game was formerly popular.",Yes it is! It is a popular indoor place game. ,0.22222222222222224
84,84,Ireland,4,"Wow that's so cool, what is the capital of Ireland?","Fugard was born as Harold Athol Lanigan Fugard, in Middelburg,","Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government.","Techically it has two, Dublin and Belfast. This is because Ireland is divided into two different countries. The Republic of Ireland, and Northern Ireland.",0.0
86,86,Cod,3,I have caught tons of cod.,Shipman's trial began at Preston Crown Court on 5 October 1999. Shipman was charged,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",Do you like eating it? It can be very flaky and dense.,0.0
87,87,Cheerleading,3,"She does it for her high school football team, but she also entered a summer cheer competition because her coach recommended her.",Octagonal drum is a type of Manchu folk art that was very popular among,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",That's awesome. ESPN has broadcast international cheerleading competitions. It's a serious sport. ,0.0
89,89,Green,3,I had no idea,"Various legends relate to al-Askari's wife, Narjis","In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",yes and chlorophyll contributes the most to the green color in nature. its a chemical that plants use for photosynthesize,0.0
90,90,Skiing,4,Is it scary?,Stefani launching a fashion line named L.A.M.B. in 2004,"The word ""ski"" is one of a handful of words Norway has exported to the international community.",No I think it is fun. You just have to get used to using it as a mode of transport. Modern skiing has evolved from its beginnings in Scandinavia. ,0.0
91,91,Discovery Channel,3,"Ah it means you might have an idea about why the channel started, please tell me","Carter's next album, Another Earthquake!, was released on September 3, 2002,",", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.","Yes, Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery)",0.0
97,97,Bodybuilding supplement,3,I have never taken herbal supplements. What kind do you take?,"Fernando was born in Piedrahita, Province of Avila, on 29 October 1507","As of 1999, it was estimated that ""4 billion people live primarily on a plant-based diet"", and that ""shortage of cropland, freshwater, and energy resources requires that most of the 4 billion people live primarily on a plant-based diet"".",Anything that is plant based that I can substitute into my diet.,0.0
99,99,Thierry Henry,4,Wow! I bet he is really good at what he is doing. How old is he?,Thierry Henry is a former French soccer player. He is currently a 2nd assistant,At international level he represented France and is his country's record goalscorer.,He was born on 17 August 1977 which makes him 40 years old. Do you like watching soccer?,0.0
101,101,Ireland,3,"No, actually I didn't know that either! Are there any cities I should plan on visiting?","A revival opened on Broadway at the Lunt-Fontanne Theatre on April 4, 1972","Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.",Ireland is the third largest island in Europe.  There are tons of cities to visit. What do you like to see?,0.0
102,102,Bowling,3,me too! I struggle to get strikes every time but I get lots of spares!,Rockefeller founded the non-profit International Executive Service Corps which encourages developing nations to,It is one of the major forms of throwing sports.,"I think it's really fun to get strikes. In 10 pin bowling, getting the highest score is key",0.0
106,106,Bowling,4,Only once and it was ten years ago.,"Alice Hamilton, the second child of Montgomery Hamilton (1843-1909) and Gertrude (","The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.",That's amazing! The best thing I have ever gotten was a turkey or 3 consecutive strikes.,0.0
108,108,Bowling,3,"Yes, please!! I know you roll a ball down an alley to knock over pins. Do I have to hit them all the first time or do I get to try again?",Borg ranks sixth in the list of male tennis players who have won the most Grand Slam single,It is one of the major forms of throwing sports.,Well objective of bowling is to score the highest pinfall by knocking down as many of the pins as possible so its pretty easy. Dont stress out about it. ,0.0
110,110,Archery,3,"I see, when did archery originate? ","After Michael Davies, one of January Thirst's original vocalists, quit in","The word comes from the Latin ""arcus"".",The use of Bow and Arrows as date as far back as Paleolithic or early Mesolithic periods.,0.0
112,112,Cardigan (sweater),4,So buttons mean robe and ties mean cardigan? So they're very similar to one another!,"After she presented him with a tribute award at the World Music Awards in 2006, Bey","Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.""",Actually the opposite. Cardigans have buttons but they are indeed a very similar garment.,0.0
113,113,Irish coffee,3,"Oh yes, Irish coffee is a great mix between the two. It is usually topped with a thick cream which I love.","Duane Allman was born on November 20, 1946, in Nashville, Tennessee.",The coffee is drunk through the cream.,"Yea I know that one has to add hot coffee, Irish whiskey, and sugar then a very thick cream ",0.0
119,119,Cycling,3,I ride for transportation.,The Carol Burnett Show,"Apart from two-wheeled bicycles, ""cycling"" also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles (HPVs).","People who cycle are called ""bikers"" or"" cyclists""",0.0
121,121,The Walking Dead (TV series),4,"A comic? I had no idea! I don't care for comics much, but my nephew loves them!",Walsh is active in charity work and has performed in a number of concerts to raise money for,The Walking Dead is an ongoing black-and-white comic book series created by writer Robert Kirkman and artist Tony Moore.,"Yep, the comics it was based on were written by Robert Kirkman, who also has a lot of control over the TV show and has written several episodes.",0.0
123,123,Broken heart,3,He lost his girlfriend to cancer,Sri Aurobindo dedicated himself to his spiritual and philosophical pursuits.,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","Emotional pain from a broken heart can cause ""broken heart syndrome"" if it gets sever enough. Hes going to need a lot of support.",0.0
125,125,John Grisham,4,Really? He must be worth a fortune. Have you read any?,"John Ray Grisham Jr. is an American bestselling writer, attorney, politician","A Galaxy British Book Awards winner, Grisham is one of only three authors to sell 2 million copies on a first printing.","I've read his first novel, ""A Time to Kill,"" was published in June 1989",0.4
126,126,Instagram,3,"I've been using it for a while, but I'm not sure when it was created",Frank Zappa,It is owned by Facebook.,It actually was created by Kevin Sytrom and Mike Krieger in October 2010. ,0.0
129,129,Skiing,4,Do you know what they made skis of in ancient times?,Blue Oyster Cult's debut album Blue Oyster Cult was,"Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",They were made of many different rigid materials.,0.0
131,131,Instagram,3,What kind of photos do people share?,Sorry Ma,"They can add hashtags to their posts, linking the photos up to other content on Instagram featuring the same subject or overall topic.","All sorts of photos - of themselves, or their vacation, or their animals, and lots more!  There's even an Android version that came out in 2012",0.0
133,133,Accounting,4,What is the average salary for that type of a position?,Dracula bites her on at least three occasions. He also forces her to drink his,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","The 2016 median annual salary was $68,150, and this of course varies from state to state with different job markets.",0.0
139,139,Archery,4,Do you know when that happened?,Kim and her identical twin sister Kelley were introduced to music at a young age; the,The earliest crossbows in the world were invented in ancient China and caused a major shift in the role of projectile weaponry.,"You know what, I can't remember. But I know the Sagittarius constellation is in the center of the Milky Way!",0.0
140,140,American football,4,Who is your favorite team,Evy enrolled at the University of Michigan. Michigan football coach Fritz Crisler wanted,The controversy resulted in Patriots quarterback Tom Brady being suspended for four games and the team being fined $1 million and losing two draft picks.,Probably the New England PAtriots. I always had a thing for Tom Brady lol,0.0
146,146,Waterfowl hunting,3,What kind of gear do you need?,Golovkin signed a professional deal with the Universum Box-Promotion (UB,"Many types of ducks and geese share the same habitat, have overlapping or identical hunting seasons, and are hunted using the same methods.","Anything comfortable, it's usually done allowed in places like USA but its an outdoor activity",0.0
147,147,Neurosurgery,4,"Do you have a lot of patients, is this job hard for you?","Frey recorded in collaboration with Harold Faltermeyer the worldwide hit, ""The Heat I",is a song by American singer Usher.,"Well, it's not called ""brain surgery"" for nothing.",0.0
157,157,Irish coffee,4,"That is really, really, interesting. What a smart decision by him, as I'm sure many people would have requested that. Anything else that would make it sound yummy?","Mueller was accepted for officer training in the United States Marine Corps in 1968, attending training at P","""Irish coffee"" is also sometimes used colloquially to refer to any alcoholic coffee drink.",Well it was brought to the US by Stanton Delaplane who drank it too much and passed out one night. ,0.0
158,158,Genghis Khan,3,How did he started his empire ?,"Jumbo was born at about Christmas 1860 in the Sudan and, afte","After founding the Empire and being proclaimed ""Genghis Khan"", he launched the Mongol invasions that conquered most of Eurasia.","Very interesting, his strategy was by uniting all the  nomadic tribes of  Northeast Asia",0.0
163,163,The Walking Dead (TV series),3,"I have not, but my husband has. I have only watched the show.",Jane was involved in several campaigns in the long-running military conflicts with American Indians.,The two walkers are subsequently revealed to be her zombified boyfriend and his best friend.,"Oh I see. Who's your favorite character on the show? Mine is the lead, Rick Grimes.",0.0
165,165,Ireland,3,I always see so much greenery and land when I see pictures of it.,"The Flecktones became a quartet again in April 1997, as they added s",There are twenty-six extant mammal species native to Ireland.,"Oh yes, Ireland has lush vegetation which is a product of its mild but changeable climate which is free of extremes in temperature.",0.0
167,167,Instagram,3,"I do!  I enjoy Instagram as well, especially the filters you can overlay on your photography to add depth and shadow and highlights!","The Undertones formed in Derry, Northern Ireland in 1974.","A version for Android devices was released two years later, in April 2012, followed by a feature-limited website interface in November 2012, and apps for Windows 10 Mobile and Windows 10 in April 2016 and October 2016 respectively.",Yeah! It was created by Kevin Systrom and Mike Krieger and they launched it in 2010 as a free app exclusively for the IOS platform.,0.0
190,190,Elvis Presley,3,I really love Elvis also,The Darkness were renowned for their live show,"With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.","HE is so great, he career started in 1954. ",0.0
192,192,Winter,3,That is very informative! Another thing about snowflakes are that the pattern that they are formed in is always different from the next.,"Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic","Human clothing, such as a hat or scarf, may be included.",The differences in temperature and humidity are reaponsible for creating all the different patterns.,0.0
193,193,Goldendoodle,4,so they only been around that long or they have been around longer and was finally made official in 1992?,Lillie Langtry was married to Hugo Gerald de Bathe,The original purpose of the cross was to develop guide dogs suitable for visually impaired individuals with allergies.,"Sorry my mistake, the Goldendoodle was first bred by Monica Dickens in 1969.",0.0
195,195,Skiing,4,"I have heard of that, i think they use it as a transport method in Alaska and Siberia ","Corey Todd Taylor was born on December 8, 1973 in Des Moines, Iowa. He was",Early skiers used one long pole or spear.,"I bet they do! The word Skiing actually comes from Old Norse word Skio which means ""Split piece of wood or firewood""",0.0
199,199,Cheerleading,3,"I used to do cheerleading in middle school, have you ever participated in the sport?","Moss was one of the most recognised celebrities in Britain, leading to many media appearances.","It can be performed to motivate sports teams, entertain the audience, or for competition.","yes, cheerleading do more of physical activity.",0.0
202,202,Green,4,I heard once that green eyes were some sort of mutation too.,"Van Sant's next effort, the similarly acclaimed My Own Private Idaho (1991)","By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.","yea well in subtractive color systems, it is used in painting and color printing, it is created by a combination of yellow and blue",0.0
207,207,Hunting,4,I know i am totally on the same page i cannot believe it is allowed to have animals as trophies,A month later as part of her act at the Ovarian Cancer Research benefit at Caroline',Hunting can also be a means of pest control.,There is a distinction between lawful hunting and poaching. Poaching is illegal.,0.0
209,209,Elvis Presley,3,"I absolutely agree! He had so many great songs. I really liked ""Love Me Tender."" Do you have a favorite song?",Hooper played in 81 games and hit.282,"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.",Can't help falling in love is my favorite song from Elvis.,0.0
210,210,Hunting,4,Yes I know I was just saying... So when you go hunting what do you hunt for? Deer? ,Boone toured the United States in a production of the stage adaptation of the film Seven,"It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.",I will hunting fish is my hobby. Caputure for food of fish is called fishing,0.0
211,211,Cardigan (sweater),3,"I own three, I think cardigans are perfect for the fall","Hunter's first film for Warners was The Sea Chase (1955), supporting John Wayne and","By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn.","They are! not too hot and not too cold, commonly they have buttons, a cardigan that is tied is referred to as a robe. ",0.0
216,216,Elvis Presley,3,"He is starting to be but I don't know much, why is he the King of Rock and Roll?","Elvis Presley's first RCA single, ""Heartbreak Hotel"", was released in","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","He was a singer who skyrocketed rockabilly music into the charts worldwide, combining his singing with his band's talent.",0.2666666666666667
220,220,Skiing,3,"no, i just do it for fun. anything i should know  in advanced for my Skiing trip?",Shah Rukh was cast as the lead; he gained six packs for a song,Early skiers used one long pole or spear.,Just make sure to bring two ski poles.,0.0
224,224,Hunting,4,Yeah and a lot of people do it for sport alone. Some people would rather just not clean up the animal afterwards ,"Tittle, in his 17th and final season, was photographed helmet-less, bloodied","However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.","i just hate when people are poaching, which is illegal killing or trapping animals",0.0
226,226,Green,3,why are plants green?,"Bundchen travelled to London in 1997, where she auditioned for 42 shows.",It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"Chlorophyll is the reason why plants are green, it is also the chemical that converts sunlight into chemical energy.",0.0
227,227,Bowling,3,Yeah.  How do you get the ball to curve like the pros?,Flair signed with the World Wrestling Federation (WWF) in September 1991.,It is one of the major forms of throwing sports.,Curving the ball is hard.  It requires you put a spin on the ball by turning your wrist.,0.0
230,230,Accounting,3,What is the hardest thing about it,"Cilic made it to the fourth round of the 2008 Australian Open, taking out a player","Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",It's a lot of data. Financial accounting focuses on all aspects of a company's financial info. It deals with preparation of financial statements and analysis. ,0.0
231,231,Medical billing,3,"That's true but the prices seem outrageous!  One night in the hospital is almost $10,000! ","Lea was born at Medical Center Manila in Ermita, Manila, to Feliciano","However, in the next election of Donald Trump as president, he campaigned to repeal and replace Obamacare and came up with a seven-point plan for healthcare reform.","yep, which is where there is such a debate about healthcare reform in the US. people want more medical coverage for less",0.0
236,236,Accounting,3,i like handling financial affairs and i think i would be good at helping others ,The modern field was established by the Italian mathematician Luca Pacioli,The modern field was established by the Italian mathematician Luca Pacioli in 1494.,"Do you want to go into financial accounting, management accounting, tax accounting, or cost accounting?",0.0
239,239,Goldendoodle,4,"Ah, I see. Are they typically friendly? Would you recommend a Goldendoodle to someone who's not particularly good with dogs?","Advani made his international competitive debut at the Asian Billiards Championship 2002, held at Bangalore","The Goldendoodle is a cross-breed dog, which is obtained by breeding a Golden Retriever with a Poodle.","the Goldendoodle is a super friendly dog breed, Goldens are the nicest dogs ever",0.0
241,241,Nickelback,3,"They make solid music, but their marketing has led them to be laughed at. Not quite sure how it happened, but a lot of people poke fun at them.","Petty joined George Harrison's group, the Traveling Wilburys, which also included","The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"".","Dad, I really liked their song ""How you remind me"" that was listed as best selling song of the decade, what about you?",0.0
243,243,Medical billing,4,Do you have to memorize a whole bunch of medical codes or do you have handy reference sheets?,"Brakhage was born Robert Sanders in Kansas City, Missouri on January 14, 1933, and was","Those seeking advancement may be cross-trained in medical coding or transcription or auditing, and may earn a bachelor's or graduate degree in medical information science and technology.",Most of it's handled by the computer now. Medical billers are encouraged but not required to become certified. Most that do know a lot of the codes.,0.0
247,247,Ireland,4,Sounds great! have you been?,"Day26 was founded on the Making the Band 4 Season 1 finale on August 26, 2007.","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",Yes I went there last year and got to see relatively low-lying mountains surrounding a central plain,0.0
249,249,Kendrick Lamar,4,"interesting, what else can you tell me about him?",Kendrick Lamar is an American rapper and songwriter. He began to gain recognition in,"He began to gain recognition in 2010, after his first retail release, ""Overly Dedicated"".","He was raised in Compton, California, Lamar embarked on his musical career as a teenager under the stage name K-Dot",0.0
251,251,Elvis Presley,3,so you think he is dead?,"John Stossel has been criticized for his work, for what?","Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","Sure. I believe the ""King of Rock and Roll"" is dead. He is a huge cultural icon of the 20th century.",0.0
255,255,Elvis Presley,4,What was elvis's most popular songs?,"Elvis Presley was born in Tupelo, Mississippi, and then to Memphis.","With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.",Heartbreak Hotel was a number one hit in the USA,0.0
256,256,Bowling,3,"I like bowling every once in awhile, but I'm not very good. Do you know your best score for a round of bowling?",Russert: I don't know. I've never bowled,"Three consecutive strikes is a known as a ""turkey"".",If you get 12 strikes you can get a 300. Do you think you can ever get that?,0.0
266,266,Chihuahua (dog),4,It's amazing how humans domesticated and bred dogs down to create the dogs we have today. Early dogs were bread to ease everyday task. ,"Elgar gradually built up a reputation as a composer, chiefly of works for the","Wolf hunting is the practice of hunting gray wolves ""(Canis lupus)"" or other species of wolves.","Yeah, while the origins of dogs are not really clear, it is clear humans had a role in that process, which amazes me, as we have created so many different and varying breeds of dogs",0.0
269,269,John Grisham,3,Tell me about some of his thrillers,"John grisham is a bestselling writer, attorney and politician. He's best known",He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990.,"His very first  novel, ""A Time to Kill"" was published in June of 1989, 4 years after he started writing it.",0.0
270,270,Hunting,4,"It is hard to do it without one, that is for sure, try to use a stick one day!",Thompson has heavily criticized a number of video games and campaigned against their producers and,"However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.",yea thats true but some people also hunt as a means of pest control,0.0
275,275,American football,4,Sounds interesting. How many players are on the offense?,Nixon used the improving international environment to address the topic of nuclear peace. Following the announcement of his,"During a play, each team should have no more than 11 players on the field, and each of them has specific tasks assigned for that specific play.","Similar to a soccer team, 11 players. They have to go atleast ten yards from where the ball starts to get a first down.",0.0
