index,dialogue,knowledge,speakers,number_of_turns,word_count
100,"[' Apprentice: I know absolutely nothing about archery, but would be interested in your views on it.', ' Wizard: It is really very fun. It can be considered a sport or a skill where a bow is used to propel arrows.', "" Apprentice: Hmm. Do you go to classes? It sound like such fun - I've seen it in movies but not really thought much about it."", ' Wizard: I do not. It used to be mainly for hunting and fighting, but not anymore.', "" Apprentice: Perhaps I should give it a go, not for hunting but for sport. My husband does bow hunt, if that's a similar sort of thing. He seems to be quite good at it."", ' Wizard: It is an increasingly popular competitive sport and recreational activity.', ' Apprentice: Interesting. Do many countries participate? It would be fun to see the ways countries differentiate.', ' Wizard: Many countries do participate in the sport.']","['Archery is the sport, practice or skill of using a bow to propel arrows.', 'The word comes from the Latin ""arcus"".', 'Historically, archery has been used for hunting and combat.', 'In modern times, it is mainly a competitive sport and recreational activity.', 'A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.', 'The bow and arrow seems to have been invented in the later Paleolithic or early Mesolithic periods.', 'The oldest signs of its use in Europe come from the in the north of Hamburg, Germany and dates from the late Paleolithic, about 10,000–9000 BC.', 'The arrows were made of pine and consisted of a mainshaft and a long fore shaft with a flint point.', 'There are no definite earlier bows; previous pointed shafts are known, but may have been launched by spear-throwers rather than bows.', 'The oldest bows known so far come from the Holmegård swamp in Denmark.', 'Bows eventually replaced the spear-thrower as the predominant means for launching shafted projectiles, on every continent except Australasia, though spear-throwers persisted alongside the bow in parts of the Americas, notably Mexico and among the Inuit.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",11,15211
101,"["" Apprentice: I'm planning a trip to Ireland! I've never been there, so I don't know what to expect!"", "" Wizard: Ireland is actually an island.  Very cool.  Many people don't know that. "", "" Apprentice: No, actually I didn't know that either! Are there any cities I should plan on visiting?"", ' Wizard: Ireland is the third largest island in Europe.  There are tons of cities to visit. What do you like to see?', ' Apprentice: Hm, well I like big cities! Usually the bigger cities have lots of good restaurants and shopping.', "" Wizard: Differently drop into Northern Ireland than.  You'll love it."", ' Apprentice: Great tip, thanks! What else should I know about Ireland before my trip?', ' Wizard: Pop into Belfast the capital of Northern Ireland. It is pretty interesting. ']","['Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.', ""It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel."", 'Ireland is the third-largest island in Europe.', 'It is the second largest island in the British Isles, after Great Britain.', 'Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.', 'In 2011, the population of Ireland was about 6.6\xa0million, ranking it the second-most populous island in Europe after Great Britain.', 'Just under 4.8\xa0million live in the Republic of Ireland and just over 1.8\xa0million live in Northern Ireland.', ""The island's geography comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland."", 'The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.', 'Thick woodlands covered the island until the Middle Ages.', 'As of 2013, the amount of land that is wooded in Ireland is about 11% of the total, compared with a European average of 35%.', 'There are twenty-six extant mammal species native to Ireland.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",12,15336
102,"[' Apprentice: I lvoe bowling! Do you?', "" Wizard: Yes, it's so fun. I love rolling and knocking down the pins and targets"", ' Apprentice: me too! I struggle to get strikes every time but I get lots of spares!', "" Wizard: I think it's really fun to get strikes. In 10 pin bowling, getting the highest score is key"", ' Apprentice: Yes, definitely. The ultimate goals is a perfect game - have you ever  had one?', "" Wizard: I'ev had perfect games before and including throwing the sports."", "" Apprentice: That's impressive! I'm not as good as you!"", ' Wizard: Just aim for the end of the lane and let it loose. There are ways to make it happen, but it is hard.', ' Apprentice: Yes, it can definitely be difficult! Have you ever played bowling professionally?', "" Wizard: No I have not. But three strikes is a turkey, and I've always thought that was funny""]","['Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.', 'It is one of the major forms of throwing sports.', 'In pin bowling variations, the target is usually to knock over pins at the end of a lane.', 'A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.', 'The maximum score is 300, which is achieved by getting 12 strikes in a row.', 'Three consecutive strikes is a known as a ""turkey"".', 'Further strings of strikes are referred to as the number with the word ""bagger"", such as ""four-bagger"" for four consecutive strikes.', 'The term ""hambone"" has also been used to describe four consecutive strikes.', 'In target variations, the aim is usually to get the ball as close to a mark as possible.', 'The pin version of bowling is often played on a flat wooden or other synthetic surface (which can be oiled in different patterns for different techniques), while in target bowling, the surface may be grass, gravel or a synthetic surface.', 'The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",11,15483
103,"[' Wizard: The color green is so pretty!  It reminds me of freshly cut grass!  Green is actually the color between blue and yellow on the visible spectrum.', ' Apprentice: Do you like dark green or light green best?', ' Wizard: The color of green can differ in hue, chroma or lightness - I like the light green best!', ' Apprentice: When I think of green I think of golf.  Like a putting green!', ' Wizard: Not only are golf courses green, but so are some minerals - particularly the  emerald, which is colored green by its chromium content.', ' Apprentice: What is chromium?  I am not familiar with that term.', ' Wizard: Chromium is a chemical element - its symbol is Cr', ' Apprentice: I did not know that.  What else is made of chromium?', ' Wizard: Some metals are made with chromium - they have a high value for its high corrosion resistance and hardness.', ' Apprentice: So chromium is durable?  Is steel made of chromium?']","['Green is the color between blue and yellow on the visible spectrum.', 'It is evoked by light which has a dominant wavelength of roughly 495570 nm.', 'In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.', 'By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.', 'Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.', 'Several minerals have a green color, including the emerald, which is colored green by its chromium content.', 'In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.', 'For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.', 'It also has a long historical tradition as the color of Ireland and of Gaelic culture.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,15641
104,"[' Wizard: When I have schoolwork that requires motivation, I have trouble finding the direction I need to get started.', ' Apprentice: Do you have ADHD?', ' Wizard: Perhaps.  I do have trouble paying attention for a person of my age.', ' Apprentice: How old are you? My son has ADHD and the older he got it did get better, but he still as a teen has trouble.', ' Wizard: I am 24.  When did his symptoms appear?  Were they before the age of twelve?  Did they last longer than six months?', ' Apprentice: Yes before age 12. They have lasted from at least kindergarten until high school.', ' Wizard: The terminology you used to describe your son\'s school is interesting.  I\'m assuming that ""high school"" means you live in America?', ' Apprentice: lol yes where are you?', ' Wizard: I\'m in England.  Do you watch football (""soccer"" in America)?  One of my favorite players was Lawrence Plackett.', ' Apprentice: Nice!  I am actually English and Swedish from my father.  My grandparents came here. Yes today I am watching Sweden play England.']","[""Motivation is the reason for people's actions, desires, and needs."", ""Motivation is also one's direction to behavior, or what causes a person to want to repeat a behavior."", 'A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.', 'According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""', 'Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".', 'This type of motivation has neurobiological roots in the basal ganglia, and mesolimbic dopaminergic pathways.', 'Activated ""seeking"" behavior, such as locomotor activity, is influenced by dopaminergic drugs, and microdialysis experiments reveal that dopamine is released during the anticipation of a reward.', 'The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",8,15813
105,"[' Wizard: Green is my favorite color. Many minerals are a green color, including emeralds. I like emeralds too!', ' Apprentice: I like green too. My eyes are green.', ' Wizard: So are mine! In Gaelic cultures green is very popular, with a long historical tradition. It is known as the color of Ireland.', ' Apprentice: Yrs I do know it is a very popular color in Ireland.', "" Wizard: Back in the middle ages green was often associated with merchants and bankers. Red was nobility's color of choice."", ' Apprentice: My other favorite color is blue. It is very calming.', "" Wizard: It is. Green is between blue and yellow on the color spectrum, so they'd be quite close in some instances."", ' Apprentice: Yep and I love teal which is a combination of the two.', ' Wizard: Nice color. Green is useful too - the RGB color model is used on TVs and computer screens.', ' Apprentice: Yes and it is a very cool bright green that they use.']","['Green is the color between blue and yellow on the visible spectrum.', 'It is evoked by light which has a dominant wavelength of roughly 495570 nm.', 'In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.', 'By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.', 'Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.', 'Several minerals have a green color, including the emerald, which is colored green by its chromium content.', 'In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.', 'For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.', 'It also has a long historical tradition as the color of Ireland and of Gaelic culture.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,15974
106,"[' Wizard: I love to go bowling. Do you like bowling?', ' Apprentice: I bowl every weekend. I love it.', ' Wizard: Have you ever been able to obtain the maximum score 300?', ' Apprentice: Only once and it was ten years ago.', "" Wizard: That's amazing! The best thing I have ever gotten was a turkey or 3 consecutive strikes."", ' Apprentice: I usually score around 200. The 300 was the game of my life.', ' Wizard: Have you only done 10 pin bowling or have you tried a variation such as five-pin or duckpin?', ' Apprentice: I have played five-pin a few times.', ' Wizard: I think I would like to try duckpin bowling which is a ten-pen variation using a ball slightly larger than a softball.', ' Apprentice: Yes. It is a good game to play if you have kids.']","['Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.', 'It is one of the major forms of throwing sports.', 'In pin bowling variations, the target is usually to knock over pins at the end of a lane.', 'A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.', 'The maximum score is 300, which is achieved by getting 12 strikes in a row.', 'Three consecutive strikes is a known as a ""turkey"".', 'Further strings of strikes are referred to as the number with the word ""bagger"", such as ""four-bagger"" for four consecutive strikes.', 'The term ""hambone"" has also been used to describe four consecutive strikes.', 'In target variations, the aim is usually to get the ball as close to a mark as possible.', 'The pin version of bowling is often played on a flat wooden or other synthetic surface (which can be oiled in different patterns for different techniques), while in target bowling, the surface may be grass, gravel or a synthetic surface.', 'The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",11,16107
107,"["" Wizard: I'm one of the few who rarely listened to Elvis the singer, but I did watch him as an actor."", "" Apprentice: That's different! Did you prefer his singing or acting?"", ' Wizard: I liked Elvis more as an actor', "" Apprentice: That's really cool. I've always been the other way around, haven't seen in act in much."", ' Wizard: I was 10 when he died, so that may be why.  I visited Graceland with family, and learned about the Memphis Mafia, though!', "" Apprentice: I see. What's the Memphis Mafia? I've never heard of them."", ' Wizard: The Memphis Mafia were a group of people who accompanied, protected, and served Elvis.  ', ' Apprentice: Like an entourage before having an entourage was cool. Bad to the bone for sure.']","['Elvis Aaron Presley (January 8, 1935\xa0– August 16, 1977) was an American singer, musician, and actor.', 'Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".', 'Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.', 'His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.', 'Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.', 'In 1955, drummer D.J.', ""Fontana joined to complete the lineup of Presley's classic quartet and RCA Victor acquired his contract in a deal arranged by Colonel Tom Parker, who would manage the singer for more than two decades."", 'Presley\'s first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.', 'With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,16230
108,"[' Apprentice: I want to learn how to bowl! My friends are always talking about how much fun it is. Have you ever gone bowling?', ' Wizard: I sure have! Ive been bowling for 17 years now, I am an expert, Want me to show you the way of the bowl? What would you like to know? ', ' Apprentice: Yes, please!! I know you roll a ball down an alley to knock over pins. Do I have to hit them all the first time or do I get to try again?', ' Wizard: Well objective of bowling is to score the highest pinfall by knocking down as many of the pins as possible so its pretty easy. Dont stress out about it. ', ' Apprentice: Okay, gotcha! Do I need special shoes or anything?', ' Wizard: Well if you wanna go pro then It is one of the major things you need to do, Good shoes give you traction so you wont fall. .', ' Apprentice: Thanks for the advice! What else should I know before I go out for my first time?', ' Wizard: Well the basics are that the maximum score you can get is 300, which is achieved of course by getting 12 strikes in a row. Which is very difficult even for a pro like myself. ']","['Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.', 'It is one of the major forms of throwing sports.', 'In pin bowling variations, the target is usually to knock over pins at the end of a lane.', 'A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.', 'The maximum score is 300, which is achieved by getting 12 strikes in a row.', 'Three consecutive strikes is a known as a ""turkey"".', 'Further strings of strikes are referred to as the number with the word ""bagger"", such as ""four-bagger"" for four consecutive strikes.', 'The term ""hambone"" has also been used to describe four consecutive strikes.', 'In target variations, the aim is usually to get the ball as close to a mark as possible.', 'The pin version of bowling is often played on a flat wooden or other synthetic surface (which can be oiled in different patterns for different techniques), while in target bowling, the surface may be grass, gravel or a synthetic surface.', 'The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",11,16441
109,"["" Apprentice: Hi there! I'm an accountant - what do you do?"", "" Wizard: I'm an engineer, but I know some about accounting myself, like how modern accounting was established in 1494."", ' Apprentice: Yes, an old and noble profession, haha! What kind of engineering do you do?', ' Wizard: I\'m into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different?', ' Apprentice: Not really, although it depends who you ask sometimes. ', "" Wizard: That's fair enough. Accounting is also divided into many fields, like management accounting and financial accounting."", "" Apprentice: Yes, that's true. Then there's similar fields, like book keeping"", "" Wizard: I always thought book keeping was pretty much the same. There's also accounting information systems that are designed to support functions that accountants do."", "" Apprentice: Yes, they're very useful. Do you work on anything like that?"", ' Wizard: Just a little bit of it on the side, really. What kind of accounting work do you do out of all the options like tax accounting and all that?']","['Accounting or accountancy is the measurement, processing, and communication of financial information about economic entities such as businesses and corporations.', 'The modern field was established by the Italian mathematician Luca Pacioli in 1494.', 'Accounting, which has been called the ""language of business"", measures the results of an organization\'s economic activities and conveys this information to a variety of users, including investors, creditors, management, and regulators.', 'Practitioners of accounting are known as accountants.', 'The terms ""accounting"" and ""financial reporting"" are often used as synonyms.', 'Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.', 'Accounting information systems are designed to support accounting functions and related activities.', ""Financial accounting focuses on the reporting of an organization's financial information, including the preparation of financial statements, to external users of the information, such as investors, regulators and suppliers; and management accounting focuses on the measurement, analysis and reporting of information for internal use by management.""]","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",8,16620
110,"[' Apprentice: Hi I love archery. Do you?', "" Wizard: Of course, I started liking it after i saw RobinHood as a kid. It's a sport that uses  a bow to propel arrows."", ' Apprentice: I see, when did archery originate? ', ' Wizard: The use of Bow and Arrows as date as far back as Paleolithic or early Mesolithic periods.', ' Apprentice: That is really far back. What else do you know about archery? ', ' Wizard: It was actually coined from the word arcus which is latinn', ' Apprentice: And archery is also done for hunting?', "" Wizard: Yes in today's world it's used for  competitive sport and recreational activity but back in the early days it was for combat and hunting.""]","['Archery is the sport, practice or skill of using a bow to propel arrows.', 'The word comes from the Latin ""arcus"".', 'Historically, archery has been used for hunting and combat.', 'In modern times, it is mainly a competitive sport and recreational activity.', 'A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.', 'The bow and arrow seems to have been invented in the later Paleolithic or early Mesolithic periods.', 'The oldest signs of its use in Europe come from the in the north of Hamburg, Germany and dates from the late Paleolithic, about 10,000–9000 BC.', 'The arrows were made of pine and consisted of a mainshaft and a long fore shaft with a flint point.', 'There are no definite earlier bows; previous pointed shafts are known, but may have been launched by spear-throwers rather than bows.', 'The oldest bows known so far come from the Holmegård swamp in Denmark.', 'Bows eventually replaced the spear-thrower as the predominant means for launching shafted projectiles, on every continent except Australasia, though spear-throwers persisted alongside the bow in parts of the Americas, notably Mexico and among the Inuit.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",11,16734
111,"[' Apprentice: I think every one needs motivation in their lives at some point.', ' Wizard: Yes without motivation you have no reason to act on your desires or needs.', ' Apprentice: Yeah I recently started leaving messages for my girlfriend and she loves them', ' Wizard: You can really reinforce positive behavior by staying motivated ', ' Apprentice: exactly it helps both of us its a win win.', ' Wizard: When you praise your significant other it validates their positive attributes.', ' Apprentice: Yeah and she seems to always love the little drawing I do for her,', ' Wizard: Praise is a great form of acknowledgement and encouragement.']","[""Motivation is the reason for people's actions, desires, and needs."", ""Motivation is also one's direction to behavior, or what causes a person to want to repeat a behavior."", 'A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.', 'According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""', 'Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".', 'This type of motivation has neurobiological roots in the basal ganglia, and mesolimbic dopaminergic pathways.', 'Activated ""seeking"" behavior, such as locomotor activity, is influenced by dopaminergic drugs, and microdialysis experiments reveal that dopamine is released during the anticipation of a reward.', 'The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",8,16834
112,"[' Wizard: A knitted garment that has an open front is known as a cardigan.', ' Apprentice: You know, for the longest time I heard of that word and never knew what it was!', ' Wizard: They usually have buttons. Actually, if they are tied instead they might be considered a robe.', "" Apprentice: So buttons mean robe and ties mean cardigan? So they're very similar to one another!"", ' Wizard: Actually the opposite. Cardigans have buttons but they are indeed a very similar garment.', "" Apprentice: Woops! You're right, I had it backwards! Are cardigans typically designed for women?"", "" Wizard: They were popularized by women because they hated how tight-necked men's sweaters messed up their hair but both sexes can wear them."", ' Apprentice: When were they invented?', "" Wizard: I'm not positive but they are named after James Brudnell who lived in the 1700s"", ' Apprentice: Oh wow, so they are pretty old!']","['A cardigan is a type of knitted garment (sweater) that has an open front.', 'Commonly cardigans have buttons: a garment that is tied is instead considered a robe.', 'A more modern version of the garment has no buttons and hangs open by design.', 'By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn.', 'It may be machine- or hand-knitted.', 'The cardigan was named after James Brudenell, 7th Earl of Cardigan, a British Army Major General who led the Charge of the Light Brigade at the Battle of Balaclava during the Crimean War.', ""The name 'Cardigan' is an anglicised variation of the Welsh placename Ceredigion."", 'It is modelled after the knitted wool waistcoat that British officers supposedly wore during the war.', ""The legend of the event and the fame that Lord Cardigan achieved after the war led to the rise of the garment's popularity."", 'The term originally referred only to a knitted sleeveless vest, but expanded to other types of garment over time.', 'Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.""', 'The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",12,16980
113,"[' Apprentice: Hi, I really enjoy adding alcohol to my coffee. Have you ever tried this?', ' Wizard: I have not but would want to try Irish coffee sometime  as a cocktail', ' Apprentice: Oh yes, Irish coffee is a great mix between the two. It is usually topped with a thick cream which I love.', ' Wizard: Yea I know that one has to add hot coffee, Irish whiskey, and sugar then a very thick cream ', "" Apprentice: That's correct. I have heard that the original recipe called for non-whipped cream."", ' Wizard: oh really. I wonder what It would taste like because I know  the  coffee  is drunk through the cream.', ' Apprentice: Yes that is the right way to do it. I have also noticed that many people call any alcoholic coffee beverage ""Irish coffee"".', ' Wizard: Cocktails and coffee pre-date the now-classic Irish coffee by at least 100 years']","['Irish coffee () is a cocktail consisting of hot coffee, Irish whiskey, and sugar (some recipes specify that brown sugar should be used), stirred, and topped with thick cream.', 'The coffee is drunk through the cream.', 'The original recipe explicitly uses cream that has not been whipped, although drinks made with whipped cream are often sold as ""Irish coffee"".', '""Irish coffee"" is also sometimes used colloquially to refer to any alcoholic coffee drink.', 'Different variations of coffee cocktails pre-date the now-classic Irish coffee by at least 100 years, before Joe Sheridan, a head chef at the restaurant and coffee shop in the Foynes Airbase Flying boat terminal building, County Limerick played his part in 1942 or 1943 after a group of American passengers disembarked from a several-hour failed Atlantic crossing due to bad weather conditions on a Pan Am Clipper flying boat.', 'Sheridan added whiskey to the coffee to warm the passengers.', 'After the passengers asked if they were being served Brazilian coffee, Sheridan told them it was ""Irish coffee"".', 'Stanton Delaplane, a travel writer for the ""San Francisco Chronicle"", brought Irish coffee to the United States after drinking it at Shannon Airport, when he worked with the Buena Vista Cafe in San Francisco to start serving it on November 10, 1952, and worked with the bar owners Jack Koeppler and George Freeberg to recreate the Irish method for floating the cream on top of the coffee, sampling the drink one night until he nearly passed out.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",8,17125
114,"[' Apprentice: I was a huge fan of Nirvana and Kurt Cobain when I was younger.', "" Wizard: Oh I still like Nirvana, Kurt Cobain's middle name was Donald!"", ' Apprentice: I never knew that. I was so sad when he died. Seems like so long ago. Do you remember what year that was?', ' Wizard: I do! Kurt Donald Cobain was born in 1967 and lived until 1994', ' Apprentice: Oh wow. Longer ago than I realized. So unfortunate that he ended his own life.', ' Wizard: He it is unfortunate. Were you aware that he was born in Aberdeen, washington?', ' Apprentice: I was not aware. I wonder if that is a small or big place.', "" Wizard: I'm not sure, I don't know much about it. I do know that Nirvana's debut album was Bleach it released in 1989"", ' Apprentice: That was a pretty good album, although I preferred their later work. ', ' Wizard: As do I, Nevermind was there massively successful album, and probably their most famous, it was after this album that Cobain was hailed as the spokesman of a generation.']","['Kurt Donald Cobain (February 20, 1967\xa0– April 5, 1994) was an American singer, songwriter, and musician.', 'Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge.', 'Nirvana\'s debut album ""Bleach"" was released on the independent record label Sub Pop in 1989.', 'After signing with major label DGC Records, Nirvana found breakthrough success with ""Smells Like Teen Spirit"" from their second album ""Nevermind"" (1991).', 'Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"".', 'Cobain, however, was uncomfortable with the label, believing his message and artistic vision had been misinterpreted by the public, with his personal problems often subject to media attention.', 'During the last years of his life, Cobain struggled with heroin addiction, chronic health problems and depression.', 'He also had difficulty coping with his fame and public image, and the professional and personal pressures surrounding himself and his wife, musician Courtney Love.', 'On April 8, 1994, Cobain was found dead at his home in Seattle; the death was ruled a suicide by a self-inflicted shotgun wound to the head.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",9,17302
115,"["" Wizard: I am allergic to bees, which a closely related to wasps, I can't bear the thought of getting a bee sting."", ' Apprentice: Are you allergic to a specific type of bee?  ', ' Wizard: All bees and wasps, they all terrify me honey bee, african bee, wasps. The western honey beee is the most common bee worldwide so i most look out for them', ' Apprentice: What happens if you get stung?', "" Wizard: Well without medical attention I don't make it. I can't even eat honey, because of the pollen that is used as food for the bee larvae."", ' Apprentice: Wow.  That sounds terrible.  Do you carry one of those Epipens?', ' Wizard: Nope, but whats really strange is I worked as a beekeeper for the summer, or the apiary which is where the bees are kept, or a ""bee yard."".', "" Apprentice: That's brave of you.  Are honey bees aggressive?"", ' Wizard: Not really, unless the single fertile female queen is threatened, the bees build their whole colony around her and will defend her to the death.', "" Apprentice: That's interesting.  How many bees are generally in a colony?""]","['Bees are flying insects closely related to wasps and ants, known for their role in pollination and, in the case of the best-known bee species, the European honey bee, for producing honey and beeswax.', 'Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila.', 'There are nearly 20,000 known species of bees in seven recognized biological families.', 'They are found on every continent except Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants.', 'Some species including honey bees, bumblebees, and stingless bees live socially in colonies.', 'Bees are adapted for feeding on nectar and pollen, the former primarily as an energy source and the latter primarily for protein and other nutrients.', 'Most pollen is used as food for larvae.', 'Bee pollination is important both ecologically and commercially; the decline in wild bees has increased the value of pollination by commercially managed hives of honey bees.', 'Bees range in size from tiny stingless bee species whose workers are less than long, to ""Megachile pluto"", the largest species of leafcutter bee, whose females can attain a length of .', 'The most common bees in the Northern Hemisphere are the Halictidae, or sweat bees, but they are small and often mistaken for wasps or flies.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",10,17486
