,id,response,cand,question,knowledge,knowledge_ans,score
25,10,The 2001 Manchester derby,Manchester,Where was the 2001 derby?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
26,10,The 2001 Manchester derby,The 2001 Manchester derby,What was the name of the derby that took place in 2001?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
27,11,"Jones released his debut solo album, A Sentimental Education, in 2009.",Jones,Who released his first solo album?,no_passages_used,[CLS],0.0
28,11,"Jones released his debut solo album, A Sentimental Education, in 2009.",A Sentimental Education,What was the name of Jones' debut album?,no_passages_used,[CLS],0.0
29,11,"Jones released his debut solo album, A Sentimental Education, in 2009.",2009,When did Jones release his first solo album?,no_passages_used,[CLS],0.0
30,12,"Earl Winfield Spencer Jr., a U.S. Navy aviator, at",Earl Winfield Spencer Jr.,Who was a U.S. Navy aviator?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",[CLS],0.0
31,12,"Earl Winfield Spencer Jr., a U.S. Navy aviator, at",U.S. Navy,What was Earl Winfield Spencer Jr. a member of?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",[CLS],0.0
32,12,"Earl Winfield Spencer Jr., a U.S. Navy aviator, at",a U.S. Navy aviator,What is Earl Winfield Spencer Jr.'s occupation?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",[CLS],0.0
33,13,"No, he did not accept that appointment.",that appointment,What did he not accept?,"Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).",[CLS],0.0
34,14,"After ending his amateur career in 2005, Golovkin signed a professional deal with the ",2005,In what year did Golovkin end his amateur career?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
35,14,"After ending his amateur career in 2005, Golovkin signed a professional deal with the ",Golovkin,Who ended his amateur career in 2005?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
36,14,"After ending his amateur career in 2005, Golovkin signed a professional deal with the ",his amateur career,What did Golovkin end in 2005?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
37,14,"After ending his amateur career in 2005, Golovkin signed a professional deal with the ",a professional deal,What did Golovkin sign after ending his amateur career?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
38,14,"After ending his amateur career in 2005, Golovkin signed a professional deal with the ",the,Who did Golovkin sign a professional deal with?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
39,15,The Trail Rider with Buck Jones.,Buck Jones,Who is the Trail Rider with?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
40,15,The Trail Rider with Buck Jones.,The Trail Rider,What is the name of the film with Buck Jones?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
41,16,The BALCO scandal,BALCO,What company was the subject of a scandal?,"Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.",[CLS],0.0
42,16,The BALCO scandal,The BALCO scandal,What is the name of the scandal involving BALCO?,"Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.",[CLS],0.0
43,17,The English Beat,English,What language is The Beat?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",english,1.0
44,17,The English Beat,The English Beat,What is the name of the music that is played in English?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",the english beat,1.0
45,18,"Rasputin travelled to the city of Kazan on the Volga river, where",Rasputin,Who traveled to Kazan?,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,[CLS],0.0
46,18,"Rasputin travelled to the city of Kazan on the Volga river, where",Kazan,Where did Rasputin travel to?,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,[CLS],0.0
47,18,"Rasputin travelled to the city of Kazan on the Volga river, where",the Volga river,On what river did Rasputin travel to Kazan?,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,[CLS],0.0
48,19,The future is Medieval,Medieval,The future is what?,no_passages_used,[CLS],0.0
49,19,The future is Medieval,The future,What is Medieval?,no_passages_used,[CLS],0.0
50,20,"The series has also had its share of criticism, including concern about the increasingly dark tone as the",The series,What has had its share of criticism?,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",the series,1.0
51,20,"The series has also had its share of criticism, including concern about the increasingly dark tone as the",the increasingly dark tone,What has been a major criticism of American Idol?,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",,0.0
52,21,The first depiction of a skier with two ski poles dates to 1741,two,How many ski poles did the first depiction of a skier have?,The first depiction of a skier with two ski poles dates to 1741.,two,1.0
53,21,The first depiction of a skier with two ski poles dates to 1741,1741,When was the first depiction of a skier with two ski poles?,The first depiction of a skier with two ski poles dates to 1741.,1741,1.0
54,21,The first depiction of a skier with two ski poles dates to 1741,a skier,What was the first depiction of with two ski poles?,The first depiction of a skier with two ski poles dates to 1741.,a skier,1.0
55,21,The first depiction of a skier with two ski poles dates to 1741,two ski poles,What is the first depiction of a skier with?,The first depiction of a skier with two ski poles dates to 1741.,two ski poles,1.0
56,22,"Bernard Lewis graduated from the School of Oriental Studies (now School of Oriental and African Studies, SO",Bernard Lewis,Who graduated from the School of Oriental Studies?,no_passages_used,[CLS],0.0
57,22,"Bernard Lewis graduated from the School of Oriental Studies (now School of Oriental and African Studies, SO",the School of Oriental Studies,What school did Bernard Lewis attend?,no_passages_used,[CLS],0.0
58,22,"Bernard Lewis graduated from the School of Oriental Studies (now School of Oriental and African Studies, SO",School of Oriental and African Studies,What does SO stand for?,no_passages_used,[CLS],0.0
59,23,Team A was created at the instigation of then Secretary of Defense Donald Rumsfeld,Donald Rumsfeld,Who was the Secretary of Defense?,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",[CLS],0.0
60,23,Team A was created at the instigation of then Secretary of Defense Donald Rumsfeld,Team A,What team was created at the instigation of Donald Rumsfeld?,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",[CLS],0.0
61,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",Dylan Lauren,"Who was featured on the cover of ""Forbes"" magazine?","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",dylan lauren,1.0
62,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",the May 2011,"When was Dylan Lauren featured on the cover of ""Forbes"" magazine?","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",may 2011,1.0
63,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",inherit,For what cause was Dylan Lauren featured on the cover of Forbes magazine?,"Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",inheriting her father's entrepreneurial genes,0.0
64,25,"BT released his third album, Movement in Still Life, in 1999.",third,How many albums did BT release in 1999?,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,[CLS],0.0
65,25,"BT released his third album, Movement in Still Life, in 1999.",1999,When did BT release his third album?,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,[CLS],0.0
66,25,"BT released his third album, Movement in Still Life, in 1999.",BT,Who released his third album?,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,[CLS],0.0
67,26,"Jello Biafra was brought to trial in Los Angeles for distributing ""harm",Jello Biafra,"Who was brought to trial for distributing ""harm?",Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
68,26,"Jello Biafra was brought to trial in Los Angeles for distributing ""harm",Los Angeles,Where was Jello Biafra tried?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
69,26,"Jello Biafra was brought to trial in Los Angeles for distributing ""harm",trial,What was Jello Biafra brought to?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
70,26,"Jello Biafra was brought to trial in Los Angeles for distributing ""harm",harm,What was Jello Biafra accused of distributing?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
71,27,no.,NO_Q,NO_Q,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",NO_Q,-1.0
72,28,Wizard: I design video games. applying game design itself is a metadesign. Apprentice:,a metadesign,What is applying game design itself?,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",[CLS],0.0
73,29,Kane,Kane,What is the name of the person who is known for being a great artist?,Archaeologists discovered that people have known about popcorn for thousands of years.,[CLS],0.0
74,30,"Eurythmics released their next album, Revenge, in 1986.",Revenge,What was the name of Eurythmics' next album?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
75,30,"Eurythmics released their next album, Revenge, in 1986.",1986,When did Eurythmics release their next album?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
76,30,"Eurythmics released their next album, Revenge, in 1986.",Eurythmics,What band released their next album?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
77,31,the most popular (or a few of the most spoken) language(s) from these,NO_Q,NO_Q,The show's title derives from the inherent high risk of injury or death associated with the work.,NO_Q,-1.0
78,32,no,NO_Q,NO_Q,"However, some have argued that it does match what is known as situational irony.",NO_Q,-1.0
79,33,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",300,What is the maximum score?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",300,1.0
80,33,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",12,How many strikes are in a row?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",12,1.0
81,33,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",The maximum score,What is 300?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",the maximum score,1.0
82,34,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Her",Harry Potter,What is the name of the young wizard in Harry Potter's novels?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",harry potter,1.0
83,34,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Her",The novels,What chronicles the life of Harry Potter and his friends?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",the novels,1.0
84,34,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Her",the life,What do Harry Potter novels chronicle?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",the life,1.0
85,34,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Her",a young wizard,Who is Harry Potter?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",a young wizard,1.0
86,34,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Her",his friends,"Along with Harry Potter, who else is portrayed in the novels?","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",hermione granger and ron weasley,0.0
87,35,The album Caring and Killing was released in 1995.,Killing,What was the name of the album Caring and?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
88,35,The album Caring and Killing was released in 1995.,1995,When was Caring and Killing released?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
89,35,The album Caring and Killing was released in 1995.,The album,What was Caring and Killing?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
90,35,The album Caring and Killing was released in 1995.,Caring,"Along with Killing, what album was released in 1995?","A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
91,36,no,NO_Q,NO_Q,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",NO_Q,-1.0
92,37,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are",The most common undergraduate degree,What is the bachelor's degree?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",[CLS],0.0
93,37,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are",the bachelor's degree,What is the most common undergraduate degree?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",bachelor's degree,1.0
94,38,The Aquabats,Aquabats,What is the name of the animal that eats fish?,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",[CLS],0.0
95,38,The Aquabats,The Aquabats,What is the name of the animals that live in the ocean?,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",[CLS],0.0
96,39,"The apple tree (""Malus pumila"") is a deciduous tree in the",The apple tree,What is Malus pumila?,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",the apple tree,1.0
97,39,"The apple tree (""Malus pumila"") is a deciduous tree in the",a deciduous tree,What is an apple tree?,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",a deciduous tree,1.0
98,40,"The color green is one of the additive primary colors, along with red and blue, which are",The color green,What is one of the additive primary colors?,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",subtractive color,0.5
99,40,"The color green is one of the additive primary colors, along with red and blue, which are",the additive primary colors,The color green is one of what?,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",additive primary colors,1.0
100,41,"The Colbert Report upon its 2005 premiere was positive, although critics were generally skeptical that the",2005,In what year did The Colbert Report first air?,"In the United States, Medicare is a single-payer, national social insurance program administered by the U.S. federal government since 1966, currently using about 30–50 private insurance companies across the United States under contract for administration.",[CLS],0.0
101,41,"The Colbert Report upon its 2005 premiere was positive, although critics were generally skeptical that the",critics,Who was skeptical of The Colbert Report?,"In the United States, Medicare is a single-payer, national social insurance program administered by the U.S. federal government since 1966, currently using about 30–50 private insurance companies across the United States under contract for administration.",[CLS],0.0
102,42,No eviden,No eviden,What is the answer to the question?,"The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.",[CLS],0.0
103,43,"No, he was born a normal boy.",a normal boy,What was he born as?,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,[CLS],0.0
104,44,The duo later released the resulting album Human After All in March 2005.,March 2005,When was the album Human After All released?,"A well-known variant of ""tweening"" is the power stroker.",[CLS],0.0
105,44,The duo later released the resulting album Human After All in March 2005.,The duo,Who released the album Human After All?,"A well-known variant of ""tweening"" is the power stroker.",[CLS],0.0
106,44,The duo later released the resulting album Human After All in March 2005.,Human,What was the name of the album after all?,"A well-known variant of ""tweening"" is the power stroker.","""tweening""",0.0
107,45,Nightcrawler returns to the X-Men with Shadowcat and Coloss,Nightcrawler,Who returns to the X-Men with Shadowcat and Coloss?,"A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",[CLS],0.0
108,45,Nightcrawler returns to the X-Men with Shadowcat and Coloss,the X-Men,Where does Nightcrawler return to?,"A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",[CLS],0.0
109,45,Nightcrawler returns to the X-Men with Shadowcat and Coloss,Shadowcat,"Along with Coloss, who joins Nightcrawler in the X-Men?","A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",[CLS],0.0
110,45,Nightcrawler returns to the X-Men with Shadowcat and Coloss,Coloss,"Along with Shadowcat, who is a member of the X-Men?","A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",[CLS],0.0
111,46,"Benn was initially somewhat sympathetic to Blair, welcoming a change of government.",Blair,Who was Benn initially sympathetic to?,All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,[CLS],0.0
112,46,"Benn was initially somewhat sympathetic to Blair, welcoming a change of government.",Benn,Who was initially sympathetic to Blair?,All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,[CLS],0.0
113,46,"Benn was initially somewhat sympathetic to Blair, welcoming a change of government.",a change,What did Benn welcome in the government?,All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,[CLS],0.0
114,46,"Benn was initially somewhat sympathetic to Blair, welcoming a change of government.",government,What did Benn welcome a change in?,All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,[CLS],0.0
115,47,khamenei,NO_Q,NO_Q,Instagram lets registered users upload photos or videos to the service.,NO_Q,-1.0
116,48,The Comilla Model (1959) was Khan's initiative in response to the failure of,1959,When was the Comilla Model created?,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",[CLS],0.0
117,48,The Comilla Model (1959) was Khan's initiative in response to the failure of,Khan,Who created the Comilla Model?,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",[CLS],0.0
118,48,The Comilla Model (1959) was Khan's initiative in response to the failure of,The Comilla Model,What was the name of Khan's model?,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",[CLS],0.0
119,48,The Comilla Model (1959) was Khan's initiative in response to the failure of,Khan's initiative,What was the Comilla Model?,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",[CLS],0.0
120,48,The Comilla Model (1959) was Khan's initiative in response to the failure of,the failure,What was the Comilla Model's response to?,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",[CLS],0.0
121,49,"wizard: yes, it is.",NO_Q,NO_Q,"Following the end in 1853 of Japan's self-imposed isolation, the flow of loanwords from European languages increased significantly.",NO_Q,-1.0
122,50,Jane was involved in several campaigns in the long-running military conflicts with American Indians. Her,Jane,Who was involved in military conflicts with the American Indians?,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",[CLS],0.0
123,50,Jane was involved in several campaigns in the long-running military conflicts with American Indians. Her,American Indians,Jane was involved in several campaigns with whom?,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",[CLS],0.0
124,50,Jane was involved in several campaigns in the long-running military conflicts with American Indians. Her,several campaigns,What was Jane involved in in the long-running conflicts with the American Indians?,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",[CLS],0.0
125,51,Ptolemy's Almagest is the only surviving comprehensive ancient treatise,Ptolemy,Who wrote the Almagest?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",[CLS],0.0
126,51,Ptolemy's Almagest is the only surviving comprehensive ancient treatise,Ptolemy's Almagest,What is the only surviving treatise?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",[CLS],0.0
127,51,Ptolemy's Almagest is the only surviving comprehensive ancient treatise,the only surviving comprehensive ancient treatise,What is Ptolemy's Almagest?,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",[CLS],0.0
