index,topic,prompt
10,Broken heart,"Context: During his marriage to Cynthia, Lennon's first son Julian was born at the same time that his commitments with the Beatles were intensifying at the height of Beatlemania. Lennon was touring with the Beatles when Julian was born on 8 April 1963. Julian's  Question: were was he born? Answer: None. Question: who is julian lennon? Answer: Lennon's first son Julian Question: when was he born? Answer: Julian was born on 8 April 1963. Context: Keane made headlines again in the 2001 Manchester derby, when five minutes from the final whistle, he was sent off for a blatant knee-high foul on Alf-Inge Haland in what w Question: What team was Haland on? Answer: None. Question: When was the Alf-Inge Haland incedent? Answer: in the 2001 Manchester derby, Question: What happened during the incident? Answer: a blatant knee-high foul on Alf-Inge Haland Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The emotional ""pain"" of a broken heart is believed to be part of the survival instinct. Conversation:  Apprentice: Have you ever had a broken heart?\  Wizard: Yes, I have suffered from a broken heart which is a metaphor for major emotional and physical pain that someone feels from the longing of a loved one. How about you?  Apprentice: I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had."
11,List of national parks of the United States,"Context: Jones released his debut solo album, A Sentimental Education, in 2009. In 2010, Jones founded The Fruit Tree Foundation, alongside Emma Pollock (The Delgados), in order to raise awareness of mental health problems. Jones released his second solo album, A Generation Innocence, in August 2012; however,  Question: How did that album do? Answer: None. Question: Was there a solo album released? Answer: Jones released his debut solo album, A Sentimental Education, in 2009. Question: Was that the only album he released? Answer: Jones released his second solo album, A Generation Innocence, in August 2012; Context: Saro-Wiwa was arrested again and detained by Nigerian authorities in June 1993 but was released after a month. On 21 May 1994 four Ogoni chiefs (all on the conservative side of a schism within MOSOP over strategy) were brutally murdered. Saro-Wiwa had been denied entry to Ogoniland on the day of the murders, but he was arrested and accused of incitement to them. He denied the charges but was imprisoned for over a year before being found guilty and sentenced to death by a spec Question: What is the Abacha regime? Answer: None. Question: Why was Saro-Wiwa arrested? Answer: he was arrested and accused of incitement Question: Was he placed in jail? Answer: was imprisoned for over a year before being found guilty and sentenced to death Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: I love national parks dont you?  Wizard: I do! The first national park was Yellowstone, signed into law by President Ulysses Grant in 1972.  Apprentice: Yes, I have never been there but I would love to go, have you been?"
12,Discovery Channel,"Context: In April 1916, Wallis met Earl Winfield Spencer Jr., a U.S. Navy aviator, at Pensacola, Florida, while visiting her cousin Corinne Mustin. It was at this time that Wallis witnessed two airplane crashes about two weeks apart, resulting in a lifelong fear of flying. The couple married on 8 Nove Question: Did Earl have to leave due to World War I? Answer: None. Question: What was Wallis' relationship with Edward? Answer: Wallis met Earl Winfield Spencer Jr., a U.S. Navy aviator, at Pensacola, Florida, Question: Were they romantically involved? Answer: The couple married Context: Lehrer earned his Bachelor of Arts in mathematics (magna cum laude) from Harvard University in 1946. He received his MA degree the next year, and was i Question: Did he ever teach at Harvard? Answer: None. Question: Where did Tom Lehrer go to school? Answer: Lehrer earned his Bachelor of Arts in mathematics (magna cum laude) from Harvard University Question: Did he go to graduate school? Answer: 1946. He received his MA degree the next year, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav. Conversation:  Wizard: The discover channel used to be a great channel on television but it went down the drain  Apprentice: Oh yeah I've noticed that it really took a dip in quality recently.  Wizard: The discovery channel was simply referred to as didcovery back in 1985 tho  Apprentice: It was? I haven't been around for long enough to have seen that."
13,American football,"Context: Biographers Morecambe and Stirling believe that Cary Grant was the ""greatest leading man Hollywood had ever known"". Schickel stated that there are ""very few stars who achieve the magnitude of Cary Grant, art of a  Question: did he have any leading ladies Answer: None. Question: What is Grant's most famous movies Answer: greatest leading man Hollywood had ever known"". Question: What was he famous for Answer: very few stars who achieve the magnitude of Cary Grant, Context: In 1997, he was featured on John Williams' soundtrack to the Hollywood film Seven Years in Tibet. In 2000, he was heard on the soundtrack of Crouching Tiger, Hidden Dragon and, in 2 Question: Did he accept that appointment? Answer: None. Question: What is notable about his career? Answer: In 1997, he was featured on John Williams' soundtrack to the Hollywood film Seven Years in Tibet. Question: Was his work featured in any other films? Answer: In 2000, he was heard on the soundtrack of Crouching Tiger, Hidden Dragon Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL). Conversation:  Apprentice: I rather enjoy American football particularly college football. Do you watch/ have a favorite team?  Wizard: I do, the Dallas Cowboys. Bad of late but they will do great one day.  Apprentice: They had a great run in the 1990's. Plus, now that new stadium is rather impressive hopefully they can live up to it."
14,Guns N' Roses,"Context: After ending his amateur career in 2005, Golovkin signed a professional deal with the Universum Box-Promotion (UBP) and made his professional debut in May 2006. By the en Question: did he have any notable losses? Answer: None. Question: What was their first job? Answer: Golovkin signed a professional deal with the Universum Box-Promotion (UBP) and made his professional debut Question: When did they sign him? Answer: May 2006. Context: In the late 1970s, Capote was in and out of drug rehabilitation clinics, and news of his various breakdowns frequently reached the public. In 1978, talk show host Stanley Siegel did an on-air interview with Capote, who, in an extraordinarily intoxicated state, confessed that he had been awake for 48 hours and when questioned by Siegel, ""What's going to happen unless you lick this problem of drugs and alcohol?"", Capote Question: Did he have any family? Answer: None. Question: What happened in the Last Years? Answer: 1970s, Capote was in and out of drug rehabilitation clinics, Question: What drugs was he on? Answer: drugs and alcohol Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time. Conversation:  Apprentice: Have you heard of the band Guns N' Roses? They are my favorite band ever  Wizard: Sure the band was formed inn 1985 in  Los Angeles, California.  What is tour favorite album?  Apprentice: Id say my favorite is Appetite for destruction "
15,Nickelback,"Context: In early 1925, Cooper began his film career in silent pictures such as The Thundering Herd and Wild Horse Mesa with Jack Holt, Riders of the Purple Sage and The Lucky Horseshoe with Tom Mix, and The Trail Rider with Buck Jones. He worked Question: how many silent films did he make? Answer: None. Question: what is a silent film that he appeared in? Answer: In early 1925, Cooper began his film career in silent pictures such as The Thundering Herd and Wild Horse Mesa with Jack Holt, Question: was he in any other silent movies? Answer: Riders of the Purple Sage and The Lucky Horseshoe with Tom Mix, and The Trail Rider with Buck Jones. Context: At the age of 18, Khattab left Saudi Arabia to participate in the fight against the Soviet Union during the Soviet invasion of Afghanistan. During this time, he permanently incapacitated his right hand and lost several fingers after an  Question: What was the result of this? Answer: None. Question: What is al-Khattab's connection to central asia? Answer: At the age of 18, Khattab left Saudi Arabia to participate in the fight against the Soviet Union during the Soviet invasion of Afghanistan. Question: What else did he do? Answer: During this time, he permanently incapacitated his right hand and lost several fingers Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair. Conversation:  Apprentice: I went to a nickelback concert this past summer  Wizard: Oh that's very cool I've never been to a Nickelback concert but I really do like Nickelback are you aware of who the members of the band are  Apprentice: The lead singer was very funny during the set, I forget his name though."
16,Elvis Presley,"Context: Early in 1423, internal dissent among the Hussites led to civil war. Zizka, as leader of the Taborites, defeated the men of Prague and the Utraquist nobles at Horice on April 20. Shortly afterwards came news that a new crusade against Bohemia was being prepared. This induced the Hussites to conclude an armistice at Konopiste on June 24. As soon a Question: What were the terms of the armistice? Answer: None. Question: Which country's civil war was Zizka involved in? Answer: Early in 1423, internal dissent among the Hussites led to civil war. Zizka, as leader of the Taborites, defeated the men of Prague and the Utraquist nobles at Horice Question: What was the other faction called? Answer: a new crusade against Bohemia was being prepared. This induced the Hussites to conclude an armistice at Konopiste on June 24. Context: Since 2003, Bonds has been a key figure in the Bay Area Laboratory Co-operative (BALCO) scandal. BALCO marketed tetrahydrogestrinone (""the Clear""), a performance-enhancing anabolic steroid that was undetectable by doping tests. He was under investigation by a federal grand jury regarding his testimony in the BALCO case, and was i Question: How did that affect his image? Answer: None. Question: What was the BALCO Scandal? Answer: BALCO marketed tetrahydrogestrinone (""the Clear""), a performance-enhancing anabolic steroid that was undetectable by doping tests. Question: What happened with this? Answer: He was under investigation by a federal grand jury regarding his testimony in the BALCO case, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen. Conversation:  Wizard: Hello, I love to listen to Elvis , do you? he is the King of Rock N Roll  Apprentice: Yes, I love classic rock, especially from the 50s.  Wizard: yes me to classic rock is the best! Rock N Roll Experience Magazine showcases classic bands sometimes  Apprentice: Can you tell me more about that magazine?"
17,Bowling,"Context: On 25 July 1137 Louis VII Question: Why did she give him that gift? Answer: None. Question: Who did she marry? Answer: Louis VII of France Question: When did they get married? Answer: On 25 July 1137 Context: Roosevelt was mostly home schooled by tutors and his parents. Biographer H. W. Brands argued that ""The most obvious drawback to his home schooling was uneven coverage of the various areas of human knowledge"". He was solid in geography and bright in history, biology, French, and German; however, he struggled in mathematics and the classical languages. When he entered Harvard College on Septem Question: When did he graduate from Columbia? Answer: None. Question: Where was he educated? Answer: Roosevelt was mostly home schooled by tutors and his parents. Question: Where else did he attend school? Answer: Harvard College Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy. Conversation:  Apprentice: Bowling is real popular in my area, I live around a lot of old people.  Wizard: Oh that's funny, yeah it's a a fun leisure activity, do old people usually go bowling?  Apprentice: Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience"
18,American football,"Context: Word of Rasputin's activity and charisma began to spread in Siberia during the early 1900s. Sometime between 1902 and 1904, he travelled to the city of Kazan on the Volga river, where he acquired a reputation as a wise and perceptive starets, or holy man, who could help people resolve their spiritual crises and anxieties. Despite r Question: Why were there rumors about him Answer: None. Question: What was the rise to prominence? Answer: Word of Rasputin's activity and charisma began to spread in Siberia during the early 1900s. Sometime between 1902 and 1904, he travelled to the city of Kazan Question: What did he do in Kazan? Answer: he acquired a reputation as a wise and perceptive starets, or holy man, who could help people resolve their spiritual crises and anxieties. Context: Evans was born in Boonville, Missouri, in 1971, and is of Welsh, English, Irish, and Native American descent. She was raised on a farm near New Franklin, Missouri, the eldes Question: where did Evans go to school? Answer: None. Question: Where was Sara Evans born? Answer: Boonville, Missouri, Question: what did her parents do? Answer: She was raised on a farm near New Franklin, Missouri, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009. Conversation:  Apprentice: I don't really know the rules of American Football  Wizard: Oh really? It is kind of simple, you just need to watch it. First the ball starts with the offense, their goal is to get it into the endzone.  Apprentice: It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements"
19,Skiing,"Context: Following a hiatus, Kaiser Chiefs announced Question: Did that song do well? Answer: None. Question: What is The future is Medieval? Answer: their fourth studio album Question: What band is this album for? Answer: Kaiser Chiefs Context: Given the challenges of blogging in Cuba, the number of blogs on the DesdeCuba site grew quickly. Eight months after she started Generation Y, she was joined on the Desdecuba website by her husband Reinaldo Escobar's blog, Desde Aqui (From Here), in December 2007. In Januar Question: What did she blog about? Answer: None. Question: What blog did Sanchez start? Answer: Generation Y, Question: When did she start the blog? Answer: 2007. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: Skiing is a pretty fun sport, but interestingly enough, it's also got a history of nearly 5 millennia. Five!  Apprentice: Wow! I wonder where it originated?  Wizard: Modern skiing came from Scandinavia, but it was thought to originally come from China, as seen in ancient paintings. Who would've thought.  Apprentice: That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?"
20,Harry Potter,"Context: Davao has the highest murder rate, the second highest rape rate, and the fourth highest number of index crimes in the country, according to official police data for the years 2010 to 2015. Neverthel Question: Did implementing that ordinance help with crime rates? Answer: None. Question: what was his role in law and order? Answer: Duterte claims that the city is one of the world's safest, Question: what is the crime rate? Answer: highest murder rate, the second highest rape rate, and the fourth highest number of index crimes in the country, according to official police data for the years 2010 to 2015. Context: According to research done in 2010 by Harvard professor and Faces of America host Henry Louis Gates, Jr., Longoria's oldest identifiable Spanish immigrant ancestor is her ninth great-grandfather, Lorenzo Suarez de Longoria (b. Oviedo, 1592), who immigrated to the Viceroyalty of New Spain (modern-day Mexico) in 1603. His famil Question: Has Longoria commented on her ancestry? Answer: None. Question: Who are Longoria's ancestors? Answer: Lorenzo Suarez de Longoria (b. Oviedo, 1592), Question: Who was Lorenzo? Answer: immigrated to the Viceroyalty of New Spain (modern-day Mexico) in 1603. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts. Conversation:  Apprentice: I really like the Harry Potter franchise  Wizard: Harry Potter chronicles the life of Harry Potter and his friends.  Apprentice: I really think that Harry Potter should not have been the main character though"
21,Skiing,"Context: Since 1997, Master P has been in numerous feature and straight to DVD films, and in television shows. His filmography includes  Question: What was Uncle P about? Answer: None. Question: What was Master P's first on screen role? Answer: Uncle P, Question: Was that on film or television? Answer: filmography Context: Hornsby played more than 100 shows with the Grateful Dead from 1988 until Jerry Garcia's death in 1995. At some shows in 1988 and 1989, he joined the band as a special guest and played accordion or synthesizer. Starting  Question: Who invited him to join the band? Answer: None. Question: when did he join Grateful Dead? Answer: from 1988 Question: How did he get involved? Answer: he joined the band as a special guest and played accordion or synthesizer. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first depiction of a skier with two ski poles dates to 1741. Conversation:  Wizard: My favorite past time is skiing. means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.  Apprentice: I have only went skiing once and loved it!  It was really hard though.  I imagine it takes a lot of practice, right?  Wizard: Sure.it takes a lot of endurance . one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.  Apprentice: That's interesting.  I have never seen that before.  When was skiing invented?"
