,episode_idx,topic,round,message,response,knowledge,gold,Q2
30,30,Cod,4,"Most cod sold in stores is farm raised, and also the cod you eat in restaurants.",Apprentice: I like cod but only eat Wild Caught Cod. I prefer to eat,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",I read that it is a popular food with a mild flavor and a dense flaky flesh,0.0
34,34,Harry Potter,3,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",It must be very popular to have sold more than 500 million copies around the world. It has been translated to 73 languages!,0.16666666666666666
35,35,Archery,4,How far back does archery date? im curious when did we start using them bow,Archery is a sport that uses a bow to propel arrows. It dates,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.","Well I'm not sure how old it is, but I know that in Latin it is known as ""arcus"".",0.25
38,38,Elvis Presley,3,"He really was i was really sad as well, could you tell me when was he born?","Elvis Presley was born on January 16, 1935, in Memphis, Tennessee.","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","He was born on January 8, 1935 in Tupelo Mississippi!  I was born on January 8 as well!  We shared the same birthday!",0.0
41,41,Medical billing,3,No I don't,Apprentice: I was bilked so much medically last time Wizard: oh god,"In the United States, Medicare is a single-payer, national social insurance program administered by the U.S. federal government since 1966, currently using about 30–50 private insurance companies across the United States under contract for administration.",medicaal illing is essential in USA. And also health insurance is vey important for all. We need to claim with insurance company and recie the payment ,0.0
42,42,Nickelback,3,"it wouldnt surprise me. when they started getting radio play, the band blew up big.",Apprentice: I'm a big fan of Nickelback. What do you think of them,"The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.","They became quite popular! They've had a few drummer changes in the early 2000s, but I still love them and their sound, now.",0.0
43,43,Harry Potter,3,Was he born a wizard?,Harry Potter is a series of fantasy novels written by British author J. K. Rowling,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.," As far as the main story arc concerns, he was and he went to wizard school to improve himself.",1.0
44,44,Bowling,4,What are the 3 forms?,Wizard: There are three basic forms of 10 pin bowling.,"A well-known variant of ""tweening"" is the power stroker.","The most basic form is known as stroking, which is the most classic form .",0.0
46,46,Cheerleading,4,"Wow, very impressive.  How long did it take you to learn all those moves?",Wizard: It took me about a year.,All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,"I loved gymnastics from the time I was 3. Dance, too. I mean, being here int the U.S. means it's big -- and big business. There are like 1.5 million participants in all-star cheerleading!",0.0
47,47,Instagram,3,"Hmm, must check it out. Any idea who developed it?",Instagram is a photo sharing app.,Instagram lets registered users upload photos or videos to the service.,Kevin sytsrom and Mike Krieger in 2010,0.5
48,48,Nickelback,4,Good buddy.what special in album,"Wizard is going to see Nickelback soon. Nickelback is from Hanna, Alberta Canada and","Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.","They released a great album called ""The State"" in 2000 album and it achieved commercial success",0.0
49,49,Japanese language,4,"It's that Japanese secrecy stuff, I bet they burned all their documents or something. So is the Japanese language similar to Chinese?","Wizard: Yes, it is similar to Chinese. But it's not as easy to learn","Following the end in 1853 of Japan's self-imposed isolation, the flow of loanwords from European languages increased significantly.",Yes and old records indicate Chinese had a lot of influence on early japanese language,0.0
50,50,Green,3,Yep! Colors are really interesting with how ways you can mix them to make new colors. ,Apprentice: I like green. It is right between yellow and blue on the color wheel. Wizard,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",I learned most about colors as a kid while using Crayola crayons.  Can you believe Crayola has been around since 1903?,0.0
51,51,Harry Potter,4,I better get reading! What is the general plot of the story?,Harry Potter consists of seven different fantasy novels.,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","Harry Potter follows, you guessed it, Harry Potter and his friends like Hermione and Ron.",0.0
52,52,Hunting,4,What types of deer are found in the United States?,Wizard: There are many types of deer around the world that are hunted for food,"In North America, the species is widely distributed east of the Rocky Mountains, but elsewhere, it is mostly replaced by the black-tailed or mule deer (""Odocoileus hemionus"").",The white-tailed deer is native to the United States as are some other varities.,0.0
55,55,Paramedic,3,yea thats why my friend quit,WFD and WEMS have two equally important divisions: The Winnipeg Fire Department (WFD,"WFPS has two equally important divisions: The Winnipeg Fire Department (WFD) and Winnipeg Emergency Medical Services (WEMS), using a centralized dispatch system.",I imagine it is not as bad not that there is enchanced 911 so paramedics only have to go to the calls they are absolutely neccessary for ,0.75
58,58,Insane Clown Posse,3,"Interesting, how long have they been around?",The duo has earned two platinum and five gold albums.,The duo has earned two platinum and five gold albums.,"Founded in Detroit in 1989, I",1.0
59,59,Ireland,3,Northern Ireland. ,Apprentice: Northern Ireland.,no_passages_used,Oh okay. So Northern Ireland is actually still part of the United Kingdom right? ,0.0
61,61,John Grisham,4,It seems like he excelled at everything he does.  What are some of his more well known books?,"John Grisham's first bestseller, ""The Firm"", sold more than seven million","Grisham's first bestseller, ""The Firm"", sold more than seven million copies.","He has a bunch! The Chamber, The Client, A Painted House, The Pelican Brief, The Runaway Jury, A Time to Kill!",1.0
62,62,Paramedic,3,Yes but I am afraid it might be stressful. Do you think so?,"Apprentice: Yes, but I am afraid it might be stressful. Do you think so?",In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,"he scope of practice of a paramedic differs for  countries,",0.0
64,64,Skiing,4,"Yes, probably much less safe.  ","Wizard: I am certain the skis then were much different than today. Apprentice: Yes,","Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",the oldest examples of skis came from Russia and have been dated close to 6000 BCE.,0.0
65,65,Bowling,4,yes me too I use to bowl all the time with my family what about the strike?,Wizard: a strike is a ball that goes into the gutter and hits the pins,"Three consecutive strikes is a known as a ""turkey"".",well a strike is when you knock down all pins on the first round,0.0
69,69,Game design,3,Yes I agree. I wonder if education is required or just experience ?,Apprentice wants to learn how to design video games. Wizard thinks education is required.,"Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.","I bet both could work out, if you are really good you probably don't need education",0.0
70,70,Hunting,3,"Yes, that it the best way to do it. Apparently in some areas the government will actually pay money to hunt for specific preditors!",Apprentice: I love to hunt. There's nothing like having some fresh meat. Wizard:,"It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.",That is true but we always have to watch out for excessive hunting. it has caused some species to become endangered.,0.0
71,71,American football,4,"Interesting, football fields are so huge! The players must be very athletic.",Wizard: Football is a team sport. It's a game between two teams.,The team with the most points at the end of a game wins.,They score points by getting the ball into the other teams goalpost,0.0606060606060606
72,72,Skittles (sport),4,"Oh, that is actually really neat. Is it still played a lot in Europe?","Skittles is an Old European lawn game, kinda like ten-pen bowling","In Catalonia, ""bitlles"", a local version of this game was formerly popular.",Yes it is! It is a popular indoor place game. ,0.044444444444444446
76,76,List of national parks of the United States,3,I didnt realize they were so many. Do you know which park is the most visited?,The most visited national park is Yellowstone.,"The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations.""","Well they had A bill creating the first national park, Yellowstone, was signed into law by President Ulysses S. Grant in 1872. So that is probably the most loved",0.0
77,77,John Grisham,3,I haven't read anything by him but I remember the movies for both a time to kill and the firm.,"John Grisham's first bestseller, ""The Firm"", sold more than seven million","Grisham's first bestseller, ""The Firm"", sold more than seven million copies.",I'm not surprised that he writes crime novels since he practiced criminal law for about a decade,1.0
80,80,Bowling,3,The scoring consists of strikes and spares.The maximun points is 300,Apprentice: Bowling is one of my favorite hobbies. Wizard: I've been bowling,The objective is to score the highest pinfall by knocking down as many pins as possible.,Is the scoring the same as in Ten-pin bowling?,0.0
81,81,Cardigan (sweater),4,Ah that sounds like something I'd like to try on sometime. When were they popularized? ,Wizard: They were popularized in the 1920s and 1930s.,"The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair,0.0
82,82,Guns N' Roses,4,That's pretty cool. What made them so famous?,Wizard: They are from Los Angeles. Apprentice: That's pretty cool. What made them,"The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.",They are famous cause of the lead singer Axl Rose.,0.0
83,83,Instagram,4,What else does instagram do besides edit photos?,Wizard: It is owned by Facebook.,It is owned by Facebook.,"It's a social media app that allows people to not JUST edit, but also share them with all kinds of people.  ",1.0
85,85,Accounting,4,"No, I believe that is a Canadian or UK based society. I am in the US, so I would join an organization such as AICPA","Wizard: Yes, I have been into accounting or accountancy for 5 years. I am intern","From Dec 2017, ACCA recorded that it has 200,000 members and 486,000 students in 180 countries.",Yes you are right. THat is meant for the united states. It is Founded in 1887,0.0
88,88,Hot dog,4,Basically small hot dogs on a stick with breading. What do you like on your hot dogs?,Wizard: I like relish on my hot dogs.,"A relish is a cooked and pickled product made of chopped vegetables, fruits or herbs, and is a food item typically used as a condiment, in particular to enhance a staple.",I love mustard and relish!,0.0
89,89,Green,3,I had no idea,Apprentice: I love the color green. It reminds me of nature and trees. Wizard:,"In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",yes and chlorophyll contributes the most to the green color in nature. its a chemical that plants use for photosynthesize,0.0
91,91,Discovery Channel,3,"Ah it means you might have an idea about why the channel started, please tell me","The channel is available in 409 million households worldwide, through its U.S. flagship channel",", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.","Yes, Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery)",0.2222222222222222
92,92,Harry Potter,4,Wow - that sounds interesting - what else can you tell me about the story?,Harry Potter is a great fantasy series.,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.",Harry potter is a 7 book fantasy series written by JK Rowling,0.0
94,94,American football,3,How do teams score points?,"American football evolved in the United States, originating from the sports of association football and rugby football","American football evolved in the United States, originating from the sports of association football and rugby football.",points are scored by advancing the ball into the opposing teams end zone for a touchdown or kicking it through the opponents goalposts for a field goal. good question!,1.0
96,96,Elvis Presley,4,"Oh yeah, I forgot about that. He was kind of a heartthrob so that career decision would make sense. It's sad that he died so young.",Elvis Presley is a singer and actor.,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Yes but he achieved a lot, he was Regarded as one of the most significant cultural icons of the 20th century",0.0
98,98,Hunting,4,I agree with that. Do you hunt for sport or actually use the bounty you receive?,Wizard: I hunt for sport. I hunt for the meat.,"there is around 5.8 million legally owned firearms in Australia ranging from bolt action, pump action, lever action and semi-automatic firearms.","I hunt for feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.",0.0
99,99,Thierry Henry,4,Wow! I bet he is really good at what he is doing. How old is he?,Thierry Henry is a former French soccer player who is currently a 2nd assistant manager,At international level he represented France and is his country's record goalscorer.,He was born on 17 August 1977 which makes him 40 years old. Do you like watching soccer?,0.0
100,100,Archery,3,Hmm. Do you go to classes? It sound like such fun - I've seen it in movies but not really thought much about it.,Apprentice: I've never heard of archery. Is it a sport or ,"In modern times, it is mainly a competitive sport and recreational activity.","I do not. It used to be mainly for hunting and fighting, but not anymore.",0.0
101,101,Ireland,3,"No, actually I didn't know that either! Are there any cities I should plan on visiting?","Apprentice: I'm planning a trip to Ireland. I've never been there,","Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.",Ireland is the third largest island in Europe.  There are tons of cities to visit. What do you like to see?,0.0
102,102,Bowling,3,me too! I struggle to get strikes every time but I get lots of spares!,Apprentice and Wizard love bowling.,It is one of the major forms of throwing sports.,"I think it's really fun to get strikes. In 10 pin bowling, getting the highest score is key",0.0
105,105,Green,4,Yrs I do know it is a very popular color in Ireland.,"Wizard: Yes, it is. Emeralds are my favorite mineral.",Green is the color between blue and yellow on the visible spectrum.,Back in the middle ages green was often associated with merchants and bankers. Red was nobility's color of choice.,0.0
107,107,Elvis Presley,4,"That's really cool. I've always been the other way around, haven't seen in act in much.","Wizard: I'm one of the few who rarely listened to Elvis the singer, but","The ""Memphis Mafia"" was the nickname given by rock 'n' roll icon Elvis Presley to a group of friends, associates, employees and cousins whose main functions were to accompany, protect, and serve Elvis from the beginning of his career in 1954 until his death in 1977.","I was 10 when he died, so that may be why.  I visited Graceland with family, and learned about the Memphis Mafia, though!",0.0
109,109,Accounting,3,"Yes, an old and noble profession, haha! What kind of engineering do you do?","Wizard: I'm an engineer, but I know some about accounting myself.","Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","I'm into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different?",0.0
110,110,Archery,3,"I see, when did archery originate? ","The word comes from the Latin ""arcus"".","The word comes from the Latin ""arcus"".",The use of Bow and Arrows as date as far back as Paleolithic or early Mesolithic periods.,1.0
111,111,Motivation,3,Yeah I recently started leaving messages for my girlfriend and she loves them,Apprentice: I think motivation is important. I recently started leaving messages for my girlfriend and she loves,"Praise refers to positive evaluations made by a person of another's products, performances, or attributes, where the evaluator presumes the validity of the standards on which the evaluation is based.",You can really reinforce positive behavior by staying motivated ,0.0
112,112,Cardigan (sweater),4,So buttons mean robe and ties mean cardigan? So they're very similar to one another!,"Coco Chanel is credited with popularizing cardigans for women because ""she hated","Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.""",Actually the opposite. Cardigans have buttons but they are indeed a very similar garment.,1.0
114,114,Kurt Cobain,3,I never knew that. I was so sad when he died. Seems like so long ago. Do you remember what year that was?,Kurt Cobain formed the band Nirvana with Krist Novose,"Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge.",I do! Kurt Donald Cobain was born in 1967 and lived until 1994,0.738095238095238
116,116,Motivation,3,Yes! Cleaning house is definitely not my favorite. I am extremely motivated if the task at hand is something in which I find interesting.,Apprentice: I find it difficult to find motivation for tasks that I dislike. Wizard: Cleaning house,"Crowdsourcing is a sourcing model in which individuals or organizations obtain goods and services, including ideas and finances, from a large, relatively open and often rapidly-evolving group of internet users; it divides work between participants to achieve a cumulative result.",i can easily find motivation to watch my favorite tv series!,0.0
121,121,The Walking Dead (TV series),4,"A comic? I had no idea! I don't care for comics much, but my nephew loves them!",Wizard: I'm a big fan of the TV show The Walking Dead. Have you,The Walking Dead is an ongoing black-and-white comic book series created by writer Robert Kirkman and artist Tony Moore.,"Yep, the comics it was based on were written by Robert Kirkman, who also has a lot of control over the TV show and has written several episodes.",0.0
122,122,American football,3,Yea since other countries use football for what we call soccer.,American football is popular in the United States and Canada.,The team with the most points at the end of a game wins.,"Yes, it is usually a two team sports played by 11 players",0.0
123,123,Broken heart,3,He lost his girlfriend to cancer,Apprentice: My little brother has a broken heart and I dont know how to help him.,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","Emotional pain from a broken heart can cause ""broken heart syndrome"" if it gets sever enough. Hes going to need a lot of support.",0.0
125,125,John Grisham,4,Really? He must be worth a fortune. Have you read any?,"John Ray Grisham Jr. is an American bestselling writer, attorney, politician and","A Galaxy British Book Awards winner, Grisham is one of only three authors to sell 2 million copies on a first printing.","I've read his first novel, ""A Time to Kill,"" was published in June 1989",0.0
127,127,Harry Potter,4,"The Dursley are a typical family.  I would probably be pretty suspicious if magic was going on in my home, too.",Harry Potter and the Sorcerer's Stone,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",Interesting that Dumbledore put Harry there for his safety,0.0
128,128,Chihuahua (dog),3,What colors are they?,Chihuahuas are of a variety of colors. They are ,"The most common theory is that Chihuahuas are descended from the ""Techichi"", a companion dog favored by the Toltec civilization in Mexico.",I could not recollect it. I am not very good with colors. But i learnt he bought it in Mexico which is where the breed originated,0.0
129,129,Skiing,4,Do you know what they made skis of in ancient times?,Wizard: Skis were made of wood.,"Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",They were made of many different rigid materials.,0.0
130,130,Paramedic,4,"I see, and what is their role in the US?","Paramedics are able to treat patients in the pre-hospital setting, and can","Paramedics are able to treat patients in the pre-hospital setting, and can transport them to a hospital-based emergency department if deemed necessary.",we work mostly in pre-hospital treatment,1.0
131,131,Instagram,3,What kind of photos do people share?,Instagram is an Internet-based photo-sharing application.,"They can add hashtags to their posts, linking the photos up to other content on Instagram featuring the same subject or overall topic.","All sorts of photos - of themselves, or their vacation, or their animals, and lots more!  There's even an Android version that came out in 2012",0.5
132,132,Accounting,4,More time consuming  ... i wonder if the increased labour costs outweigh the lack of scrutiny over the 'books'. ,Wizard: I think accounting is interesting as well. My grandpa was a chartered,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","the term accounting and financial have been used as synonyms, but accounting can be divided into a few different fields",0.5
135,135,Harry Potter,3,yea its a great series,Apprentice: I love Harry Potter and J.K. Rowling.,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",For a while I never knew that J.K. Rowling was a British author.,0.0
136,136,Cheerleading,4,"I see, I guess it's not popular in other countries","Wizard: Yes, I've seen them at ball games in high school. It originated in","Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.","You're right! In 1997 the first international cheerleading competition was broadcast by ESPN, so not long ago!",0.0
139,139,Archery,4,Do you know when that happened?,The earliest crossbows in the world were invented in ancient China and caused a major,The earliest crossbows in the world were invented in ancient China and caused a major shift in the role of projectile weaponry.,"You know what, I can't remember. But I know the Sagittarius constellation is in the center of the Milky Way!",0.8214285714285714
140,140,American football,4,Who is your favorite team,The Patriots quarterback was suspended for four games and the team was fined $1 million and lost,The controversy resulted in Patriots quarterback Tom Brady being suspended for four games and the team being fined $1 million and losing two draft picks.,Probably the New England PAtriots. I always had a thing for Tom Brady lol,0.75
142,142,Archery,3,It is. Are there different types of archery bows?,"Apprentice: Yes, there are different types of archery bows.","The oldest signs of its use in Europe come from the in the north of Hamburg, Germany and dates from the late Paleolithic, about 10,000–9000 BC.","well the compsite bows are the traditional bows that are made from horn, wood and sinew laminated together.",0.0
143,143,Accounting,3,What is your role in healthcare. I have been an accountant for 5 years.,Apprentice: I'm an accountant. What is your profession? Wizard: Pacioli established,"Non-profit hospitals are mostly funded by charity, religion or research/educational funds.",I have an administrative role at a non-profit hospital,0.0
144,144,Popcorn,4,Are there more than one kind of popcorn?,"Wizard: Yes, there are six major types of popcorn. Dent corn, fl","The six major types of corn are dent corn, flint corn, pod corn, popcorn, flour corn, and sweet corn.",I am not sure but the popcorn puffs 20 to 50 times its original kernel.,0.0
145,145,Elvis Presley,3,"Oh, I didn't know that! Do you know any movies he acted in?","Elvis Presley was an actor too. He acted in ""Jailhouse Rock""","""Jailhouse Rock"" is a song written by Jerry Leiber and Mike Stoller that first became a hit for Elvis Presley.",Have you heard of Jailhouse Rock 1957? Elvis's career as a singer  began there in 1954.,0.0
146,146,Waterfowl hunting,3,What kind of gear do you need?,"Wizard: You need a gun, a shotgun, and a lot of patience","Many types of ducks and geese share the same habitat, have overlapping or identical hunting seasons, and are hunted using the same methods.","Anything comfortable, it's usually done allowed in places like USA but its an outdoor activity",0.0
148,148,Dog training,3,Yes and I definitely need to modify this dog's behavior. Any tips?,Apprentice: I need to train my dog. Wizard: Dog training is essentially a method,The Miniature Schnauzer is a breed of small dog of the Schnauzer type that originated in Germany in the mid-to-late 19th century.,"Well, what type of dog do you have? Household pets are totally trainable. ",0.0
