,episode_idx,topic,round,message,response,knowledge,gold,Q2
39,39,Green,3,"That is true, it is kind of a mesh of two colors.  It does not hurt it is referred to as the common color of money as well.","The apple tree (""Malus pumila"") is a deciduous tree in the","The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.","Not only that, it has a long tradition as the color of ireland culture as well!",0.0
40,40,Green,3,"It makes me think of spring and summer, when the grass is nice and green and the trees are full.","The color green is one of the additive primary colors, along with red and blue, which are","In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",Quite poetic aren't you? I think thats because it is formed by light which has a dominant wavelength ,0.08695652173913042
45,45,Motivation,3,"Well... if it's something important is no fun. because you know you have to do it, but you just don't!",Nightcrawler returns to the X-Men with Shadowcat and Coloss,"A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",Even when people have action or desires it still hard to get motivated,0.0
46,46,Cheerleading,4,"Wow, very impressive.  How long did it take you to learn all those moves?","Benn was initially somewhat sympathetic to Blair, welcoming a change of government.",All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,"I loved gymnastics from the time I was 3. Dance, too. I mean, being here int the U.S. means it's big -- and big business. There are like 1.5 million participants in all-star cheerleading!",0.0
48,48,Nickelback,4,Good buddy.what special in album,The Comilla Model (1959) was Khan's initiative in response to the failure of,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.","They released a great album called ""The State"" in 2000 album and it achieved commercial success",0.0
50,50,Green,3,Yep! Colors are really interesting with how ways you can mix them to make new colors. ,Jane was involved in several campaigns in the long-running military conflicts with American Indians. Her,"After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",I learned most about colors as a kid while using Crayola crayons.  Can you believe Crayola has been around since 1903?,0.0
62,62,Paramedic,3,Yes but I am afraid it might be stressful. Do you think so?,"Amos signed to Epic Records in late 2001. In October 2002, Amos released Scarlet",In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,"he scope of practice of a paramedic differs for  countries,",0.0
63,63,Bowling,3,That's cool! So I can just get started again. :) Do you know much about bowling?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.","The maximum score is 300, which is achieved by getting 12 strikes in a row.",I am knowledgeable. In bowling your target is to knock all pins in the lane.,1.0
65,65,Bowling,4,yes me too I use to bowl all the time with my family what about the strike?,"He later became personal secretary to the studio's founder and president, Carl Laemmle","Three consecutive strikes is a known as a ""turkey"".",well a strike is when you knock down all pins on the first round,0.0
68,68,The Walking Dead (TV series),4,Wow it must be quite popular if there's so much material for it. Do you have a favorite actor/actress on the series?,"The Walking Dead has several seasons. There are 2 TV series, 6 novels, video games and","He awakens from a coma after a life-threatening gun shot wound to find the world overrun by zombies, to which they refer as ""walkers"".","My favorite character is Rick Grimes, played by actor Andrew Lincoln. He is awesome.",0.0
72,72,Skittles (sport),4,"Oh, that is actually really neat. Is it still played a lot in Europe?",The band recorded two blocks of recordings: February 14-17 and March 15,"In Catalonia, ""bitlles"", a local version of this game was formerly popular.",Yes it is! It is a popular indoor place game. ,0.0
87,87,Cheerleading,3,"She does it for her high school football team, but she also entered a summer cheer competition because her coach recommended her.",The ABBA Generation,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",That's awesome. ESPN has broadcast international cheerleading competitions. It's a serious sport. ,0.0
90,90,Skiing,4,Is it scary?,"Corey Todd Taylor was born on December 8, 1973 in Des Moines, Iowa.","The word ""ski"" is one of a handful of words Norway has exported to the international community.",No I think it is fun. You just have to get used to using it as a mode of transport. Modern skiing has evolved from its beginnings in Scandinavia. ,0.0
96,96,Elvis Presley,4,"Oh yeah, I forgot about that. He was kind of a heartthrob so that career decision would make sense. It's sad that he died so young.",McLean was manager of Dundee United from 1971 to 1973. He is not still,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Yes but he achieved a lot, he was Regarded as one of the most significant cultural icons of the 20th century",0.0
103,103,Green,4,When I think of green I think of golf.  Like a putting green!,"The band was called ""the band""",Chromium is a chemical element with symbol Cr and atomic number 24.,"Not only are golf courses green, but so are some minerals - particularly the  emerald, which is colored green by its chromium content.",0.0
113,113,Irish coffee,3,"Oh yes, Irish coffee is a great mix between the two. It is usually topped with a thick cream which I love.","He was born in Hell's Kitchen, New York.",The coffee is drunk through the cream.,"Yea I know that one has to add hot coffee, Irish whiskey, and sugar then a very thick cream ",0.0
120,120,Dog training,4,What methods do you use to train them? I have a dog who needs to be trained!,The defending NBA champions,"Some of the better known dog training procedures include the Koehler method, clicker training, motivational training, electronic training, model-rival training, dominance-based training, and relationship-based training.",Classical condition is forming an association between two stimuli and non-associative is where behavior is modified through habituation.  Also operant where they learn to form an association an action and its consequence,0.0
125,125,John Grisham,4,Really? He must be worth a fortune. Have you read any?,Borg ranks sixth in the list of male tennis players who have won the most Grand Slam single,"A Galaxy British Book Awards winner, Grisham is one of only three authors to sell 2 million copies on a first printing.","I've read his first novel, ""A Time to Kill,"" was published in June 1989",0.0
130,130,Paramedic,4,"I see, and what is their role in the US?",Kenny was credited for bringing the group to global success with his unusual high ,"Paramedics are able to treat patients in the pre-hospital setting, and can transport them to a hospital-based emergency department if deemed necessary.",we work mostly in pre-hospital treatment,0.0
139,139,Archery,4,Do you know when that happened?,The earliest crossbows in the world were invented in ancient China and caused a major,The earliest crossbows in the world were invented in ancient China and caused a major shift in the role of projectile weaponry.,"You know what, I can't remember. But I know the Sagittarius constellation is in the center of the Milky Way!",0.23529411764705882
141,141,Bodybuilding supplement,3,I think it has got safer as the years have gone by.,Nomeansno became a fixture in the British Columbia punk scene despite playing,Athletes in ancient Greece were advised to consume large quantities of meat and wine.,"I agree, people are smarter and of course more info is available through the internet. There are tons of herbal tonics and powders to increase strength and stamina now",0.0
142,142,Archery,3,It is. Are there different types of archery bows?,"The oldest signs of its use in Europe come from the in the north of Hamburg, Germany and","The oldest signs of its use in Europe come from the in the north of Hamburg, Germany and dates from the late Paleolithic, about 10,000–9000 BC.","well the compsite bows are the traditional bows that are made from horn, wood and sinew laminated together.",0.07692307692307693
150,150,Skiing,4,That sounds like it is quite difficult to learn. I prefer to jetski. I like to follow behind boats and crest the waves.,The Baltimore Sun,The skurfer is towed behind a motorboat at planing speed with a tow rope similar to that of Knee Boarding and wakeboarding.,Very good.Skurfing as a sport has two common forms: water skufing and street skurfing,0.0
153,153,Bodybuilding supplement,3,"Oh, for the protein?! I guess that's what I should look for in the supplement then, lots of protein!","Hunter introduced H.R. 552, The Right to Life Act,","In October 1994, the Dietary Supplement Health and Education Act (DSHEA) was signed into law in the USA.",One of the first persons to use Bodybuilding supplement was Eugen Sandow. in the 1910s. He advocated dietary control for muscle growth.,0.0
154,154,American football,4,oh in canada too?,Shah Rukh was cast as the lead; he gained six packs for a song,"American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.","Yep, football is really popular in Canada.",0.0
163,163,The Walking Dead (TV series),3,"I have not, but my husband has. I have only watched the show.","Harris was born on April 9, 1967 in Los Angeles, the son of actor Berkeley Harris and TV",The two walkers are subsequently revealed to be her zombified boyfriend and his best friend.,"Oh I see. Who's your favorite character on the show? Mine is the lead, Rick Grimes.",0.0
169,169,Bowling,4,Do you roll  the ball with a stick or hand? ,Clarence White helped popularize the acoustic guitar as a lead instrument in,"A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.",You would do it with your hand/arm - it's one of the major forms of throwing sports - much like shot-put,0.0
171,171,Broken heart,3,"Yeah, it's pretty bad. I thought things were going well, but I guess I was wrong. Have you ever gone through that? Any advice?",Ziaur Rahman became the 7th President of Bangladesh on 21 April 1977. Years of,"The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years.",The pain of a broken heart is believed to be part of the survival instinct. It will get better with time.,0.0
178,178,Motivation,4,"How do you mean? Do you have an example, as I really need motivating sometimes.",When Sri Lanka toured Bangladesh in February 2006 regular captain Marvan Atapattu was,"According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""",You need to find a motive for motivation. A motive prompts someone to act a certain way. ,0.0
179,179,The Walking Dead (TV series),3,I like Sci Fi shows and this is more post apocalyptic zombies called walkers. It took me awhile to get into it.,"He found work as an office secretary at Universal Pictures' New York office, and later became personal","Rick Grimes is a fictional character and the protagonist in the comic book series ""The Walking Dead"" and the television series of the same name, portrayed by Andrew Lincoln.",It has been around for a while. It started airing on halloween 2010. It also shows internatioanlly on fox,0.0
183,183,Green,3,"Yes, it is. I like all shades of green, but lean towards a green apple green.",Lesnar's next defense was against undefeated top contender Cain Vela,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,It is evoked in light which has a dominate wavelength that measure of 495570 NM.hat ,0.0
184,184,List of national parks of the United States,3,Canada is fantastic! I wish I lived there instead of the U.S.. I wish we did a better job of protecting our parks.,The team finished 21 games back in seventh place (71-83 (.461)) in,"Yellowstone National Park is a national park located in the U.S. states of Wyoming, Montana, and Idaho.","Have you ever visited a National Park? I have visited Banff in Canada, the first National Park",0.0
185,185,Dog training,4,either for hunting or helping around the household?,The Hellfire Club,A dog learns from interactions it has with its environment.,"Well that brings up an interesting point, our cute little house dogs did not arrive till about the 1950s due to suburbanization where we wanted to train dogs to be good household pets.",0.0
187,187,American football,4,"Is that so? I would never have guessed, what with the whole forward passing thing.",The roots of American football can be traced back to rugby.,no_passages_used,"both games have a lot of similarities, basically running or kicking a ball over a goal line but you are right, the forward pass is unique",0.0
193,193,Goldendoodle,4,so they only been around that long or they have been around longer and was finally made official in 1992?,"A single, ""Non-Dairy Creamer,"" was released in November 2008 and",The original purpose of the cross was to develop guide dogs suitable for visually impaired individuals with allergies.,"Sorry my mistake, the Goldendoodle was first bred by Monica Dickens in 1969.",0.0
196,196,Harry Potter,3,"Yes I got it bought for a present.  I am only on the first one, but I am loving it so far.  Which one do you think is the most popular?","Raven quit her contract with Atlantic Records due to ""artistic differences"".","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",Harry Potter is a series of fantasy novels ,0.0
201,201,Neurosurgery,4,I always found it amazing how the body works. And they're still learning new things all the time.,Hedges was accused of plagiarism in 2003 by University of Texas classics professor Thomas Palaim,This was despite general recognition of frequent and serious side effects.,"Very true, and luckily in most countries, a neurosurgeon has to have at least 7 more years of training, even after medical school. So, at least it gives one some confidence in their ability.",0.0
205,205,Broken heart,3,Why haven't had a girl friend? Even gays have someone they have feelings for.,"Mike Stock was born in Margate, Kent, England in 1951 and grew up in Swan","The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.",I don't know I'm a really weird guy to be honest. I feel emotional pain and can understand a broken heart can be severe.,0.0
208,208,Harry Potter,3,"Yes I know that much, but how does he even become one? Is he born that way?",Jayewardene's reforms,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","Correct! I think he is born that way, and then later goes to Hogwarts to study Wizadry and better develop his powers.",0.0
210,210,Hunting,4,Yes I know I was just saying... So when you go hunting what do you hunt for? Deer? ,Viola's father sought a job assembling bombs at the Ford Motor Company.,"It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.",I will hunting fish is my hobby. Caputure for food of fish is called fishing,0.0
218,218,Neurosurgery,4,"My girlfriend had epilepsy, a brain disease she survived because of people like you. That was why I wrote my earlier comment the way i did",He was in the running for head coaching roles at a number of larger universities and professional sports,"These fellowships include pediatric neurosurgery, trauma/neurocritical care, functional and stereotactic surgery, surgical neuro-oncology, radiosurgery, neurovascular surgery, skull-base surgery, peripheral nerve and spine surgery.","Was she diagnosed as a child?  It is much easier to diagnose children, since the symptoms begin occurring early in life.",0.0
221,221,Bodybuilding supplement,3,"cool, tell me more plz",Washington's introduction to surveying began at an early age through school exercises that taught him the,"Sandow was born in Königsberg, Prussia (now Kaliningrad, Russia) on April 2, 1867 to a German father and a Russian mother.",Eugen Sandow was the first modern bodybuilder in the west that started to suggest the use of dietary supplements to grow your muscles faster.,0.0
223,223,Bowling,4,Yes I do it is hard though because there's ten.,The two had an affair that resulted in the birth of their son David.,"Three consecutive strikes is a known as a ""turkey"".",Yea do you play on a wood structure or syntheic.,0.0
224,224,Hunting,4,Yeah and a lot of people do it for sport alone. Some people would rather just not clean up the animal afterwards ,"Carl Gustav Jung was born in Kesswil, in the Swiss canton of Thurgau","However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.","i just hate when people are poaching, which is illegal killing or trapping animals",0.0
226,226,Green,3,why are plants green?,The color green is well known as the color of Ireland and Gaelic culture. It is,It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"Chlorophyll is the reason why plants are green, it is also the chemical that converts sunlight into chemical energy.",0.0
228,228,Auto racing,3,Are there different races in auto racing? ,Bryzgalov played two seasons with Lada Togliatti before joining the,"There are now numerous different categories, each with different rules and regulations.",Yes and specialist racing started around the 1930's,0.0
230,230,Accounting,3,What is the hardest thing about it,Carson described himself as a Conservative Democrat.,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",It's a lot of data. Financial accounting focuses on all aspects of a company's financial info. It deals with preparation of financial statements and analysis. ,0.0
232,232,Instagram,4,"I see, and how many users does it have nowadays? Must be in millions. ","Aaron Sorkin got the inspiration to write his next play, a courtroom drama called","A version for Android devices was released two years later, in April 2012, followed by a feature-limited website interface in November 2012, and apps for Windows 10 Mobile and Windows 10 in April 2016 and October 2016 respectively.","It should be in the millions, initially it was  a free mobile app exclusively for the iOS operating system.",0.0
233,233,Broken heart,4,Is it different from heartburn? ,"The Beatles expanded their sound on the album, with influences drawn from African-American soul music,","The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years.",Yes. LOL. it is different. The emotional pain of broken heart is also believed to be linked o a persons survival instinct.,0.0
234,234,Skiing,4,Oh ok what do they call it when you ski on one ski?,Wizard: Water skiing.,"Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden.",0.0
238,238,The Walking Dead (TV series),3,"They fil it in Semoia, GA. That is correct.",The Walking Dead is a television series.,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","Cool! It has been on since 2010. Still currently on, but I really think it should have ended a while ago.",0.2222222222222222
240,240,Skiing,3,"Cool, what are some of the different kinds?",The biathlon is a winter sport that combines cross-country skiing and rifle shooting.,The biathlon is a winter sport that combines cross-country skiing and rifle shooting.,Well slolum sking as well as the biathalon are two skiing events that I really like!,1.0
244,244,Green,4,"I see, is green associated with anything",The Great Adventure,It is evoked by light which has a dominant wavelength of roughly 495570 nm.,In the Middle Ages green was associated with merchants and bankers,0.0
245,245,Green,3,What kind of animals do that?,Al Davis joined the Los Angeles Chargers of the startup American Football League (AFL),"Frogs are widely distributed, ranging from the tropics to subarctic regions, but the greatest concentration of species diversity is in tropical rainforests.","Lizards, frogs, snakes and all kinds of insects. ",0.0
247,247,Ireland,4,Sounds great! have you been?,"Ronnie Kray shot and killed George Cornell, a member of the Richardsons (a","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",Yes I went there last year and got to see relatively low-lying mountains surrounding a central plain,0.0
249,249,Kendrick Lamar,4,"interesting, what else can you tell me about him?","He began to gain recognition in 2010, after his first retail release, ""Overly Dedicated"".","He began to gain recognition in 2010, after his first retail release, ""Overly Dedicated"".","He was raised in Compton, California, Lamar embarked on his musical career as a teenager under the stage name K-Dot",1.0
250,250,Dylan's Candy Bar,3,"I know, the candy is so tastey.",Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in,"Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.",Yes! And beautiful too. I almost feel bad eating them - like little works of art.,1.0
253,253,Cheerleading,3,Cheerleading,The band originated as a group called Soft White Underbelly (a name the band would,"Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.",Cheerleading includes activities such as chanting mottoes and very intense physical activity.,0.0
255,255,Elvis Presley,4,What was elvis's most popular songs?,"Elvis Presley was born in Tupelo, Mississippi, and then to Memphis.","With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.",Heartbreak Hotel was a number one hit in the USA,0.0
256,256,Bowling,3,"I like bowling every once in awhile, but I'm not very good. Do you know your best score for a round of bowling?","Sheehan's death was ruled an accidental drug overdose, with cocaine, Val","Three consecutive strikes is a known as a ""turkey"".",If you get 12 strikes you can get a 300. Do you think you can ever get that?,0.07692307692307691
257,257,Goldendoodle,3,"oh cool, i'm so curious to know more about this dog. my friend got one but i don't think i've ever seen one",Joy Division have influenced bands as diverse as contemporaries U2 and the Cure,Poodles are considered to be hypoallergenic.,The golden doodle was first bred by monica dickens in 1969,0.0
258,258,Accounting,3,"Thats insane to me, so long ago",The May Festival,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",Sometimes accounting is known as financial reporting.,0.0
265,265,Green,4,Yes. Do you like the color green? Or do you have a different favorite color?,"Heisman was an innovator and ""master strategist"". He developed one of the first shifts","In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",I do like green but pink is my favorite.  do you like the emerald which is obviously green in color?,0.0
266,266,Chihuahua (dog),4,It's amazing how humans domesticated and bred dogs down to create the dogs we have today. Early dogs were bread to ease everyday task. ,The Wizard: I'm sure you know that wolf hunting is the practice of hunting gray,"Wolf hunting is the practice of hunting gray wolves ""(Canis lupus)"" or other species of wolves.","Yeah, while the origins of dogs are not really clear, it is clear humans had a role in that process, which amazes me, as we have created so many different and varying breeds of dogs",0.23529411764705882
268,268,Bowling,4,Are you supposed to hit them all at once? That would be quite difficult to do.,Grace Hopper retired from the Naval Reserve at the end of 1966. She was a commander,"While professional ten-pin bowling tournaments are held in numerous countries, the sport is commonly played as a hobby by millions of people around the world.","Yes, you want to hit all the pins down, when you do this, it is called a strike. ",0.0
271,271,Blog,4,Fun! Do you write in it every day? It is about health food or just cooking or nutrition? ,"Hatch caused an overnight controversy on June 17, 2003 by proposing that copyright owners should be",The emergence and growth of blogs in the late 1990s coincided with the advent of web publishing tools that facilitated the posting of content by non-technical users who did not have much experience with HTML or computer programming.,"Yes, it sometimes gets exhausting, so i'm thinking about starting a multi-author blog. That is where the content is written by multiple authors. It's mainly reviews of food I have tried.",0.0
280,280,American football,4,"Wow!  I didn't realize it had roots in the UK!  Pro football started here in America though, right?","Garth Brooks, who had criticized music stores selling used CDs since it led to","College football is American football played by teams of student athletes fielded by American universities, colleges, and military academies, or Canadian football played by teams of student athletes fielded by Canadian universities.","Well the first match of american football was played november 1869 between two college teams under rules of the association of football, so i can say america has been pretty serious about football for a while but i am not sure about pro football starting here.Canda has a professional football team as well.",0.0
286,286,Ireland,3,I didn't realize that Ireland was Island,"No, I didn't realize that Ireland was Island","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",It is indeed an island!  And it is the third-largest island in Europe!,0.0
287,287,Cheerleading,3,"I've been cheering for the last 5 years, the stunts are my favorite part of cheer.",David Davis was Shadow Secretary of State for the Home Department at the time of the 2005 Conservative leadership,"Cheer Athletics, located in Plano, TX (near Dallas, TX), Austin, TX, Frisco, TX and Charlotte, NC and Columbus, OH is one of the largest all-star cheerleading program in the United States, with over thousands of athletes competing on 80+ teams.",Have you been in any cheer competitions or do you normally cheer for sports teams?,0.0
289,289,Green,3,if I recall it is a secondary color since it is made up of two primary colors,Hardy made his debut for Total Nonstop Action Wrestling (TNA) at the,"Green is common in nature, especially in plants.","Yes, I also like green cause many creatures have adapted to their environments by turning green themselves.",0.0
298,298,The Walking Dead (TV series),3,Ya I actually used to only live like an hour from the set,Huxley visited the USSR at the in 1931.,"Voiced by:  Sheriff Woody Pride is a 1950s old traditional pull string cowboy doll, and Andy's favorite toy.","Oh thats nice!  What town around the ""New South"" did you live?",0.0
299,299,Bowling,4,"Oh my, I didn't realize there were so many different types of bowling games. What is the most popular bowling game?",The most popular bowling game is ten-pin.,In regions of the United Kingdom and Ireland the game remains a popular indoor place game.,"Ten-pin is the most popular, and it is what you played on your bowling date. Most bowling games descend from a European lawn game called Skittles though!",0.0
300,300,Thierry Henry,4,Oh okay! I couldn't recall the name association football! Thierry Henry sounds like quite an amazing player! Is he still playing?,"Thierry Henry is a retired French professional footballer. He played for Monaco, Juventus,","Under long-time mentor and coach Arsène Wenger, Henry became a prolific striker and Arsenal's all-time leading scorer with 228 goals in all competitions.","No.. in fact, he's a French association football coach now! And he was--in both 2003 and 2004, he as the runner-up for FIFA World Player of the Year, so that gives you an idea of his skill. Also won two league titles and three FA Cups. Partly why I like him is I'm part French, and he represented us well at the international level, and is our leading goalscorer, too.",0.3333333333333333
303,303,American football,4,Ok in order to score what else ?,"Petty joined George Harrison's group, the Traveling Wilburys, which also included","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",Well in American football the opposing sports teams try to get the ball from each other and tackle other players,0.0
308,308,Online shopping,3,Very true its just way better if you dont have the time. Can you tell me more about online shopping?,Jakszyk's connections to the musicians in and around King Crimson had,no_passages_used,"I like how you can use many devices such as computers, laptops, tablet s and smartphones",0.0
310,310,Elvis Presley,3,"He was born in Tupelo, Miss, where I am from, but then moved to Memphis, Tenn. where he began his career singing",Flair immediately challenged for the WCW World Heavyweight Championship at the Clash of the Champions,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","Yes he moved with his family when he was 13 years old, and his career began there at Sun Records with Sam Phillips!",0.0
317,317,Cycling,3,Yes it is! It really makes me feel alive. I love speeding down hills and seeing how fast I can go!,Alston played minor league baseball as an infielder for the Greenwood Chiefs and Hunt,"Mountain biking in British Columbia is a popular sport as well as a thriving manufacturing, service/retail and tourism industry.","Have you done freeriding? It's similar to mountain biking, but you mostly go downhill and work on jumping and tricks and such.",0.0
319,319,The Walking Dead (TV series),4,Oh ive heard of it but never watched it,"Hillenburg's wife, Karen, is a chef who teaches at the New School",Weird Tales is an American fantasy and horror fiction pulp magazine founded by J. C. Henneberger and J. M. Lansinger in March 1923.,"I like some of it, more so the earlier seasons. It's set in LA, and then later on in Mexico. It follows a family that can sometimes be dysfunctional.",0.0
326,326,Instagram,3,"Oh, I didn't realize that. What do you like about Instagram?",LeVar Burton made his film acting debut in 1977 when he played Kunta Kinte,"Instagram is a mobile, desktop, and Internet-based photo-sharing application and service that allows users to share pictures and videos either publicly, or privately to pre-approved followers.",I like that you can easily share photos without a clunky interface. It is basically a photo and video service. ,0.0
