,episode_idx,topic,round,message,response,knowledge,gold,Q2
16,16,Elvis Presley,4,Can you tell me more about that magazine?,"Wizard: Yes, I love classic rock, especially from the 50s. Rock N Roll Experience","Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.","They started in 1992, and have done colorful interviews with bands like KISS",0.0
17,17,Bowling,3,"Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience","Daniel Barenboim was born in 1942 in Buenos Aires, Argentina.","Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.","That reminds me, have you ever heard of the band Let's Go Bowling? It's a ska band from California.",0.0
18,18,American football,3,It seems like it stops so much for commercials. I like soccer because you get to see a game not a thousand advertisements,The songs were not successful.,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,"Oh I can understand that, advertising is so frustrating unless they are super bowl commercials. I like to watch Redzone on Sunday's ever heard of it?",0.0
19,19,Skiing,4,"That makes sense. Maybe my Scandinavian ancestry is why I'm ok at skiing. Not downhill, though, only cross country. Do you think genetics has much to do with skiing abilities?",The Government of Karnataka's decision to not release Kaveri River water into,no_passages_used,"Hmm I'm not sure, maybe! You should petition the Ski and Snowboard Association and Cross Country Ski Canada to research this line of questioning!",0.0
20,20,Harry Potter,3,I really think that Harry Potter should not have been the main character though,Crewe and Frank Slay Jr.,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",The story concerns Harry's battle with Lord Voldemort.,0.0
21,21,Skiing,4,That's interesting.  I have never seen that before.  When was skiing invented?,The first depiction of a skier with two ski poles dates to 1741,The first depiction of a skier with two ski poles dates to 1741.,Earliest history were found in Russia and date to 6000 BCE.,1.0
22,22,"On-again, off-again relationship",3,"Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again.",Peale married Rachel Brewer in 1762.,no_passages_used,Did you ever go back to your partner for comfort?,0.0
23,23,The Walking Dead (TV series),4,He does a decent job. He has been meme'd to death because of that role.,The Walking Dead is an American post-apocalyptic thriller.,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",I liked it when he awakens from a coma to find the world that he new is now overrun by zombies.,0.0
24,24,Dylan's Candy Bar,3,They have everything! i just love it,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",Yes Ralph Laurens daughter Dylan  Lauren owns them,0.6666666666666666
25,25,American football,3,I think my favorite team is the cowboys,Freddie Mercury's hate letter to Norman Sheffield,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,"Don't hold this against me, but I like the Patriots. They seem to always be the team with the most points at the end of the game.",0.0
26,26,Ireland,4,have you been to europe?,"Sheehan set his sights on Robinson but, unsure of his ability as an actor,",Thick woodlands covered the island until the Middle Ages.,"I have! Ive been to British isles of Great Britain, England to be exact, it is where I was born but ive lived my life in America since I was a baby. Visited last winter too.",0.0
27,27,Guns N' Roses,3,All the great bands come from LA. Is the band still together today?,"No, they broke up in 2005.","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.","Axl Rose, Slash, Izzy, Duff and Steven Adler still perform today!",0.0
28,28,Game design,4,Thats cool what kind of games do you design?,"Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul","Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",Game design I use is used to create for entertainment or education. I've seen some for exercising too.,0.0
29,29,Popcorn,3,Who invented popcorn?,Van Sant went to Los Angeles in 1976. He secured a job as a production,Archaeologists discovered that people have known about popcorn for thousands of years.,"I am not sure, but corn was developed in Mexico long ago.",0.0
30,30,Cod,4,"Most cod sold in stores is farm raised, and also the cod you eat in restaurants.",The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",I read that it is a popular food with a mild flavor and a dense flaky flesh,0.0
31,31,Discovery Channel,4,I did not know that.  I do know that I used to watch MythsBusters on a weekly basis.  It was very interesting and entertaining,Cronje's form in 1991/92 was impressive especially in the one-day format,The show's title derives from the inherent high risk of injury or death associated with the work.,"Oh i LOVE MythBusters! That, and Deadliest Catch. ",0.0
32,32,Guns N' Roses,4,Fave 1990s rock song of all is Bitter Sweet SYmphony by the Verve. Loved older classics like Bohemian Raphody by queen ,Devika Rani Chaudhuri was born into a Bengali family in Waltair,"However, some have argued that it does match what is known as situational irony.","I was so excited when The Verve reformed, but it's too bad they couldn't keep it together for very long.",0.0
33,33,Bowling,3,"are you on a team, my dad was always on a bowling team when I was growing up","The Reagan administration declared Zia's regime as the ""front line"" ally of the","The maximum score is 300, which is achieved by getting 12 strikes in a row.",Usually i just play with a friend and the pins are knocked down every time I play!,0.0
35,35,Archery,4,How far back does archery date? im curious when did we start using them bow,"Schelling was on close terms with Johann Wolfgang von Goethe, who appreciated the poetic quality","A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.","Well I'm not sure how old it is, but I know that in Latin it is known as ""arcus"".",0.0
36,36,Skiing,4,Did you try skiing lessons? They have amazing ski resorts that offer lessons in Colorado.,Cabral led the PAIGC's guerrilla movement (in Portuguese Guinea) against,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",I did at Vail Skit Resort.  That was many years ago. I haven't had a chance to go back.  Maybe once I move up North I can try again.,0.0
37,37,Game design,3,where were your classes taken?,Villeneuve died after an accident during the final qualifying session for the Belgian Grand Prix at Z,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",I took classes in high school before getting my diploma.,0.0
39,39,Green,3,"That is true, it is kind of a mesh of two colors.  It does not hurt it is referred to as the common color of money as well.",Dietz's Indian heritage was first contested in 1916 after former neighbors who settled on,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.","Not only that, it has a long tradition as the color of ireland culture as well!",0.0
40,40,Green,3,"It makes me think of spring and summer, when the grass is nice and green and the trees are full.",Hingis helped Sabine Lisicki during the 2014 Australian Open. She participated in,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",Quite poetic aren't you? I think thats because it is formed by light which has a dominant wavelength ,0.0
42,42,Nickelback,3,"it wouldnt surprise me. when they started getting radio play, the band blew up big.","Galbraith was born on October 15, 1908, to Canadians of Scottish descent,","The band went through a few drummer changes between 1995 and 2005, achieving its current lineup when Adair replaced drummer Ryan Vikedal.","They became quite popular! They've had a few drummer changes in the early 2000s, but I still love them and their sound, now.",0.0
43,43,Harry Potter,3,Was he born a wizard?,"No, he was made a wizard by his mother.",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.," As far as the main story arc concerns, he was and he went to wizard school to improve himself.",0.0
44,44,Bowling,4,What are the 3 forms?,Salk asked Salk to find out if there were more types of polio than,"A well-known variant of ""tweening"" is the power stroker.","The most basic form is known as stroking, which is the most classic form .",0.0
45,45,Motivation,3,"Well... if it's something important is no fun. because you know you have to do it, but you just don't!","Mayer created the ""Back to You"" Fund, a nonprofit organization that focuses on","A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.",Even when people have action or desires it still hard to get motivated,0.0
46,46,Cheerleading,4,"Wow, very impressive.  How long did it take you to learn all those moves?","Kelis began recording her debut album, Kaleidoscope, in mid-1998 and was",All-star teams competing prior to 1987 were placed into the same divisions as teams that represented schools and sports leagues.,"I loved gymnastics from the time I was 3. Dance, too. I mean, being here int the U.S. means it's big -- and big business. There are like 1.5 million participants in all-star cheerleading!",0.0
47,47,Instagram,3,"Hmm, must check it out. Any idea who developed it?",The Music Band,Instagram lets registered users upload photos or videos to the service.,Kevin sytsrom and Mike Krieger in 2010,0.0
48,48,Nickelback,4,Good buddy.what special in album,"Rosa Ponselle made her Metropolitan Opera debut on November 15, 1918, just a few days","Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.","They released a great album called ""The State"" in 2000 album and it achieved commercial success",0.0
50,50,Green,3,Yep! Colors are really interesting with how ways you can mix them to make new colors. ,"Theodore Roosevelt Jr. was born on October 27, 1858, at East 20th Street","After several decades producing commercial pigments, Binney & Smith produced their first crayon, the black Staonal Marking Crayon, in 1902.",I learned most about colors as a kid while using Crayola crayons.  Can you believe Crayola has been around since 1903?,0.0
51,51,Harry Potter,4,I better get reading! What is the general plot of the story?,The British people originated in Scotland.,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","Harry Potter follows, you guessed it, Harry Potter and his friends like Hermione and Ron.",0.0
52,52,Hunting,4,What types of deer are found in the United States?,The album peaked at 19 on the Billboard 200 and featured none.,"In North America, the species is widely distributed east of the Rocky Mountains, but elsewhere, it is mostly replaced by the black-tailed or mule deer (""Odocoileus hemionus"").",The white-tailed deer is native to the United States as are some other varities.,0.0
53,53,Green,3,"Very interesting! One of my favorite ""shades"" is lime green. I have a lot of computer parts that glow this color!","Diplo was born on November 10, 1978, in Tupelo, Mississippi, the son of",Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,"That sounds really cool. I know that Razer makes lots of green products, I bet those are your favorites eh?",0.0
54,54,Cardigan (sweater),3,Do you know if there are any made out of a material other than cotton?,"Kasem, along with Don Bustany, Tom Rounds, and Ron Jacobs",It may be machine- or hand-knitted.,"Not sure, but they are knitted so I'm guessing lots of different materials can be used.",0.0
55,55,Paramedic,3,yea thats why my friend quit,"Kevin Garnett returned to Minnesota on February 19, 2015, in exchange for Thaddeus Young","WFPS has two equally important divisions: The Winnipeg Fire Department (WFD) and Winnipeg Emergency Medical Services (WEMS), using a centralized dispatch system.",I imagine it is not as bad not that there is enchanced 911 so paramedics only have to go to the calls they are absolutely neccessary for ,0.0
56,56,Green,4,"Yes, that's true. Green is also the color of money so I do like that!",Crowe wrote the screenplay for 1984's The Wild Life.,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,"haha how very true! The largest contributor to green in nature is chlorophyll, a chemical which plants use to convert sunlight into chemical energy.",0.0
57,57,Online shopping,4,"Have you heard of Alibaba,?","Karisma Kapoor was born on 25 June 1974 in Mumbai, to actors Randhir","Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items.","Not really, what is that? Is it an online store where I look at pictures of the products, see prices and specifications?",0.0
58,58,Insane Clown Posse,3,"Interesting, how long have they been around?",The duo has earned two platinum and five gold albums.,The duo has earned two platinum and five gold albums.,"Founded in Detroit in 1989, I",1.0
59,59,Ireland,3,Northern Ireland. ,"The 50,000 tickets for the resulting BBC Radio 2's ""Festival in a",no_passages_used,Oh okay. So Northern Ireland is actually still part of the United Kingdom right? ,0.0
60,60,Game design,3,"Educational, primarily for grade school age children. And yes, they are officially *enmeshed* in our culture for better or worse. I try to work for the better!",Tujhe Meri Kasam,"The independent game industry has seen a substantial rise in recent years with the growth of new online distribution systems, such as Steam and Uplay, as well as the mobile game market, such as for Android and iOS devices.","What platforms do you design games for -- PCs, video game consoles, etc.?",0.0
61,61,John Grisham,4,It seems like he excelled at everything he does.  What are some of his more well known books?,The Firm,"Grisham's first bestseller, ""The Firm"", sold more than seven million copies.","He has a bunch! The Chamber, The Client, A Painted House, The Pelican Brief, The Runaway Jury, A Time to Kill!",0.0
62,62,Paramedic,3,Yes but I am afraid it might be stressful. Do you think so?,"Larry Bird, a wing who played the small forward and power forward positions, was no",In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,"he scope of practice of a paramedic differs for  countries,",0.0
63,63,Bowling,3,That's cool! So I can just get started again. :) Do you know much about bowling?,Ryan Reynolds,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",I am knowledgeable. In bowling your target is to knock all pins in the lane.,0.0
64,64,Skiing,4,"Yes, probably much less safe.  ",After the first picture of a skier with two poles was back in 1741.,"Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).",the oldest examples of skis came from Russia and have been dated close to 6000 BCE.,0.0
65,65,Bowling,4,yes me too I use to bowl all the time with my family what about the strike?,Gupta's coverage of McCain's healthcare plan,"Three consecutive strikes is a known as a ""turkey"".",well a strike is when you knock down all pins on the first round,0.0
66,66,John Grisham,4,That was a good one.  I haven't read the book but I did see the movie.  When was A Time To Kill made into a movie?,The first album from 1977 was entitled Live Again/Renacer and was released with two different,"The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel.""", his  first books have sold over 275 million copies worldwide,0.0
68,68,The Walking Dead (TV series),4,Wow it must be quite popular if there's so much material for it. Do you have a favorite actor/actress on the series?,Ken Chinn met twin brothers Brent and Marc Belke in Edmonton in the late 1970s,"He awakens from a coma after a life-threatening gun shot wound to find the world overrun by zombies, to which they refer as ""walkers"".","My favorite character is Rick Grimes, played by actor Andrew Lincoln. He is awesome.",0.0
71,71,American football,4,"Interesting, football fields are so huge! The players must be very athletic.",Sergei Korolev worked with some of the best Soviet designers at the 4th Experimental Section,The team with the most points at the end of a game wins.,They score points by getting the ball into the other teams goalpost,0.0
72,72,Skittles (sport),4,"Oh, that is actually really neat. Is it still played a lot in Europe?","Skittles is an Old European lawn game, kinda like ten-pen bowling","In Catalonia, ""bitlles"", a local version of this game was formerly popular.",Yes it is! It is a popular indoor place game. ,0.044444444444444446
74,74,Motivation,3,"Hmm, okay I see what you mean. What do you do to stay motivated when you have to do a rather mundane task? ",Sadoveanu gave thought to writing a monograph on Moldavian Prince Stephen the Great,"The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium.","Motivation as a desire to perform an action that you rather not, so you need to find the reason why, and hopefully change your mind :D",0.0
75,75,Instagram,3,I use Instagram but mostly to follow people that I like. I rarely share anything though,"The Roots originated in Philadelphia with Ahmir ""Questlove"" Thompson and Tari",It is owned by Facebook.,I'm the same way. I do like the filters that I can add to my photos in Instagram though! It's fun to play around with them.,0.0
76,76,List of national parks of the United States,3,I didnt realize they were so many. Do you know which park is the most visited?,Star Trek II: The Wrath of Khan,"The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations.""","Well they had A bill creating the first national park, Yellowstone, was signed into law by President Ulysses S. Grant in 1872. So that is probably the most loved",0.0
77,77,John Grisham,3,I haven't read anything by him but I remember the movies for both a time to kill and the firm.,The Firm,"Grisham's first bestseller, ""The Firm"", sold more than seven million copies.",I'm not surprised that he writes crime novels since he practiced criminal law for about a decade,0.0
78,78,Bowling,4,Is it really?? Wow that is a funny name for 3 strikes in a row! \,Steranko made his living as an artist for a printing company in his hometown of Reading,"The term ""hambone"" has also been used to describe four consecutive strikes.","yeah, and less known, a bagger is what you call four consecutive strikes",0.0
79,79,Instagram,3,I do have an account also,Ken did well with the bears,"Users can connect their Instagram account to other social media profiles, enabling them to share photos to those profiles as well.",Do you upload many photos and videos?,0.0
80,80,Bowling,3,The scoring consists of strikes and spares.The maximun points is 300,Charles Gavin left the band for personal reasons.,The objective is to score the highest pinfall by knocking down as many pins as possible.,Is the scoring the same as in Ten-pin bowling?,0.0
81,81,Cardigan (sweater),4,Ah that sounds like something I'd like to try on sometime. When were they popularized? ,Carlos Santana's distinctive guitar tone is produced by PRS Santana signature guitar,"The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",so coco chanel made them popular because she hated how traditional over the head sweaters messed up her hair,0.0
82,82,Guns N' Roses,4,That's pretty cool. What made them so famous?,"The lineup, when first signed to Geffen Records in 1986, consisted of vocalist A","The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.",They are famous cause of the lead singer Axl Rose.,0.5571895424836601
83,83,Instagram,4,What else does instagram do besides edit photos?,It is owned by Facebook.,It is owned by Facebook.,"It's a social media app that allows people to not JUST edit, but also share them with all kinds of people.  ",1.0
84,84,Ireland,4,"Wow that's so cool, what is the capital of Ireland?","Fugard was born as Harold Athol Lanigan Fugard, in Middelburg,","Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government.","Techically it has two, Dublin and Belfast. This is because Ireland is divided into two different countries. The Republic of Ireland, and Northern Ireland.",0.0
85,85,Accounting,4,"No, I believe that is a Canadian or UK based society. I am in the US, so I would join an organization such as AICPA",Seventeen Days,"From Dec 2017, ACCA recorded that it has 200,000 members and 486,000 students in 180 countries.",Yes you are right. THat is meant for the united states. It is Founded in 1887,0.0
86,86,Cod,3,I have caught tons of cod.,Shipman's trial began at Preston Crown Court on 5 October 1999. Shipman was charged,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",Do you like eating it? It can be very flaky and dense.,0.0
87,87,Cheerleading,3,"She does it for her high school football team, but she also entered a summer cheer competition because her coach recommended her.",Octagonal drum is a type of Manchu folk art that was very popular among,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",That's awesome. ESPN has broadcast international cheerleading competitions. It's a serious sport. ,0.0
88,88,Hot dog,4,Basically small hot dogs on a stick with breading. What do you like on your hot dogs?,Wizard: I like them too. Do you like corn dogs? Apprentice: Basically small hot,"A relish is a cooked and pickled product made of chopped vegetables, fruits or herbs, and is a food item typically used as a condiment, in particular to enhance a staple.",I love mustard and relish!,0.0
89,89,Green,3,I had no idea,"Various legends relate to al-Askari's wife, Narjis","In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",yes and chlorophyll contributes the most to the green color in nature. its a chemical that plants use for photosynthesize,0.0
90,90,Skiing,4,Is it scary?,Stefani launching a fashion line named L.A.M.B. in 2004,"The word ""ski"" is one of a handful of words Norway has exported to the international community.",No I think it is fun. You just have to get used to using it as a mode of transport. Modern skiing has evolved from its beginnings in Scandinavia. ,0.0
91,91,Discovery Channel,3,"Ah it means you might have an idea about why the channel started, please tell me","Carter's next album, Another Earthquake!, was released on September 3, 2002,",", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.","Yes, Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery)",0.0
92,92,Harry Potter,4,Wow - that sounds interesting - what else can you tell me about the story?,Waiting for the Sirens' Call was an album,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.",Harry potter is a 7 book fantasy series written by JK Rowling,0.0
93,93,Stock market,4,Ok that sounds great. Have you ever invested in private equity before? You seem to know alot about it.,Harry Caray,Debt financing reduces corporate taxation burdens and is one of the principal ways in which private equity firms make business more profitable for investors.,"Yes, I know a lot about how they  create value by overcoming agency costs and better aligning the incentives of corporate managers with those of their shareholders.",0.0
94,94,American football,3,How do teams score points?,Magnification was not a chart success; it peaked at number 71 in the UK,"American football evolved in the United States, originating from the sports of association football and rugby football.",points are scored by advancing the ball into the opposing teams end zone for a touchdown or kicking it through the opponents goalposts for a field goal. good question!,0.0
95,95,Archery,3,I have never tried bow hunting before.  Is it hard?,Carlson c,"This rigidity makes the compound bow more energy-efficient than other bows, as less energy is dissipated in limb movement.",Its not hard at all most people I know do it mainly as a competitive sport and some do it for recreation. ,0.0
96,96,Elvis Presley,4,"Oh yeah, I forgot about that. He was kind of a heartthrob so that career decision would make sense. It's sad that he died so young.",Motown struggled to find good material for many of their acts after the exit of Motown,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Yes but he achieved a lot, he was Regarded as one of the most significant cultural icons of the 20th century",0.0
97,97,Bodybuilding supplement,3,I have never taken herbal supplements. What kind do you take?,"Fernando was born in Piedrahita, Province of Avila, on 29 October 1507","As of 1999, it was estimated that ""4 billion people live primarily on a plant-based diet"", and that ""shortage of cropland, freshwater, and energy resources requires that most of the 4 billion people live primarily on a plant-based diet"".",Anything that is plant based that I can substitute into my diet.,0.0
98,98,Hunting,4,I agree with that. Do you hunt for sport or actually use the bounty you receive?,"The album went on to become his best-selling, with a triple-platinum","there is around 5.8 million legally owned firearms in Australia ranging from bolt action, pump action, lever action and semi-automatic firearms.","I hunt for feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.",0.0
99,99,Thierry Henry,4,Wow! I bet he is really good at what he is doing. How old is he?,Thierry Henry is a former French soccer player. He is currently a 2nd assistant,At international level he represented France and is his country's record goalscorer.,He was born on 17 August 1977 which makes him 40 years old. Do you like watching soccer?,0.0
101,101,Ireland,3,"No, actually I didn't know that either! Are there any cities I should plan on visiting?","A revival opened on Broadway at the Lunt-Fontanne Theatre on April 4, 1972","Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.",Ireland is the third largest island in Europe.  There are tons of cities to visit. What do you like to see?,0.0
102,102,Bowling,3,me too! I struggle to get strikes every time but I get lots of spares!,Rockefeller founded the non-profit International Executive Service Corps which encourages developing nations to,It is one of the major forms of throwing sports.,"I think it's really fun to get strikes. In 10 pin bowling, getting the highest score is key",0.0
103,103,Green,4,When I think of green I think of golf.  Like a putting green!,"The color of green can differ in hue, chroma or lightness - I",Chromium is a chemical element with symbol Cr and atomic number 24.,"Not only are golf courses green, but so are some minerals - particularly the  emerald, which is colored green by its chromium content.",0.0
