,id,response,cand,question,knowledge,knowledge_ans,score
11,4,"The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer",California,In what state was the Nitty Gritty Dirt Band founded?,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
12,4,"The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer",singer,Who founded the Nitty Gritty Dirt Band?,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
13,5,The BQE was a live show.,BQE,What was the name of the live show?,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",[CLS],0.0
14,5,The BQE was a live show.,The BQE,What was the name of the live show?,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",[CLS],0.0
15,5,The BQE was a live show.,a live show,What was the BQE?,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",[CLS],0.0
16,6,The Walking Dead,The Walking Dead,What is the name of the movie that is based in Los Angeles?,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",[CLS],0.0
17,7,Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in,Delano,Whose reputation for personal honesty came under scrutiny?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
18,7,Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in,personal honesty,What was Delano's reputation for?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
19,7,Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in,increasing scrutiny,What happened to Delano's reputation for personal honesty?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
20,7,Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in,corruption,Delano's reputation for honesty came under scrutiny because of revelations of what?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
21,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,Thierry Henry,Who was a coach for Belgium?,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
22,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,French,What nationality is Thierry Henry?,At international level he represented France and is his country's record goalscorer.,france,0.0
23,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,Belgium,What team did Thierry Henry coach?,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
24,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,a retired French professional footballer,What is Thierry Henry?,At international level he represented France and is his country's record goalscorer.,his country's record goalscorer,0.0
25,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,a coach,What was Thierry Henry's job in Belgium?,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
26,9,"yes, they are.",NO_Q,NO_Q,The species that are hunted are referred to as game or prey and are usually mammals and birds.,NO_Q,-1.0
27,10,Lawrence and Solter in 1909 were able to join the Independent Moving Pictures Company of America,Solter,Who joined Lawrence in 1909?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
28,10,Lawrence and Solter in 1909 were able to join the Independent Moving Pictures Company of America,1909,What year did Lawrence and Solter join the Independent Moving Pictures Company of America?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
29,10,Lawrence and Solter in 1909 were able to join the Independent Moving Pictures Company of America,America,Where did Lawrence and Solter join the Independent Moving Pictures Company?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
30,11,Jefferson's earnings reputedly enabled him to buy a car and employ chauffeurs,Jefferson,Whose earnings enabled him to buy a car and employ chauffeurs?,no_passages_used,[CLS],0.0
31,12,"The first single ""Ah! Leah!"" peaked at #29 on the Bill",29,"What number did ""Ah! Leah!"" reach on the Billboard charts?","Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",[CLS],0.0
32,13,"Joe Gibbs helped craft a passing-oriented attack during his time in San Diego,",Joe Gibbs,Who helped craft a passing-oriented attack during his time in San Diego?,"Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).",[CLS],0.0
33,13,"Joe Gibbs helped craft a passing-oriented attack during his time in San Diego,",San Diego,Where was Joe Gibbs based?,"Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).",[CLS],0.0
34,13,"Joe Gibbs helped craft a passing-oriented attack during his time in San Diego,",a passing-oriented attack,What did Joe Gibbs help craft during his time in San Diego?,"Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).",[CLS],0.0
35,14,"Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to",Alecia Beth Moore,"Who was born on September 8, 1979?","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
36,14,"Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to","September 8, 1979",When was Alecia Beth Moore born?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
37,14,"Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to",Pennsylvania,In what state was Alecia Beth Moore born?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
38,14,"Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to",September,What month was Alecia Beth Moore born?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
39,15,The album earned him Billboard and Univision's Latin Music Award for Mexican Regional Male Artist,Univision,Who gave him the Latin Music Award?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
40,15,The album earned him Billboard and Univision's Latin Music Award for Mexican Regional Male Artist,The album,What earned him the Latin Music Award?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
41,15,The album earned him Billboard and Univision's Latin Music Award for Mexican Regional Male Artist,Mexican Regional Male Artist,What is the title of the Latin Music Award?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
42,16,"Wizard: Yes, I love classic rock, especially from the 50s. Rock N Roll Experience",classic rock,What genre of music does Wizard love?,"Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.",[CLS],0.0
43,17,"Daniel Barenboim was born in 1942 in Buenos Aires, Argentina.",Daniel Barenboim,Who was born in 1942?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",[CLS],0.0
44,17,"Daniel Barenboim was born in 1942 in Buenos Aires, Argentina.",1942,What year was Daniel Barenboim born?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",[CLS],0.0
45,17,"Daniel Barenboim was born in 1942 in Buenos Aires, Argentina.",Buenos Aires,What city was Daniel Barenboim born?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",[CLS],0.0
46,17,"Daniel Barenboim was born in 1942 in Buenos Aires, Argentina.",Argentina,In what country was Daniel Barenboim born?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",[CLS],0.0
47,18,The songs were not successful.,The songs,What was not successful?,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,[CLS],0.0
48,19,The Government of Karnataka's decision to not release Kaveri River water into,Karnataka,What state's government decided not to release the Kaveri River water?,no_passages_used,[CLS],0.0
49,19,The Government of Karnataka's decision to not release Kaveri River water into,Kaveri River,What river did Karnataka decide not to release?,no_passages_used,[CLS],0.0
50,19,The Government of Karnataka's decision to not release Kaveri River water into,Kaveri River water,What did Karnataka decide not to release into the environment?,no_passages_used,[CLS],0.0
51,20,Crewe and Frank Slay Jr.,Crewe,Who is the father of Frank Slay Jr.,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",[CLS],0.0
52,20,Crewe and Frank Slay Jr.,Frank Slay Jr.,Who is Crewe's father?,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",[CLS],0.0
53,21,The first depiction of a skier with two ski poles dates to 1741,two,How many ski poles did the first depiction of a skier have?,The first depiction of a skier with two ski poles dates to 1741.,two,1.0
54,21,The first depiction of a skier with two ski poles dates to 1741,1741,When was the first depiction of a skier with two ski poles?,The first depiction of a skier with two ski poles dates to 1741.,1741,1.0
55,21,The first depiction of a skier with two ski poles dates to 1741,a skier,What was the first depiction of with two ski poles?,The first depiction of a skier with two ski poles dates to 1741.,a skier,1.0
56,21,The first depiction of a skier with two ski poles dates to 1741,two ski poles,What is the first depiction of a skier with?,The first depiction of a skier with two ski poles dates to 1741.,two ski poles,1.0
57,22,Peale married Rachel Brewer in 1762.,Rachel Brewer,Who did Peale marry?,no_passages_used,[CLS],0.0
58,22,Peale married Rachel Brewer in 1762.,1762,When did Peale marry Rachel Brewer?,no_passages_used,[CLS],0.0
59,22,Peale married Rachel Brewer in 1762.,Peale,Who married Rachel Brewer?,no_passages_used,[CLS],0.0
60,23,The Walking Dead is an American post-apocalyptic thriller.,The Walking Dead,What is the name of the American post-apocalyptic thriller?,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",[CLS],0.0
61,23,The Walking Dead is an American post-apocalyptic thriller.,American,What is the nationality of The Walking Dead?,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",(haitian,0.0
62,23,The Walking Dead is an American post-apocalyptic thriller.,an American post-apocalyptic thriller,What is The Walking Dead?,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",[CLS],0.0
63,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",Dylan Lauren,"Who was featured on the cover of ""Forbes"" magazine?","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",dylan lauren,1.0
64,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",the May 2011,"When was Dylan Lauren featured on the cover of ""Forbes"" magazine?","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",may 2011,1.0
65,24,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit",inherit,For what cause was Dylan Lauren featured on the cover of Forbes magazine?,"Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",inheriting her father's entrepreneurial genes,0.0
66,25,Freddie Mercury's hate letter to Norman Sheffield,Norman Sheffield,Who did Freddie Mercury write a hate letter to?,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,[CLS],0.0
67,25,Freddie Mercury's hate letter to Norman Sheffield,Freddie Mercury's hate letter,What was the name of the letter sent to Norman Sheffield?,He is one of only two players to win five Super Bowls (the other being defensive player Charles Haley) and the only player to win them all playing for one team.,[CLS],0.0
68,26,"Sheehan set his sights on Robinson but, unsure of his ability as an actor,",Robinson,Who did Sheehan set his sights on?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
69,26,"Sheehan set his sights on Robinson but, unsure of his ability as an actor,",Sheehan,Who set his sights on Robinson?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
70,26,"Sheehan set his sights on Robinson but, unsure of his ability as an actor,",his sights,What did Sheehan set on Robinson?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
71,26,"Sheehan set his sights on Robinson but, unsure of his ability as an actor,",unsure,Was Sheehan confident in Robinson's acting ability?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
72,26,"Sheehan set his sights on Robinson but, unsure of his ability as an actor,",his ability,What did Sheehan doubt about Robinson as an actor?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
73,26,"Sheehan set his sights on Robinson but, unsure of his ability as an actor,",an actor,Sheehan was unsure of Robinson's ability as what?,Thick woodlands covered the island until the Middle Ages.,[CLS],0.0
74,27,"No, they broke up in 2005.",2005,When did they break up?,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",[CLS],0.0
75,28,"Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul",the Society of Jesus,What did Ignatius form?,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",[CLS],0.0
76,28,"Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul",1540,When was the Society of Jesus approved?,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",[CLS],0.0
77,28,"Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul",Ignatius,Who formed the Society of Jesus?,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",[CLS],0.0
78,28,"Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul",Jesus,Who did Ignatius form the Society of?,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",[CLS],0.0
79,28,"Ignatius formed the Society of Jesus, which was approved in 1540 by Pope Paul",Pope Paul,Who approved the Society of Jesus?,"Academically, game design is part of game studies, while game theory studies strategic decision making (primarily in non-game situations).",[CLS],0.0
80,29,Van Sant went to Los Angeles in 1976. He secured a job as a production,Los Angeles,Where did Van Sant go in 1976?,Archaeologists discovered that people have known about popcorn for thousands of years.,[CLS],0.0
81,29,Van Sant went to Los Angeles in 1976. He secured a job as a production,1976,In what year did Van Sant move to Los Angeles?,Archaeologists discovered that people have known about popcorn for thousands of years.,[CLS],0.0
82,29,Van Sant went to Los Angeles in 1976. He secured a job as a production,Van Sant,Who went to Los Angeles in 1976?,Archaeologists discovered that people have known about popcorn for thousands of years.,[CLS],0.0
83,29,Van Sant went to Los Angeles in 1976. He secured a job as a production,a production,What was Van Sant's job?,Archaeologists discovered that people have known about popcorn for thousands of years.,[CLS],0.0
84,30,The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year,twelve,How many tracks did nonet record for Capitol?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
85,30,The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year,Capitol,Who did nonet record 12 tracks for?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
86,30,The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year,three,How many sessions did nonet record?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
87,30,The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year,nearly a year,How long did nonet record for Capitol?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
88,30,The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year,The nonet,Who recorded twelve tracks for Capitol?,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",[CLS],0.0
89,31,Cronje's form in 1991/92 was impressive especially in the one-day format,1991/92,In what year did Cronje excel in the one day format?,The show's title derives from the inherent high risk of injury or death associated with the work.,[CLS],0.0
90,31,Cronje's form in 1991/92 was impressive especially in the one-day format,one-day,What format did Cronje excel in in 1991/92?,The show's title derives from the inherent high risk of injury or death associated with the work.,[CLS],0.0
91,31,Cronje's form in 1991/92 was impressive especially in the one-day format,Cronje's form,What was impressive in 1991/92?,The show's title derives from the inherent high risk of injury or death associated with the work.,[CLS],0.0
92,31,Cronje's form in 1991/92 was impressive especially in the one-day format,the one-day format,What was Cronje's best form in 1991/92?,The show's title derives from the inherent high risk of injury or death associated with the work.,[CLS],0.0
93,32,Devika Rani Chaudhuri was born into a Bengali family in Waltair,Rani Chaudhuri,What is the name of Devika?,"However, some have argued that it does match what is known as situational irony.",[CLS],0.0
94,32,Devika Rani Chaudhuri was born into a Bengali family in Waltair,Bengali,What nationality was Devika Rani Chaudhuri?,"However, some have argued that it does match what is known as situational irony.",[CLS],0.0
95,32,Devika Rani Chaudhuri was born into a Bengali family in Waltair,Devika Rani Chaudhuri,Who was born into a Bengali family?,"However, some have argued that it does match what is known as situational irony.",[CLS],0.0
96,32,Devika Rani Chaudhuri was born into a Bengali family in Waltair,a Bengali family,What was Devika Rani Chaudhuri born into?,"However, some have argued that it does match what is known as situational irony.",[CLS],0.0
97,32,Devika Rani Chaudhuri was born into a Bengali family in Waltair,Waltair,Where was Devika Rani Chaudhuri born?,"However, some have argued that it does match what is known as situational irony.",[CLS],0.0
98,33,"The Reagan administration declared Zia's regime as the ""front line"" ally of the",Zia,"Who was the ""front line"" ally of the Reagan administration?","The maximum score is 300, which is achieved by getting 12 strikes in a row.",[CLS],0.0
99,33,"The Reagan administration declared Zia's regime as the ""front line"" ally of the",The Reagan administration,"Who declared Zia's regime the ""front line"" ally of the US?","The maximum score is 300, which is achieved by getting 12 strikes in a row.",[CLS],0.0
100,33,"The Reagan administration declared Zia's regime as the ""front line"" ally of the","the ""front line"" ally",What did the Reagan administration consider Zia's regime to be?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",[CLS],0.0
101,33,"The Reagan administration declared Zia's regime as the ""front line"" ally of the",the,What did the Reagan administration call Zia's regime an ally of?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",[CLS],0.0
102,34,harry potter,NO_Q,NO_Q,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",NO_Q,-1.0
103,35,"Schelling was on close terms with Johann Wolfgang von Goethe, who appreciated the poetic quality",Johann Wolfgang von Goethe,Who was on close terms with Schelling?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
104,35,"Schelling was on close terms with Johann Wolfgang von Goethe, who appreciated the poetic quality",Schelling,Who was on close terms with von Goethe?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
105,35,"Schelling was on close terms with Johann Wolfgang von Goethe, who appreciated the poetic quality",close terms,How close was Schelling to von Goethe?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
106,35,"Schelling was on close terms with Johann Wolfgang von Goethe, who appreciated the poetic quality",the poetic quality,What did Johann Wolfgang von Goethe appreciate about Schelling?,"A person who participates in archery is typically called an archer or a ""bowman"", and a person who is fond of or an expert at archery is sometimes called a toxophilite.",[CLS],0.0
107,36,Cabral led the PAIGC's guerrilla movement (in Portuguese Guinea) against,PAIGC,What group led the guerrilla movement?,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",[CLS],0.0
108,36,Cabral led the PAIGC's guerrilla movement (in Portuguese Guinea) against,Portuguese Guinea,Where was the PAIGC based?,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",[CLS],0.0
109,36,Cabral led the PAIGC's guerrilla movement (in Portuguese Guinea) against,Cabral,Who led PAIGC's guerrilla movement?,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",[CLS],0.0
110,36,Cabral led the PAIGC's guerrilla movement (in Portuguese Guinea) against,the PAIGC's guerrilla movement,What did Cabral lead?,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",[CLS],0.0
111,37,Villeneuve died after an accident during the final qualifying session for the Belgian Grand Prix at Z,Villeneuve,Who died during the final qualifying session of the Belgian Grand Prix?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",[CLS],0.0
112,37,Villeneuve died after an accident during the final qualifying session for the Belgian Grand Prix at Z,the Belgian Grand Prix,What race did Villeneuve die in?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",[CLS],0.0
113,37,Villeneuve died after an accident during the final qualifying session for the Belgian Grand Prix at Z,an accident,What caused Villeneuve's death?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",[CLS],0.0
114,37,Villeneuve died after an accident during the final qualifying session for the Belgian Grand Prix at Z,Z,Where did Villeneuve die?,"The most common undergraduate degree is the bachelor's degree, although in some countries lower qualifications are titled degrees (e.g.",[CLS],0.0
115,38,november,NO_Q,NO_Q,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",NO_Q,-1.0
116,39,Dietz's Indian heritage was first contested in 1916 after former neighbors who settled on,Dietz,Whose Indian heritage was contested in 1916?,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",[CLS],0.0
117,39,Dietz's Indian heritage was first contested in 1916 after former neighbors who settled on,Indian,What was Dietz's heritage?,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",[CLS],0.0
118,39,Dietz's Indian heritage was first contested in 1916 after former neighbors who settled on,1916,In what year was Dietz's Indian heritage first contested?,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",[CLS],0.0
119,39,Dietz's Indian heritage was first contested in 1916 after former neighbors who settled on,Dietz's Indian heritage,What was contested in 1916?,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",[CLS],0.0
120,39,Dietz's Indian heritage was first contested in 1916 after former neighbors who settled on,former neighbors,Who contested Dietz's Indian heritage?,"The apple tree (""Malus pumila"", commonly and erroneously called ""Malus domestica"") is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple.",[CLS],0.0
121,40,Hingis helped Sabine Lisicki during the 2014 Australian Open. She participated in,Hingis,Who helped Sabine Lisicki during the 2014 Australian Open?,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",[CLS],0.0
122,40,Hingis helped Sabine Lisicki during the 2014 Australian Open. She participated in,Sabine Lisicki,Who did Hingis help during the 2014 Australian Open?,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",[CLS],0.0
